# $Id: aliases_toothpix_v1.dat,v 1.1 2007-08-31 15:21:25 lmasetti Exp $		
# ALIAS	     CONVENTION	ID
D1A-S09-M1	GEOID	D1A_B05_S1_M1
D1A-S09-M2	GEOID	D1A_B05_S1_M2
D1A-S09-M3	GEOID	D1A_B05_S1_M3
D1A-S09-M4	GEOID	D1A_B05_S1_M4
D1A-S09-M5	GEOID	D1A_B05_S1_M5
D1A-S09-M6	GEOID	D1A_B05_S1_M6
D1A-S10-M1	GEOID	D1A_B05_S2_M1
D1A-S10-M2	GEOID	D1A_B05_S2_M2
D1A-S10-M3	GEOID	D1A_B05_S2_M3
D1A-S10-M4	GEOID	D1A_B05_S2_M4
D1A-S10-M5	GEOID	D1A_B05_S2_M5
D1A-S10-M6	GEOID	D1A_B05_S2_M6
L0-B12-S01-A6-M1A	GEOID	L0_B12_S1_A6_M1A
L0-B12-S01-A6-M2A	GEOID	L0_B12_S1_A6_M2A
L0-B12-S01-A6-M3A	GEOID	L0_B12_S1_A6_M3A
L0-B12-S01-A6-M4A	GEOID	L0_B12_S1_A6_M4A
L0-B12-S01-A6-M5A	GEOID	L0_B12_S1_A6_M5A
L0-B12-S01-A6-M6A	GEOID	L0_B12_S1_A6_M6A
L0-B12-S01-C7-M0	GEOID	L0_B12_S1_C7_M0
L0-B12-S01-C7-M1C	GEOID	L0_B12_S1_C7_M1C
L0-B12-S01-C7-M2C	GEOID	L0_B12_S1_C7_M2C
L0-B12-S01-C7-M3C	GEOID	L0_B12_S1_C7_M3C
L0-B12-S01-C7-M4C	GEOID	L0_B12_S1_C7_M4C
L0-B12-S01-C7-M5C	GEOID	L0_B12_S1_C7_M5C
L0-B12-S01-C7-M6C	GEOID	L0_B12_S1_C7_M6C
L0-B12-S02-A7-M0	GEOID	L0_B12_S2_A7_M0
L0-B12-S02-A7-M1A	GEOID	L0_B12_S2_A7_M1A
L0-B12-S02-A7-M2A	GEOID	L0_B12_S2_A7_M2A
L0-B12-S02-A7-M3A	GEOID	L0_B12_S2_A7_M3A
L0-B12-S02-A7-M4A	GEOID	L0_B12_S2_A7_M4A
L0-B12-S02-A7-M5A	GEOID	L0_B12_S2_A7_M5A
L0-B12-S02-A7-M6A	GEOID	L0_B12_S2_A7_M6A
L0-B12-S02-C6-M1C	GEOID	L0_B12_S2_C6_M1C
L0-B12-S02-C6-M2C	GEOID	L0_B12_S2_C6_M2C
L0-B12-S02-C6-M3C	GEOID	L0_B12_S2_C6_M3C
L0-B12-S02-C6-M4C	GEOID	L0_B12_S2_C6_M4C
L0-B12-S02-C6-M5C	GEOID	L0_B12_S2_C6_M5C
L0-B12-S02-C6-M6C	GEOID	L0_B12_S2_C6_M6C
L2-B27-S01-A6-M1A	GEOID	L2_B27_S1_A6_M1A
L2-B27-S01-A6-M2A	GEOID	L2_B27_S1_A6_M2A
L2-B27-S01-A6-M3A	GEOID	L2_B27_S1_A6_M3A
L2-B27-S01-A6-M4A	GEOID	L2_B27_S1_A6_M4A
L2-B27-S01-A6-M5A	GEOID	L2_B27_S1_A6_M5A
L2-B27-S01-A6-M6A	GEOID	L2_B27_S1_A6_M6A
L2-B27-S01-C7-M0	GEOID	L2_B27_S1_C7_M0
L2-B27-S01-C7-M1C	GEOID	L2_B27_S1_C7_M1C
L2-B27-S01-C7-M2C	GEOID	L2_B27_S1_C7_M2C
L2-B27-S01-C7-M3C	GEOID	L2_B27_S1_C7_M3C
L2-B27-S01-C7-M4C	GEOID	L2_B27_S1_C7_M4C
L2-B27-S01-C7-M5C	GEOID	L2_B27_S1_C7_M5C
L2-B27-S01-C7-M6C	GEOID	L2_B27_S1_C7_M6C
L2-B27-S02-A7-M0	GEOID	L2_B27_S2_A7_M0
L2-B27-S02-A7-M1A	GEOID	L2_B27_S2_A7_M1A
L2-B27-S02-A7-M2A	GEOID	L2_B27_S2_A7_M2A
L2-B27-S02-A7-M3A	GEOID	L2_B27_S2_A7_M3A
L2-B27-S02-A7-M4A	GEOID	L2_B27_S2_A7_M4A
L2-B27-S02-A7-M5A	GEOID	L2_B27_S2_A7_M5A
L2-B27-S02-A7-M6A	GEOID	L2_B27_S2_A7_M6A
L2-B27-S02-C6-M1C	GEOID	L2_B27_S2_C6_M1C
L2-B27-S02-C6-M2C	GEOID	L2_B27_S2_C6_M2C
L2-B27-S02-C6-M3C	GEOID	L2_B27_S2_C6_M3C
L2-B27-S02-C6-M4C	GEOID	L2_B27_S2_C6_M4C
L2-B27-S02-C6-M5C	GEOID	L2_B27_S2_C6_M5C
L2-B27-S02-C6-M6C	GEOID	L2_B27_S2_C6_M6C
L2-B99-S01-A6-M1A	GEOID	L2_B99_S1_A6_M1A
L2-B99-S01-A6-M2A	GEOID	L2_B99_S1_A6_M2A
L2-B99-S01-A6-M3A	GEOID	L2_B99_S1_A6_M3A
L2-B99-S01-A6-M4A	GEOID	L2_B99_S1_A6_M4A
L2-B99-S01-A6-M5A	GEOID	L2_B99_S1_A6_M5A
L2-B99-S01-A6-M6A	GEOID	L2_B99_S1_A6_M6A
L2-B99-S01-C7-M0	GEOID	L2_B99_S1_C7_M0
L2-B99-S01-C7-M1C	GEOID	L2_B99_S1_C7_M1C
L2-B99-S01-C7-M2C	GEOID	L2_B99_S1_C7_M2C
L2-B99-S01-C7-M3C	GEOID	L2_B99_S1_C7_M3C
L2-B99-S01-C7-M4C	GEOID	L2_B99_S1_C7_M4C
L2-B99-S01-C7-M5C	GEOID	L2_B99_S1_C7_M5C
L2-B99-S01-C7-M6C	GEOID	L2_B99_S1_C7_M6C
L2-B99-S02-A7-M0	GEOID	L2_B99_S2_A7_M0
L2-B99-S02-A7-M1A	GEOID	L2_B99_S2_A7_M1A
L2-B99-S02-A7-M2A	GEOID	L2_B99_S2_A7_M2A
L2-B99-S02-A7-M3A	GEOID	L2_B99_S2_A7_M3A
L2-B99-S02-A7-M4A	GEOID	L2_B99_S2_A7_M4A
L2-B99-S02-A7-M5A	GEOID	L2_B99_S2_A7_M5A
L2-B99-S02-A7-M6A	GEOID	L2_B99_S2_A7_M6A
L2-B99-S02-C6-M1C	GEOID	L2_B99_S2_C6_M1C
L2-B99-S02-C6-M2C	GEOID	L2_B99_S2_C6_M2C
L2-B99-S02-C6-M3C	GEOID	L2_B99_S2_C6_M3C
L2-B99-S02-C6-M4C	GEOID	L2_B99_S2_C6_M4C
L2-B99-S02-C6-M5C	GEOID	L2_B99_S2_C6_M5C
L2-B99-S02-C6-M6C	GEOID	L2_B99_S2_C6_M6C
#		
#		
M510603	PRODID	D1A_B05_S2_M1
M510587	PRODID	D1A_B05_S2_M2
M510763	PRODID	D1A_B05_S2_M3
M510324	PRODID	D1A_B05_S2_M4
M510329	PRODID	D1A_B05_S2_M5
M510994	PRODID	D1A_B05_S2_M6
M511434	PRODID	D1A_B05_S1_M1
M512985	PRODID	D1A_B05_S1_M2
M510998	PRODID	D1A_B05_S1_M3
M511810	PRODID	D1A_B05_S1_M4
M512745	PRODID	D1A_B05_S1_M5
M510251	PRODID	D1A_B05_S1_M6
M511044	PRODID	L0_B12_S1_C7_M0
M513144	PRODID	L0_B12_S1_C7_M1C
M513098	PRODID	L0_B12_S1_C7_M2C
M513040	PRODID	L0_B12_S1_C7_M3C
M512960	PRODID	L0_B12_S1_C7_M4C
M512924	PRODID	L0_B12_S1_C7_M5C
M512642	PRODID	L0_B12_S1_C7_M6C
M512894	PRODID	L0_B12_S1_A6_M1A
M513173	PRODID	L0_B12_S1_A6_M2A
M511021	PRODID	L0_B12_S1_A6_M3A
M511709	PRODID	L0_B12_S1_A6_M4A
M512189	PRODID	L0_B12_S1_A6_M5A
M512844	PRODID	L0_B12_S1_A6_M6A
M512906	PRODID	L0_B12_S2_A7_M0
M510194	PRODID	L0_B12_S2_A7_M1A
M511395	PRODID	L0_B12_S2_A7_M2A
M512936	PRODID	L0_B12_S2_A7_M3A
M510571	PRODID	L0_B12_S2_A7_M4A
M512555	PRODID	L0_B12_S2_A7_M5A
M510039	PRODID	L0_B12_S2_A7_M6A
M510638	PRODID	L0_B12_S2_C6_M1C
M511223	PRODID	L0_B12_S2_C6_M2C
M510067	PRODID	L0_B12_S2_C6_M3C
M510527	PRODID	L0_B12_S2_C6_M4C
M510393	PRODID	L0_B12_S2_C6_M5C
M512576	PRODID	L0_B12_S2_C6_M6C
M510643	PRODID	L2_B99_S2_A7_M0
M511687	PRODID	L2_B99_S2_A7_M1A
M511088	PRODID	L2_B99_S2_A7_M2A
M511590	PRODID	L2_B99_S2_A7_M3A
M511192	PRODID	L2_B99_S2_A7_M4A
M511567	PRODID	L2_B99_S2_A7_M5A
M511384	PRODID	L2_B99_S2_A7_M6A
M511248	PRODID	L2_B99_S2_C6_M1C
M511238	PRODID	L2_B99_S2_C6_M2C
M511535	PRODID	L2_B99_S2_C6_M3C
M511437	PRODID	L2_B99_S2_C6_M4C
M511200	PRODID	L2_B99_S2_C6_M5C
M511308	PRODID	L2_B99_S2_C6_M6C
M510959	PRODID	L2_B99_S1_C7_M0
M510711	PRODID	L2_B99_S1_C7_M1C
M510806	PRODID	L2_B99_S1_C7_M2C
M510884	PRODID	L2_B99_S1_C7_M3C
M510839	PRODID	L2_B99_S1_C7_M4C
M510688	PRODID	L2_B99_S1_C7_M5C
M510359	PRODID	L2_B99_S1_C7_M6C
M510929	PRODID	L2_B99_S1_A6_M1A
M510768	PRODID	L2_B99_S1_A6_M2A
M510992	PRODID	L2_B99_S1_A6_M3A
M510381	PRODID	L2_B99_S1_A6_M4A
M510374	PRODID	L2_B99_S1_A6_M5A
M510301	PRODID	L2_B99_S1_A6_M6A
M511184	PRODID	L2_B27_S1_C7_M0
M512808	PRODID	L2_B27_S1_C7_M1C
M512724	PRODID	L2_B27_S1_C7_M2C
M511846	PRODID	L2_B27_S1_C7_M3C
M510600	PRODID	L2_B27_S1_C7_M4C
M510266	PRODID	L2_B27_S1_C7_M5C
M512820	PRODID	L2_B27_S1_C7_M6C
M512229	PRODID	L2_B27_S1_A6_M1A
M511754	PRODID	L2_B27_S1_A6_M2A
M512460	PRODID	L2_B27_S1_A6_M3A
M512722	PRODID	L2_B27_S1_A6_M4A
M513023	PRODID	L2_B27_S1_A6_M5A
M511249	PRODID	L2_B27_S1_A6_M6A
M510299	PRODID	L2_B27_S2_A7_M0
M511537	PRODID	L2_B27_S2_A7_M1A
M511178	PRODID	L2_B27_S2_A7_M2A
M511464	PRODID	L2_B27_S2_A7_M3A
M510586	PRODID	L2_B27_S2_A7_M4A
M511502	PRODID	L2_B27_S2_A7_M5A
M510415	PRODID	L2_B27_S2_A7_M6A
M510618	PRODID	L2_B27_S2_C6_M1C
M511487	PRODID	L2_B27_S2_C6_M2C
M510551	PRODID	L2_B27_S2_C6_M3C
M511423	PRODID	L2_B27_S2_C6_M4C
M510236	PRODID	L2_B27_S2_C6_M5C
M510275	PRODID	L2_B27_S2_C6_M6C
#		
#		
20210020510282	HWID	D1A_B05_S1_M1
20210020510349	HWID	D1A_B05_S1_M2
20210020510418	HWID	D1A_B05_S1_M3
20210020510776	HWID	D1A_B05_S1_M4
20210020510849	HWID	D1A_B05_S1_M5
20210020511885	HWID	D1A_B05_S1_M6
20210020512697	HWID	D1A_B05_S2_M1
20210020512862	HWID	D1A_B05_S2_M2
20210020511876	HWID	D1A_B05_S2_M3
20210020511251	HWID	D1A_B05_S2_M4
20210020512972	HWID	D1A_B05_S2_M5
20210020511865	HWID	D1A_B05_S2_M6
20210020511044	HWID	L0_B12_S1_C7_M0
20210020513144	HWID	L0_B12_S1_C7_M1C
20210020513098	HWID	L0_B12_S1_C7_M2C
20210020513040	HWID	L0_B12_S1_C7_M3C
20210020512960	HWID	L0_B12_S1_C7_M4C
20210020512924	HWID	L0_B12_S1_C7_M5C
20210020512642	HWID	L0_B12_S1_C7_M6C
20210020512894	HWID	L0_B12_S1_A6_M1A
20210020513173	HWID	L0_B12_S1_A6_M2A
20210020511021	HWID	L0_B12_S1_A6_M3A
20210020511709	HWID	L0_B12_S1_A6_M4A
20210020512189	HWID	L0_B12_S1_A6_M5A
20210020512844	HWID	L0_B12_S1_A6_M6A
20210020512906	HWID	L0_B12_S2_A7_M0
20210020510194	HWID	L0_B12_S2_A7_M1A
20210020511395	HWID	L0_B12_S2_A7_M2A
20210020512936	HWID	L0_B12_S2_A7_M3A
20210020510571	HWID	L0_B12_S2_A7_M4A
20210020512555	HWID	L0_B12_S2_A7_M5A
20210020510039	HWID	L0_B12_S2_A7_M6A
20210020510638	HWID	L0_B12_S2_C6_M1C
20210020511223	HWID	L0_B12_S2_C6_M2C
20210020510067	HWID	L0_B12_S2_C6_M3C
20210020510527	HWID	L0_B12_S2_C6_M4C
20210020510393	HWID	L0_B12_S2_C6_M5C
20210020512576	HWID	L0_B12_S2_C6_M6C
20210020510643	HWID	L2_B99_S2_A7_M0
20210020511687	HWID	L2_B99_S2_A7_M1A
20210020511088	HWID	L2_B99_S2_A7_M2A
20210020511590	HWID	L2_B99_S2_A7_M3A
20210020511192	HWID	L2_B99_S2_A7_M4A
20210020511567	HWID	L2_B99_S2_A7_M5A
20210020511384	HWID	L2_B99_S2_A7_M6A
20210020511248	HWID	L2_B99_S2_C6_M1C
20210020511238	HWID	L2_B99_S2_C6_M2C
20210020511535	HWID	L2_B99_S2_C6_M3C
20210020511437	HWID	L2_B99_S2_C6_M4C
20210020511200	HWID	L2_B99_S2_C6_M5C
20210020511308	HWID	L2_B99_S2_C6_M6C
20210020510959	HWID	L2_B99_S1_C7_M0
20210020510711	HWID	L2_B99_S1_C7_M1C
20210020510806	HWID	L2_B99_S1_C7_M2C
20210020510884	HWID	L2_B99_S1_C7_M3C
20210020510839	HWID	L2_B99_S1_C7_M4C
20210020510688	HWID	L2_B99_S1_C7_M5C
20210020510359	HWID	L2_B99_S1_C7_M6C
20210020510929	HWID	L2_B99_S1_A6_M1A
20210020510768	HWID	L2_B99_S1_A6_M2A
20210020510992	HWID	L2_B99_S1_A6_M3A
20210020510381	HWID	L2_B99_S1_A6_M4A
20210020510374	HWID	L2_B99_S1_A6_M5A
20210020510301	HWID	L2_B99_S1_A6_M6A
20210020511184	HWID	L2_B27_S1_C7_M0
20210020512808	HWID	L2_B27_S1_C7_M1C
20210020512724	HWID	L2_B27_S1_C7_M2C
20210020511846	HWID	L2_B27_S1_C7_M3C
20210020510600	HWID	L2_B27_S1_C7_M4C
20210020510266	HWID	L2_B27_S1_C7_M5C
20210020512820	HWID	L2_B27_S1_C7_M6C
20210020512229	HWID	L2_B27_S1_A6_M1A
20210020511754	HWID	L2_B27_S1_A6_M2A
20210020512460	HWID	L2_B27_S1_A6_M3A
20210020512722	HWID	L2_B27_S1_A6_M4A
20210020513023	HWID	L2_B27_S1_A6_M5A
20210020511249	HWID	L2_B27_S1_A6_M6A
20210020510299	HWID	L2_B27_S2_A7_M0
20210020511537	HWID	L2_B27_S2_A7_M1A
20210020511178	HWID	L2_B27_S2_A7_M2A
20210020511464	HWID	L2_B27_S2_A7_M3A
20210020510586	HWID	L2_B27_S2_A7_M4A
20210020511502	HWID	L2_B27_S2_A7_M5A
20210020510415	HWID	L2_B27_S2_A7_M6A
20210020510618	HWID	L2_B27_S2_C6_M1C
20210020511487	HWID	L2_B27_S2_C6_M2C
20210020510551	HWID	L2_B27_S2_C6_M3C
20210020511423	HWID	L2_B27_S2_C6_M4C
20210020510236	HWID	L2_B27_S2_C6_M5C
20210020510275	HWID	L2_B27_S2_C6_M6C
#		
#		
67944448	HASHID	D1A_B05_S1_M1
68206592	HASHID	D1A_B05_S1_M2
68468736	HASHID	D1A_B05_S1_M3
68599808	HASHID	D1A_B05_S1_M4
68337664	HASHID	D1A_B05_S1_M5
68075520	HASHID	D1A_B05_S1_M6
68730880	HASHID	D1A_B05_S2_M1
68993024	HASHID	D1A_B05_S2_M2
69255168	HASHID	D1A_B05_S2_M3
69386240	HASHID	D1A_B05_S2_M4
69124096	HASHID	D1A_B05_S2_M5
68861952	HASHID	D1A_B05_S2_M6
36364288	HASHID	L0_B12_S1_A6_M1A
36372480	HASHID	L0_B12_S1_A6_M2A
36380672	HASHID	L0_B12_S1_A6_M3A
36388864	HASHID	L0_B12_S1_A6_M4A
36397056	HASHID	L0_B12_S1_A6_M5A
36405248	HASHID	L0_B12_S1_A6_M6A
36356096	HASHID	L0_B12_S1_C7_M0
36347904	HASHID	L0_B12_S1_C7_M1C
36339712	HASHID	L0_B12_S1_C7_M2C
36331520	HASHID	L0_B12_S1_C7_M3C
36323328	HASHID	L0_B12_S1_C7_M4C
36315136	HASHID	L0_B12_S1_C7_M5C
36306944	HASHID	L0_B12_S1_C7_M6C
33603584	HASHID	L0_B12_S2_A7_M0
33611776	HASHID	L0_B12_S2_A7_M1A
33619968	HASHID	L0_B12_S2_A7_M2A
33628160	HASHID	L0_B12_S2_A7_M3A
33636352	HASHID	L0_B12_S2_A7_M4A
33644544	HASHID	L0_B12_S2_A7_M5A
33652736	HASHID	L0_B12_S2_A7_M6A
33595392	HASHID	L0_B12_S2_C6_M1C
33587200	HASHID	L0_B12_S2_C6_M2C
33579008	HASHID	L0_B12_S2_C6_M3C
33570816	HASHID	L0_B12_S2_C6_M4C
33562624	HASHID	L0_B12_S2_C6_M5C
