# $Id: connectivity_table_C34_ISP_v22.dat,v 1.1 2007-05-10 19:13:25 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
ROOT	ROOT	PARTITIONS	PARTITIONS	CONTAINER	UP
ROOT	ROOT	PP0S	PP0S	CONTAINER	UP
ROOT	ROOT	OBLINKMAPS	OBLINKMAPS	CONTAINER	UP
ROOT	ROOT	RODBOCLINKMAPS	RODBOCLINKMAPS	CONTAINER	UP
					
					
PARTITIONS	CONTAINER	C34_ISP	C34_ISP	PARTITION	UP
					
PP0S	CONTAINER	L1_B08_S1_C7	L1_B08_S1_C7	PP0	UP
PP0S	CONTAINER	L1_B07_S2_C6	L1_B07_S2_C6	PP0	UP
PP0S	CONTAINER	L1_B07_S1_C7	L1_B07_S1_C7	PP0	UP
PP0S	CONTAINER	D2C_B02_S2	D2C_B02_S2	PP0	UP
PP0S	CONTAINER	L1_B06_S1_C7	L1_B06_S1_C7	PP0	UP
PP0S	CONTAINER	L1_B06_S2_C6	L1_B06_S2_C6	PP0	UP
PP0S	CONTAINER	L1_B08_S2_C6	L1_B08_S2_C6	PP0	UP
PP0S	CONTAINER	D2C_B03_S1	D2C_B03_S1	PP0	UP
PP0S	CONTAINER	L1_B09_S1_C7	L1_B09_S1_C7	PP0	UP
PP0S	CONTAINER	L1_B09_S2_C6	L1_B09_S2_C6	PP0	UP
PP0S	CONTAINER	L1_B10_S1_C7	L1_B10_S1_C7	PP0	UP
					
					
					
OBLINKMAPS	CONTAINER	D_TYPE	D_TYPE	OBLINKMAP	UP
OBLINKMAPS	CONTAINER	B_TYPE	B_TYPE	OBLINKMAP	UP
					
					
RODBOCLINKMAPS	CONTAINER	BOC_1	BOC_1	RODBOCLINKMAP	UP
					
					
C34_ISP	PARTITION	ROD_CRATE_0	ROD_CRATE_0	RODCRATE	UP
C34_ISP	PARTITION	ROD_CRATE_1	ROD_CRATE_1	RODCRATE	UP
C34_ISP	PARTITION	LTP_CRATE	LTP_CRATE	RODCRATE	UP
					
					
ROD_CRATE_0	RODCRATE	SLOT_7	ROD_C0_S7	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_8	ROD_C0_S8	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_9	ROD_C0_S9	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_10	ROD_C0_S10	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_12	ROD_C0_S12	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_14	ROD_C0_S14	RODBOC	UP
					
					
ROD_C0_S7	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S7
ROD_C0_S8	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S8
ROD_C0_S9	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S9
ROD_C0_S10	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S10
ROD_C0_S12	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S12
ROD_C0_S14	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S14
					
					
L1_B08_S1_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B08_S1_OB
L1_B07_S2_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B07_S2_OB
L1_B07_S1_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B07_S1_OB
D2C_B02_S2_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	D2C_B02_S2_OB
L1_B06_S1_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B06_S1_OB
L1_B06_S2_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B06_S2_OB
L1_B08_S2_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B08_S2_OB
D2C_B03_S1_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	D2C_B03_S1_OB
L1_B09_S1_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B09_S1_OB
