# $Id: connectivity_table_C6_OSP_v4.dat,v 1.1 2007-05-10 19:13:26 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
ROOT	ROOT	PARTITIONS	PARTITIONS	CONTAINER	UP
ROOT	ROOT	PP0S	PP0S	CONTAINER	UP
ROOT	ROOT	OBLINKMAPS	OBLINKMAPS	CONTAINER	UP
ROOT	ROOT	RODBOCLINKMAPS	RODBOCLINKMAPS	CONTAINER	UP
					
					
PARTITIONS	CONTAINER	C56_OSP	C56_OSP	PARTITION	UP
					
PP0S	CONTAINER	L2_B17_S2_C6	L2_B17_S2_C6	PP0	UP
PP0S	CONTAINER	L2_B18_S1_C7	L2_B18_S1_C7	PP0	UP
PP0S	CONTAINER	L2_B18_S2_C6	L2_B18_S2_C6	PP0	UP
PP0S	CONTAINER	D3C_B04_S1	D3C_B04_S1	PP0	UP
PP0S	CONTAINER	L0_B07_S2_C6	L0_B07_S2_C6	PP0	UP
PP0S	CONTAINER	L0_B08_S1_C7	L0_B08_S1_C7	PP0	UP
PP0S	CONTAINER	L0_B08_S2_C6	L0_B08_S2_C6	PP0	UP
PP0S	CONTAINER	L2_B19_S1_C7	L2_B19_S1_C7	PP0	UP
PP0S	CONTAINER	L2_B19_S2_C6	L2_B19_S2_C6	PP0	UP
PP0S	CONTAINER	L2_B20_S1_C7	L2_B20_S1_C7	PP0	UP
PP0S	CONTAINER	D1C_B04_S1	D1C_B04_S1	PP0	UP
					
					
OBLINKMAPS	CONTAINER	D_TYPE	D_TYPE	OBLINKMAP	UP
OBLINKMAPS	CONTAINER	B_TYPE	B_TYPE	OBLINKMAP	UP
					
					
RODBOCLINKMAPS	CONTAINER	BOC_1	BOC_1	RODBOCLINKMAP	UP
					
					
C56_OSP	PARTITION	ROD_CRATE_0	ROD_CRATE_0	RODCRATE	UP
C56_OSP	PARTITION	ROD_CRATE_1	ROD_CRATE_1	RODCRATE	UP
C56_OSP	PARTITION	LTP_CRATE	LTP_CRATE	RODCRATE	UP
					
					
ROD_CRATE_0	RODCRATE	SLOT_16	ROD_C0_S16	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_17	ROD_C0_S17	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_18	ROD_C0_S18	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_19	ROD_C0_S19	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_5	ROD_C1_S5	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_6	ROD_C1_S6	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_7	ROD_C1_S7	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_8	ROD_C1_S8	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_12	ROD_C1_S12	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_14	ROD_C1_S14	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_15	ROD_C1_S15	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_16	ROD_C1_S16	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_17	ROD_C1_S17	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_18	ROD_C1_S20	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_19	ROD_C1_S19	RODBOC	UP
					
					
ROD_C0_S16	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S16
ROD_C0_S17	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S17
ROD_C0_S18	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S18
ROD_C0_S19	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S19
ROD_C1_S5	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S5
ROD_C1_S6	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S6
ROD_C1_S7	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S7
ROD_C1_S8	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S8
ROD_C1_S12	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S12
