# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
ROOT	ROOT	PARTITIONS	PARTITIONS	CONTAINER	UP
ROOT	ROOT	PP0S	PP0S	CONTAINER	UP
ROOT	ROOT	OBLINKMAPS	OBLINKMAPS	CONTAINER	UP
ROOT	ROOT	RODBOCLINKMAPS	RODBOCLINKMAPS	CONTAINER	UP
					
					
PARTITIONS	CONTAINER	TOOTHPIX	TOOTHPIX	PARTITION	UP
					
					
PP0S	CONTAINER	L0_B12_S1_A6	L0_B12_S1_A6	PP0	UP
PP0S	CONTAINER	L0_B12_S1_C7	L0_B12_S1_C7	PP0	UP
PP0S	CONTAINER	L0_B12_S2_A7	L0_B12_S2_A7	PP0	UP
PP0S	CONTAINER	L0_B12_S2_C6	L0_B12_S2_C6	PP0	UP
PP0S	CONTAINER	L2_B27_S1_A6	L2_B27_S1_A6	PP0	UP
PP0S	CONTAINER	L2_B27_S1_C7	L2_B27_S1_C7	PP0	UP
PP0S	CONTAINER	L2_B27_S2_A7	L2_B27_S2_A7	PP0	UP
PP0S	CONTAINER	L2_B27_S2_C6	L2_B27_S2_C6	PP0	UP
PP0S	CONTAINER	L2_B99_S1_A6	L2_B99_S1_A6	PP0	UP
PP0S	CONTAINER	L2_B99_S1_C7	L2_B99_S1_C7	PP0	UP
PP0S	CONTAINER	L2_B99_S2_A7	L2_B99_S2_A7	PP0	UP
PP0S	CONTAINER	L2_B99_S2_C6	L2_B99_S2_C6	PP0	UP
PP0S	CONTAINER	D1A_B05_S1	D1A_B05_S1	PP0	UP
PP0S	CONTAINER	D1A_B05_S2	D1A_B05_S2	PP0	UP
					
					
OBLINKMAPS	CONTAINER	D_TYPE	D_TYPE	OBLINKMAP	UP
OBLINKMAPS	CONTAINER	B_TYPE	B_TYPE	OBLINKMAP	UP
					
					
RODBOCLINKMAPS	CONTAINER	BOC_1	BOC_1	RODBOCLINKMAP	UP
					
					
TOOTHPIX	PARTITION	ROD_CRATE_0	ROD_CRATE_0	RODCRATE	UP
TOOTHPIX	PARTITION	ROD_CRATE_1	ROD_CRATE_1	RODCRATE	UP
TOOTHPIX	PARTITION	LTP_CRATE	LTP_CRATE	RODCRATE	UP
					
					
ROD_CRATE_0	RODCRATE	SLOT_6	ROD_C0_S6	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_15	ROD_C0_S15	RODBOC	UP
ROD_CRATE_0	RODCRATE	SLOT_20	ROD_C0_S20	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_5	ROD_C1_S5	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_12	ROD_C1_S12	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_14	ROD_C1_S14	RODBOC	UP
ROD_CRATE_1	RODCRATE	SLOT_21	ROD_C1_S21	RODBOC	UP
					
					
ROD_C0_S6	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S6
ROD_C0_S15	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S15
ROD_C0_S20	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C0_S20
ROD_C1_S5	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S5
ROD_C1_S12	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S12
ROD_C1_S14	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S14
ROD_C1_S21	RODBOC	LINK_MAP	BOC_1	RODBOCLINKMAP	ROD_C1_S21
					
					
L0_B12_S1_A6_OB	OPTOBOARD	LINK_MAP	B_TYPE	OBLINKMAP	L0_B12_S1_A6_OB
L0_B12_S1_C7_OB	OPTOBOARD	LINK_MAP	B_TYPE	OBLINKMAP	L0_B12_S1_C7_OB
L0_B12_S2_A7_OB	OPTOBOARD	LINK_MAP	B_TYPE	OBLINKMAP	L0_B12_S2_A7_OB
L0_B12_S2_C6_OB	OPTOBOARD	LINK_MAP	B_TYPE	OBLINKMAP	L0_B12_S2_C6_OB
L2_B27_S1_A6_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L2_B27_S1_A6_OB
L2_B27_S1_C7_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L2_B27_S1_C7_OB
