1980 12  1  1   1   0.001400   -143.521 241562.150
1981 12  1  1   2   0.001265   -143.029 241562.150
1982 12  1  1   3   0.001292   -142.534 241562.150
1983 12  1  1   4   0.000709   -142.048 241562.150
1984 12  1  1   5   0.000620   -141.542 241562.150
1985 12  1  1   6   0.001134   -141.020 241562.150
1986 12  1  1   7   0.001219   -140.511 241562.150
1987 12  1  1   8   0.001215   -140.016 241562.150
1988 12  1  1   9   0.000699   -139.535 241562.150
1989 12  1  1  10   0.000615   -139.053 241562.150
1990 12  1  1  11   0.000974   -138.560 241562.150
1991 12  1  1  12   0.001118   -138.058 241562.150
1992 12  1  1  13   0.000829   -137.561 241562.150
1993 12  1  1  14   0.000331   -137.076 241562.150
1994 12  1  1  15  -0.000263   -136.596 241562.150
1995 12  1  1  16  -0.000334   -136.070 241560.850
1996 12  1  1  17   0.000654   -135.557 241560.850
1997 12  1  1  18   0.000674   -135.049 241560.850
1998 12  1  1  19   0.000893   -134.546 241560.850
1999 12  1  1  20   0.001209   -134.042 241560.850
2000 12  1  1  21   0.001618   -133.529 241560.850
2001 12  1  1  22   0.001892   -133.032 241560.850
2002 12  1  1  23   0.001912   -132.538 241560.850
2003 12  1  1  24   0.002160   -132.037 241560.850
2004 12  1  1  25   0.002148   -131.545 241560.850
2005 12  1  1  26   0.002323   -131.045 241560.850
2006 12  1  1  27   0.002355   -130.541 241560.850
2007 12  1  1  28   0.003010   -130.023 241560.850
2008 12  1  1  29   0.003340   -129.508 241560.850
2009 12  1  1  30   0.002089   -129.047 241560.850
2010 12  2  1   1  -0.000258   -143.732 241564.150
2011 12  2  1   2   0.002004   -143.192 241564.150
2012 12  2  1   3   0.000919   -142.719 241564.150
2013 12  2  1   4   0.001600   -142.215 241564.150
2014 12  2  1   5   0.002597   -141.704 241564.150
2015 12  2  1   6   0.002105   -141.216 241564.150
2016 12  2  1   7   0.002659   -140.703 241564.150
2017 12  2  1   8   0.003079   -140.190 241564.150
2018 12  2  1   9   0.001999   -139.711 241564.150
2019 12  2  1  10   0.002382   -139.206 241564.150
2020 12  2  1  11   0.003182   -138.695 241564.150
2021 12  2  1  12   0.002310   -138.214 241564.150
2022 12  2  1  13   0.002530   -137.701 241564.150
2023 12  2  1  14   0.003183   -137.180 241564.150
2024 12  2  1  15   0.001863   -136.719 241564.150
2025 12  2  1  16   0.000275   -136.225 241562.850
2026 12  2  1  17   0.001147   -135.713 241562.850
2027 12  2  1  18   0.000920   -135.210 241562.850
2028 12  2  1  19   0.000965   -134.710 241562.850
2029 12  2  1  20   0.000942   -134.204 241562.850
2030 12  2  1  21   0.001028   -133.692 241562.850
2031 12  2  1  22   0.001140   -133.189 241562.850
2032 12  2  1  23   0.001308   -132.682 241562.850
2033 12  2  1  24   0.001574   -132.170 241562.850
2034 12  2  1  25   0.001322   -131.678 241562.850
2035 12  2  1  26   0.001149   -131.186 241562.850
2036 12  2  1  27   0.001149   -130.686 241562.850
2037 12  2  1  28   0.000478   -130.202 241562.850
2038 12  2  1  29   0.000862   -129.694 241562.850
2039 12  2  1  30   0.000816   -129.202 241562.850
2040 12  3  1   1   0.000880   -143.924 241566.150
2041 12  3  1   2   0.001211   -143.422 241566.150
2042 12  3  1   3   0.000914   -142.927 241566.150
2043 12  3  1   4   0.001255   -142.414 241566.150
2044 12  3  1   5   0.002178   -141.877 241566.150
2045 12  3  1   6   0.002815   -141.357 241566.150
2046 12  3  1   7   0.002708   -140.866 241566.150
2047 12  3  1   8   0.002475   -140.381 241566.150
2048 12  3  1   9   0.003305   -139.869 241566.150
2049 12  3  1  10   0.003099   -139.376 241566.150
2050 12  3  1  11   0.002840   -138.881 241566.150
2051 12  3  1  12   0.003871   -138.353 241566.150
2052 12  3  1  13   0.003614   -137.849 241566.150
2053 12  3  1  14   0.003288   -137.347 241566.150
2054 12  3  1  15   0.002304   -136.869 241566.150
2055 12  3  1  16   0.000360   -136.393 241564.850
2056 12  3  1  17  -0.000129   -135.897 241564.850
2057 12  3  1  18   0.000005   -135.387 241564.850
2058 12  3  1  19   0.000398   -134.870 241564.850
2059 12  3  1  20   0.000352   -134.369 241564.850
2060 12  3  1  21  -0.000133   -133.886 241564.850
2061 12  3  1  22   0.000432   -133.392 241564.850
2062 12  3  1  23   0.001059   -132.889 241564.850
2063 12  3  1  24   0.000475   -132.402 241564.850
2064 12  3  1  25  -0.000687   -131.928 241564.850
2065 12  3  1  26  -0.000801   -131.430 241564.850
2066 12  3  1  27   0.000436   -130.898 241564.850
2067 12  3  1  28   0.002305   -130.337 241564.850
2068 12  3  1  29   0.003637   -129.796 241564.850
2069 12  3  1  30   0.002327   -129.342 241564.850
2070 12  1  2   1  -0.031250   -142.884 241562.150
2071 12  1  2   2  -0.012348   -142.748 241562.150
2072 12  1  2   3  -0.009165   -142.325 241562.150
2073 12  1  2   4  -0.009283   -141.821 241562.150
2074 12  1  2   5  -0.008631   -141.332 241562.150
2075 12  1  2   6  -0.007689   -140.861 241562.150
2076 12  1  2   7  -0.008223   -140.354 241562.150
2077 12  1  2   8  -0.008116   -139.869 241562.150
2078 12  1  2   9  -0.007393   -139.400 241562.150
2079 12  1  2  10  -0.006958   -138.920 241562.150
2080 12  1  2  11  -0.006679   -138.441 241562.150
2081 12  1  2  12  -0.006736   -137.947 241562.150
2082 12  1  2  13  -0.005824   -137.460 241562.150
2083 12  1  2  14  -0.004793   -136.974 241562.150
2084 12  1  2  15  -0.005438   -136.468 241562.150
2085 12  1  2  16  -0.001799   -136.022 241560.850
2086 12  1  2  17  -0.003737   -135.488 241560.850
2087 12  1  2  18  -0.003265   -134.992 241560.850
2088 12  1  2  19  -0.003622   -134.485 241560.850
2089 12  1  2  20  -0.003721   -133.973 241560.850
2090 12  1  2  21  -0.003704   -133.474 241560.850
2091 12  1  2  22  -0.004080   -132.976 241560.850
2092 12  1  2  23  -0.004120   -132.475 241560.850
2093 12  1  2  24  -0.004019   -131.974 241560.850
2094 12  1  2  25  -0.003984   -131.474 241560.850
2095 12  1  2  26  -0.004445   -130.955 241560.850
2096 12  1  2  27  -0.004508   -130.443 241560.850
2097 12  1  2  28  -0.004253   -129.938 241560.850
