aMcAtNlo      aMC 
McAtNlo       McAtNlo
Powheg        Ph
PowHel        PH
MadGraph      MG
CompHep       CompHep
CalcHep       CalcHep
Geneva        Geneva
Whizard       Whizard
MCFM          MCFM
JHU           JHU
MEtop         MEtop
Charybdis     CharyBdis
Charybdis2    Charybdis2
BCVEGPY       BCVEGPY
Dire4Pythia8  Dire4Pythia8
BlackMax      BlackMax
QBH           QBH
gg2ww         gg2ww
gg2zz         gg2zz
gg2vv         gg2vv
HvyN          HvyN
VBFNLO        VBFNLO
FPMC          FPMC
ProtosLHEF    ProtosLHEF
BCVEGPY       BCVEGPY
STRINGS       STRINGS
Pythia8       Py8
Pythia8B      Pythia8B
Herwig7       H7
Matchig       Matchig
Pohweg        Ph
Sherpa        Sh
Epos          Epos
QGSJet	      QGSJet
ParticleGenerator   ParticleGenerator
ParticleGun   PG
CosmicGenerator     CosmicGenerator
BeamHaloGenerator   BeamHaloGenerator
Starlight     Starlight
Hijing        Hijing
Hydjet        Hydjet
Reldis        Reldis
Pyquen        Pyquen 
HepMCAscii    HepMC
EvtGen        EG
ParticleDecayer     PD
