#Barrel_EC	Layer_Disk	Phi_module	Eta_module	ROBID	RODID	40FMT	40Link	80FMT	80Link	DCS Geographical ID
0	1	13	0	130005	130005	0	0	0	0	L0_B07_S1_C7_M0
0	1	13	-1	130005	130005	0	2	1	0	L0_B07_S1_C7_M1C
0	1	13	-2	130005	130005	1	0	2	0	L0_B07_S1_C7_M2C
0	1	13	-3	130005	130005	1	2	3	0	L0_B07_S1_C7_M3C
0	1	13	-4	130005	130005	6	2	5	0	L0_B07_S1_C7_M4C
0	1	13	-5	130005	130005	7	0	6	0	L0_B07_S1_C7_M5C
0	1	13	-6	130005	130005	7	2	7	0	L0_B07_S1_C7_M6C
0	1	13	6	130006	130006	0	0	0	0	L0_B07_S1_A6_M6A
0	1	13	5	130006	130006	0	2	1	0	L0_B07_S1_A6_M5A
0	1	13	4	130006	130006	1	0	2	0	L0_B07_S1_A6_M4A
0	1	13	3	130006	130006	1	2	3	0	L0_B07_S1_A6_M3A
0	1	13	2	130006	130006	6	2	5	0	L0_B07_S1_A6_M2A
0	1	13	1	130006	130006	7	0	6	0	L0_B07_S1_A6_M1A
0	1	14	0	130007	130007	0	0	0	0	L0_B07_S2_A7_M0
0	1	14	1	130007	130007	0	2	1	0	L0_B07_S2_A7_M1A
0	1	14	2	130007	130007	1	0	2	0	L0_B07_S2_A7_M2A
0	1	14	3	130007	130007	1	2	3	0	L0_B07_S2_A7_M3A
0	1	14	4	130007	130007	6	2	5	0	L0_B07_S2_A7_M4A
0	1	14	5	130007	130007	7	0	6	0	L0_B07_S2_A7_M5A
0	1	14	6	130007	130007	7	2	7	0	L0_B07_S2_A7_M6A
0	1	14	-6	130008	130008	0	0	0	0	L0_B07_S2_C6_M6C
0	1	14	-5	130008	130008	0	2	1	0	L0_B07_S2_C6_M5C
0	1	14	-4	130008	130008	1	0	2	0	L0_B07_S2_C6_M4C
0	1	14	-3	130008	130008	1	2	3	0	L0_B07_S2_C6_M3C
0	1	14	-2	130008	130008	6	2	5	0	L0_B07_S2_C6_M2C
0	1	14	-1	130008	130008	7	0	6	0	L0_B07_S2_C6_M1C
0	1	15	0	130009	130009	0	0	0	0	L0_B08_S1_C7_M0
0	1	15	-1	130009	130009	0	2	1	0	L0_B08_S1_C7_M1C
0	1	15	-2	130009	130009	1	0	2	0	L0_B08_S1_C7_M2C
0	1	15	-3	130009	130009	1	2	3	0	L0_B08_S1_C7_M3C
0	1	15	-4	130009	130009	6	2	5	0	L0_B08_S1_C7_M4C
0	1	15	-5	130009	130009	7	0	6	0	L0_B08_S1_C7_M5C
0	1	15	-6	130009	130009	7	2	7	0	L0_B08_S1_C7_M6C
0	1	15	6	130010	130010	0	0	0	0	L0_B08_S1_A6_M6A
0	1	15	5	130010	130010	0	2	1	0	L0_B08_S1_A6_M5A
0	1	15	4	130010	130010	1	0	2	0	L0_B08_S1_A6_M4A
0	1	15	3	130010	130010	1	2	3	0	L0_B08_S1_A6_M3A
0	1	15	2	130010	130010	6	2	5	0	L0_B08_S1_A6_M2A
0	1	15	1	130010	130010	7	0	6	0	L0_B08_S1_A6_M1A
0	1	16	0	130011	130011	0	0	0	0	L0_B08_S2_A7_M0
0	1	16	1	130011	130011	0	2	1	0	L0_B08_S2_A7_M1A
0	1	16	2	130011	130011	1	0	2	0	L0_B08_S2_A7_M2A
0	1	16	3	130011	130011	1	2	3	0	L0_B08_S2_A7_M3A
0	1	16	4	130011	130011	6	2	5	0	L0_B08_S2_A7_M4A
0	1	16	5	130011	130011	7	0	6	0	L0_B08_S2_A7_M5A
0	1	16	6	130011	130011	7	2	7	0	L0_B08_S2_A7_M6A
0	1	16	-6	130012	130012	0	0	0	0	L0_B08_S2_C6_M6C
0	1	16	-5	130012	130012	0	2	1	0	L0_B08_S2_C6_M5C
0	1	16	-4	130012	130012	1	0	2	0	L0_B08_S2_C6_M4C
0	1	16	-3	130012	130012	1	2	3	0	L0_B08_S2_C6_M3C
0	1	16	-2	130012	130012	6	2	5	0	L0_B08_S2_C6_M2C
0	1	16	-1	130012	130012	7	0	6	0	L0_B08_S2_C6_M1C
0	1	17	0	130014	130014	0	0	0	0	L0_B09_S1_C7_M0
0	1	17	-1	130014	130014	0	2	1	0	L0_B09_S1_C7_M1C
0	1	17	-2	130014	130014	1	0	2	0	L0_B09_S1_C7_M2C
0	1	17	-3	130014	130014	1	2	3	0	L0_B09_S1_C7_M3C
0	1	17	-4	130014	130014	6	2	5	0	L0_B09_S1_C7_M4C
0	1	17	-5	130014	130014	7	0	6	0	L0_B09_S1_C7_M5C
0	1	17	-6	130014	130014	7	2	7	0	L0_B09_S1_C7_M6C
0	1	17	6	130015	130015	0	0	0	0	L0_B09_S1_A6_M6A
0	1	17	5	130015	130015	0	2	1	0	L0_B09_S1_A6_M5A
0	1	17	4	130015	130015	1	0	2	0	L0_B09_S1_A6_M4A
0	1	17	3	130015	130015	1	2	3	0	L0_B09_S1_A6_M3A
0	1	17	2	130015	130015	6	2	5	0	L0_B09_S1_A6_M2A
0	1	17	1	130015	130015	7	0	6	0	L0_B09_S1_A6_M1A
0	1	18	0	130016	130016	0	0	0	0	L0_B09_S2_A7_M0
0	1	18	1	130016	130016	0	2	1	0	L0_B09_S2_A7_M1A
0	1	18	2	130016	130016	1	0	2	0	L0_B09_S2_A7_M2A
0	1	18	3	130016	130016	1	2	3	0	L0_B09_S2_A7_M3A
0	1	18	4	130016	130016	6	2	5	0	L0_B09_S2_A7_M4A
0	1	18	5	130016	130016	7	0	6	0	L0_B09_S2_A7_M5A
0	1	18	6	130016	130016	7	2	7	0	L0_B09_S2_A7_M6A
0	1	18	-6	130017	130017	0	0	0	0	L0_B09_S2_C6_M6C
0	1	18	-5	130017	130017	0	2	1	0	L0_B09_S2_C6_M5C
0	1	18	-4	130017	130017	1	0	2	0	L0_B09_S2_C6_M4C
0	1	18	-3	130017	130017	1	2	3	0	L0_B09_S2_C6_M3C
0	1	18	-2	130017	130017	6	2	5	0	L0_B09_S2_C6_M2C
0	1	18	-1	130017	130017	7	0	6	0	L0_B09_S2_C6_M1C
0	1	19	0	130018	130018	0	0	0	0	L0_B10_S1_C7_M0
0	1	19	-1	130018	130018	0	2	1	0	L0_B10_S1_C7_M1C
0	1	19	-2	130018	130018	1	0	2	0	L0_B10_S1_C7_M2C
0	1	19	-3	130018	130018	1	2	3	0	L0_B10_S1_C7_M3C
0	1	19	-4	130018	130018	6	2	5	0	L0_B10_S1_C7_M4C
0	1	19	-5	130018	130018	7	0	6	0	L0_B10_S1_C7_M5C
0	1	19	-6	130018	130018	7	2	7	0	L0_B10_S1_C7_M6C
0	1	19	6	130019	130019	0	0	0	0	L0_B10_S1_A6_M6A
0	1	19	5	130019	130019	0	2	1	0	L0_B10_S1_A6_M5A
0	1	19	4	130019	130019	1	0	2	0	L0_B10_S1_A6_M4A
0	1	19	3	130019	130019	1	2	3	0	L0_B10_S1_A6_M3A
0	1	19	2	130019	130019	6	2	5	0	L0_B10_S1_A6_M2A
0	1	19	1	130019	130019	7	0	6	0	L0_B10_S1_A6_M1A
0	1	20	0	130020	130020	0	0	0	0	L0_B10_S2_A7_M0
0	1	20	1	130020	130020	0	2	1	0	L0_B10_S2_A7_M1A
0	1	20	2	130020	130020	1	0	2	0	L0_B10_S2_A7_M2A
0	1	20	3	130020	130020	1	2	3	0	L0_B10_S2_A7_M3A
0	1	20	4	130020	130020	6	2	5	0	L0_B10_S2_A7_M4A
0	1	20	5	130020	130020	7	0	6	0	L0_B10_S2_A7_M5A
0	1	20	6	130020	130020	7	2	7	0	L0_B10_S2_A7_M6A
0	1	20	-6	130021	130021	0	0	0	0	L0_B10_S2_C6_M6C
0	1	20	-5	130021	130021	0	2	1	0	L0_B10_S2_C6_M5C
