#barrel_ec pos_neg FT	 Slot Chan.   CalibLine     Status
0 	0 	13 	48 	84 	deadReadout      
0 	1 	7 	2 	82 	deadCalib      
0    0 	1 	7 	6 	82 	deadCalib      
0    0 	1 	7 	10 	82 	deadCalib      
0    0 	1 	7 	14 	82 	deadCalib      
0    0 	1 	7 	18 	82 	deadCalib      
0    0 	1 	7 	22 	82 	deadCalib      
0    0 	1 	7 	26 	82 	deadCalib      
0    0 	1 	7 	30 	82 	deadCalib      
0    0 	1 	7 	34 	82 	deadCalib      
0    0 	1 	7 	38 	82 	deadCalib      
0    0 	1 	7 	42 	82 	deadCalib      
0    0 	1 	7 	46 	82 	deadCalib      
0    0 	1 	7 	50 	82 	deadCalib      
0    0 	1 	7 	54 	82 	deadCalib      
0    0 	1 	7 	58 	82 	deadCalib      
0    0 	1 	7 	62 	82 	deadCalib      
0    0 	1 	7 	66 	82 	deadCalib      
0    0 	1 	7 	70 	82 	deadCalib      
0    0 	1 	7 	74 	82 	deadCalib      
0    0 	1 	7 	78 	82 	deadCalib      
0    0 	1 	7 	82 	82 	deadCalib      
0    0 	1 	7 	86 	82 	deadCalib      
0    0 	1 	7 	90 	82 	deadCalib      
0    0 	1 	7 	94	82 	deadCalib      
0    0 	1 	7 	98 	82 	deadCalib      
0    0 	1 	7 	102 	82 	deadCalib      
0    0 	1 	7 	106 	82 	deadCalib      
0    0 	1 	7 	110 	82	 deadCalib      
0    0 	1 	7 	114 	82 	deadCalib      
0    0 	1 	7 	118 	82 	deadCalib      
0    0 	1 	7 	122 	82 	deadCalib      
0    0 	1 	7 	126 	82 	deadCalib      
0    0 	7 	7 	119 	83 	almostDead #?      
0    0 	7 	11 	1 	5 	deadCalib      
0    0 	7 	11	3 	5 	deadCalib      
0    0 	7 	11 	8 	5 	deadCalib      
0    0 	7 	11 	10 	5 	deadCalib      
0    0 	7 	11 	17 	5 	deadCalib      
0    0 	7 	11 	19 	5 	deadCalib      
0    0 	7 	11 	24 	5 	deadCalib      
0    0 	7 	11 	26 	5 	deadCalib      
0    0 	9 	5 	71 	51 	deadCalib #? (B180: Rcal=infinity open at MB) 
0    0 	10 	4 	83 	35 	deadCalib #? (B180: Rcal=infinity at warm)  
0    0 	10 	8 	3 	99	deadReadout      
0    0 	10 	10 	61 	115 ?      
0    0 	10 	10 	63 	115 ?      
0    0 	14 	13 	15 	70 ?      
0    0 	15 	5 	119 	51 	deadCalib #? (B180: Rcal=infinity open at MB) 
0    0 	16 	12 	68 	42 	deadCalib      
0    0 	16 	12 	70 	42 	deadCalib      
0    0 	16 	12 	77 	42 	deadCalib      
0    0 	16 	12 	79 	42 	deadCalib      
0    0 	16 	12 	84 	42 	deadCalib      
0    0 	16 	12 	86 	42 	deadCalib      
0    0 	16 	12 	93 	42 	deadCalib      
0    0 	16 	12 	95 	42 	deadCalib      
0    0 	22 	6 	115 	67 	deadReadout      
0    0 	23 	9 	72 	13 	deadReadout      
0    0 	24 	13 	82 	72 	deadCalib #? (B180: Rcal=infinity, strange in reflectometry) 
0    0 	25 	13 	97 	89 	deadCalib      
0    0 	25 	13 	99 	89 	deadCalib      
0    0 	25 	13 	104 	89 	deadCalib      
0    0 	25 	13 	106 	89 	deadCalib      
0    0 	25 	13 	113 	89 	deadCalib      
0    0 	25 	13 	115 	89 	deadCalib      
0    0 	25 	13 	120 	89 	deadCalib      
0    0 	25 	13 	122 	89 	deadCalib      
0    0 	26 	9 	1 	13 	deadCalib      
0    0 	26 	9 	3 	13 	deadCalib      
0    0 	26 	9 	8 	13 	deadCalib      
0    0 	26 	9 	10 	13 	deadCalib      
0    0 	26 	9 	65 	13 	deadCalib      
0    0 	26 	9 	67 	13 	deadCalib      
0    0 	26 	9 	72 	13 	deadCalib      
0    0 	26 	9 	74 	13 	deadCalib      
0    0 	28 	9 	107 	44 	deadReadout #? (B180: Rsig=1.6)    
0    0 	29 	10 	102 	110 	?      
0    1 	6 	10 	54 	118 	?      
0    1 	8 	8 	111 	99 	deadCalib #? (B180:Rcal=infinity open at FT)  
0    1 	8 	8 	115 	99 	deadCalib #? (B180:Rcal=infinity open at FT)  
0    1 	9 	3 	10 	18 	?      
0    1 	9 	4 	1 	33 	?      
0    1 	9 	8 	74 	98 	?      
0    1 	14 	9 	64 	12 	?      
0    1 	14 	9 	65 	13 	almostDead    
0    1 	17 	14 	20 	106 	?      
0    1 	17 	14 	21 	107 	?      
0    1 	17 	14 	22 	106 	?      
0    1 	17 	14 	23 	107 	?      
0    1 	21 	10 	115 	113 	? (known from phase1)   
0    1 	21 	10 	117 	119 	? (known from phase1)   
0    1 	21 	10 	118 	118 	? (known from phase1)   
0    1 	21 	10 	119 	119 	? (known from phase1)   
0    1 	21 	10 	121 	117 	? (known from phase1)   
0    1 	21 	10 	123 	117 	? (known from phase1)   
0    1 	21 	10 	125 	115 	? (known from phase1)   
0    1 	21 	10 	127 	115 	? (known from phase1)   
0    1 	22 	10 	124 	114 	? (known from phase1)   
0    1 	22 	14 	47 	102 	almostDead #?      
0    1 	22 	14 	63	106 	almostDead #?      
0    1 	26 	3 	107 	19 	deadCalib #? (B180: Rcal=infinity open at MB) 
