"Bin"	"Time"	"Fcal 1"	"Fcal2"	"Fcal3"			
	"Med"	"High"	"Med"	"High"	"Med"	"High"	
1	.144	.00000	.00000	.00000	.00000	.00000	.00000
2	.432	.00000	.00000	.00000	.00000	.00000	.00000
3	.720	.00000	.00000	.00000	.00000	.00000	.00000
4	1.008	.00000	.00000	.00000	.00000	.00000	.00000
5	1.296	.00000	.00000	.00000	.00000	.00000	.00000
6	1.584	.00000	.00000	.00000	.00000	.00000	.00000
7	1.872	.00000	.00000	.00000	.00000	.00000	.00000
8	2.160	.00000	.00000	.00000	.00000	.00000	.00000
9	2.448	.00000	.00000	.00000	.00000	.00000	.00000
10	2.736	.00000	.00000	.00000	.00000	.00000	.00000
11	3.024	.00000	.00000	.00000	.00000	.00000	.00000
12	3.312	.00000	.00000	.00000	.00000	.00000	.00000
13	3.600	.00000	.00000	.00000	.00000	.00000	.00000
14	3.888	.00000	.00000	.00000	.00000	.00000	.00000
15	4.176	.00000	.00000	.00000	.00000	.00000	.00000
16	4.464	.00000	.00000	.00000	.00000	.00000	.00000
17	4.752	.00000	.00000	.00000	.00000	.00000	.00000
18	5.040	.00000	.00000	.00000	.00000	.00000	.00000
19	5.328	.00000	.00000	.00000	.00000	.00000	.00000
20	5.616	.00000	.00000	.00000	.00000	.00000	.00000
21	5.904	.00000	.00000	.00000	.00000	.00000	.00000
22	6.192	.00000	.00000	.00000	.00000	.00000	.00000
23	6.480	.00000	.00000	.00000	.00000	.00000	.00000
24	6.768	.00000	.00000	.00000	.00000	.00000	.00000
25	7.056	.00000	.00000	.00000	.00000	.00000	.00000
26	7.344	.00000	.00000	.00000	.00000	.00000	.00000
27	7.632	.00000	.00000	.00000	.00000	.00000	.00000
28	7.920	.00000	.00000	.00000	.00000	.00000	.00000
29	8.208	.00000	.00000	.00000	.00000	.00000	.00000
30	8.496	.00000	.00000	.00000	.00000	.00000	.00000
31	8.784	.00000	.00000	.00000	.00000	.00000	.00000
32	9.072	.00000	.00000	.00000	.00000	.00000	.00000
33	9.360	.00000	.00000	.00000	.00000	.00000	.00000
34	9.648	.00000	.00000	.00000	-.00014	.00000	.00000
35	9.936	.00000	.00000	.00000	-.00012	.00000	.00000
36	10.224	.00000	.00000	.00000	-.00015	.00000	.00000
37	10.512	.00000	.00000	-.00314	-.00015	.00000	.00000
38	10.800	.00000	.00000	.00000	-.00016	.00000	.00000
39	11.088	.00000	.00000	.00000	-.00016	.00000	.00000
40	11.376	.00000	.00000	.00000	-.00012	.00000	.00000
41	11.664	.00000	.00000	.00191	-.00020	.00000	.00000
42	11.952	.00000	.00261	.00152	-.00023	.00000	.00000
43	12.240	.00000	.00157	.00140	-.00024	.00000	-.00154
44	12.528	.00000	.00085	.00152	-.00026	.00000	-.00090
45	12.816	.00000	.00023	.00118	-.00012	.00000	-.00031
46	13.104	.00000	.00001	.00139	-.00008	.00000	-.00011
47	13.392	.00000	-.00041	.00120	-.00001	.00000	-.00008
48	13.680	-.00057	-.00033	.00065	-.00003	.00000	.00012
49	13.968	.00007	-.00044	.00048	.00003	.00000	.00020
50	14.256	.00061	-.00054	.00038	.00004	.00000	.00016
51	14.544	.00069	-.00062	.00016	.00009	.00000	.00021
52	14.832	.00044	-.00040	.00002	.00009	.00000	.00012
53	15.120	.00031	-.00008	-.00030	.00014	.00000	.00000
54	15.408	.00042	-.00012	-.00031	.00012	.00000	.00015
55	15.696	-.00002	.00005	-.00045	.00011	.00212	.00009
56	15.984	-.00046	.00017	-.00035	.00005	-.00337	.00013
57	16.272	-.00083	.00018	-.00016	-.00003	-.00706	.00007
58	16.560	-.00081	.00024	-.00010	-.00003	.00179	-.00007
59	16.848	-.00079	.00025	-.00004	-.00002	.00464	-.00010
60	17.136	-.00058	.00021	.00020	-.00007	.00000	-.00001
61	17.424	-.00027	.00014	.00051	-.00013	.00000	.00000
62	17.712	-.00005	.00017	.00040	-.00012	.00198	-.00012
63	18.000	.00041	.00005	.00024	-.00021	-.00091	-.00003
64	18.288	.00042	-.00005	.00021	-.00011	.00000	.00001
65	18.576	.00044	.00003	.00022	-.00013	-.00339	-.00005
66	18.864	.00048	-.00025	.00031	-.00018	-.00116	-.00004
67	19.152	.00066	-.00037	.00022	-.00021	.00018	-.00004
68	19.440	.00031	-.00044	.00036	-.00018	.00126	-.00008
69	19.728	.00035	-.00059	.00028	-.00018	.00194	-.00005
70	20.016	.00046	-.00061	.00035	-.00008	.00228	-.00002
71	20.304	.00048	-.00060	.00031	-.00003	.00302	.00002
72	20.592	.00062	-.00056	.00031	.00007	.00209	-.00008
73	20.880	.00043	-.00045	.00017	.00010	.00129	-.00006
74	21.168	.00051	-.00049	-.00002	.00006	.00060	-.00026
75	21.456	.00074	-.00036	-.00003	.00011	.00003	-.00035
76	21.744	.00055	-.00036	-.00004	.00006	-.00012	-.00032
77	22.032	.00007	-.00029	-.00002	.00004	-.00070	-.00027
78	22.320	-.00018	.00002	-.00006	.00006	-.00158	-.00007
79	22.608	-.00024	.00014	-.00007	.00003	-.00149	.00000
80	22.896	-.00037	.00011	-.00026	.00003	-.00224	.00007
81	23.184	-.00011	-.00005	-.00035	-.00002	-.00136	-.00005
82	23.472	.00002	-.00001	-.00024	-.00004	-.00063	-.00029
83	23.760	-.00005	-.00010	-.00025	-.00002	-.00002	-.00021
84	24.048	-.00012	-.00026	-.00002	-.00009	.00046	.00001
85	24.336	-.00026	-.00030	-.00014	-.00008	.00084	.00001
86	24.624	-.00009	-.00022	-.00010	-.00005	.00112	.00008
87	24.912	-.00002	-.00029	-.00016	-.00001	.00132	.00001
88	25.200	-.00013	-.00030	-.00019	-.00006	.00185	-.00001
89	25.488	-.00016	-.00034	-.00006	-.00010	.00093	-.00003
90	25.776	.00016	-.00053	-.00020	-.00011	.00128	-.00003
