   0.00   0.03   0.61   1.00   0.76   0.39   0.12  -0.02  -0.02  -0.15  -0.17  -0.19  -0.20  -0.21  -0.21  -0.22  -0.22  -0.22  -0.22  -0.22  -0.19  -0.14  -0.08  -0.05
 0.0000 0.0080 0.0288 0.0002 -.0152 -.0132 -.0079 -.0043 -.0023 -.0013 -.0008 -.0005 -.0004 -.0002 -.0002 -.0001 -.0001 0.0000 0.0000 0.0003 0.0019 0.0024 0.0017 0.0010
  2  300000. 0.406  52.0
  1.00  0.11 -0.31 -0.17 -0.05 -0.02 -0.01
  3  300000. 0.370  55.5
  1.00  0.11 -0.31 -0.17 -0.05 -0.02 -0.01
  4  300000. 0.337  64.3
  1.00  0.08 -0.33 -0.16 -0.04 -0.01  0.00
  5  300000. 0.307  52.0
  1.00  0.08 -0.33 -0.16 -0.04  0.00  0.00
  6  300000. 0.279  37.3
  1.00  0.05 -0.35 -0.16 -0.03  0.00  0.00
  7  300000. 0.253  25.685
  1.00  0.08 -0.34 -0.16 -0.04  0.00  0.00
  8  300000. 0.230  23.559
  1.00  0.12 -0.34 -0.18 -0.05 -0.01  0.00
  9  300000. 0.208  22.005
  1.00  0.13 -0.32 -0.18 -0.06 -0.01 -0.01
 10  300000. 0.189  20.979
  1.00  0.17 -0.32 -0.20 -0.07 -0.02 -0.01
 11  300000. 0.171  20.105
  1.00  0.18 -0.31 -0.20 -0.07 -0.02 -0.01
 12  300000. 0.148  30.246
  1.00  0.11 -0.40 -0.18 -0.03  0.01  0.01
 13  300000. 0.121  25.319
  1.00  0.14 -0.37 -0.19 -0.05  0.00  0.00
 14  300000. 0.099  22.350
  1.00  0.17 -0.35 -0.20 -0.06 -0.01  0.00
 15  460000. 0.084  29.
  1.00  0.24 -0.30 -0.22 -0.09 -0.03 -0.02
