Calo      Layer     Region     Eta  DATA
    3        1        0        0  0.15317
    3        1        0        1  0.15317
    3        1        0        2  0.15317
    3        1        0        3  0.15317
    3        1        0        4  0.15317
    3        1        0        5  0.15317
    3        1        0        6  0.15317
    3        2        0        0  0.07664
    3        2        0        1  0.07664
    3        2        0        2  0.07664
    3        2        0        3  0.07664
    3        2        0        4  0.07664
    3        2        0        5  0.07664
    3        2        0        6  0.07664
    2        0        0        0  0.02155
    2        0        0        1  0.02155
    2        0        0        2  0.02155
    2        0        0        3  0.02155
    2        0        0        4  0.02155
    2        0        0        5  0.02155
    2        0        0        6  0.02155
    2        0        0        7  0.02155
    2        0        0        8  0.02155
    2        0        0        9  0.02155
    2        0        0       10  0.02155
    2        0        0       11  0.02155
    2        1        0        0  0.07664
    2        1        1        0  0.07664
    2        1        1        1  0.07664
    2        1        1        2  0.07664
    2        1        2        0  0.02552
    2        1        2        1  0.02552
    2        1        2        2  0.02552
    2        1        2        3  0.02552
    2        1        2        4  0.02552
    2        1        2        5  0.02552
    2        1        2        6  0.02552
    2        1        2        7  0.02552
    2        1        2        8  0.02552
    2        1        2        9  0.02552
    2        1        2       10  0.02552
    2        1        2       11  0.02552
    2        1        2       12  0.02552
    2        1        2       13  0.02552
    2        1        2       14  0.02552
    2        1        2       15  0.02552
    2        1        2       16  0.02552
    2        1        2       17  0.02552
    2        1        2       18  0.02552
    2        1        2       19  0.02552
    2        1        2       20  0.02552
    2        1        2       21  0.02552
    2        1        2       22  0.02552
    2        1        2       23  0.02552
    2        1        2       24  0.02552
    2        1        2       25  0.02552
    2        1        2       26  0.02552
    2        1        2       27  0.02552
    2        1        2       28  0.02552
    2        1        2       29  0.02552
    2        1        2       30  0.02552
    2        1        2       31  0.02552
    2        1        2       32  0.02552
    2        1        2       33  0.02552
    2        1        2       34  0.02552
    2        1        2       35  0.02552
    2        1        2       36  0.02552
    2        1        2       37  0.02552
    2        1        2       38  0.02552
    2        1        2       39  0.02552
    2        1        2       40  0.02552
    2        1        2       41  0.02552
    2        1        2       42  0.02552
    2        1        2       43  0.02552
    2        1        2       44  0.02552
    2        1        2       45  0.02552
    2        1        2       46  0.02552
    2        1        2       47  0.02552
    2        1        2       48  0.02552
    2        1        2       49  0.02552
    2        1        2       50  0.02552
    2        1        2       51  0.02552
    2        1        2       52  0.02552
    2        1        2       53  0.02552
    2        1        2       54  0.02552
    2        1        2       55  0.02552
    2        1        2       56  0.02552
    2        1        2       57  0.02552
    2        1        2       58  0.02552
    2        1        2       59  0.02552
    2        1        2       60  0.02552
    2        1        2       61  0.02552
    2        1        2       62  0.02552
    2        1        2       63  0.02552
    2        1        2       64  0.02552
    2        1        2       65  0.02552
    2        1        2       66  0.02552
    2        1        2       67  0.02552
    2        1        2       68  0.02552
    2        1        2       69  0.02552
    2        1        2       70  0.02552
    2        1        2       71  0.02552
    2        1        2       72  0.02552
    2        1        2       73  0.02552
    2        1        2       74  0.02552
    2        1        2       75  0.02552
    2        1        2       76  0.02552
    2        1        2       77  0.02552
    2        1        2       78  0.02552
    2        1        2       79  0.02552
    2        1        2       80  0.02552
    2        1        2       81  0.02552
    2        1        2       82  0.02552
    2        1        2       83  0.02552
    2        1        2       84  0.02552
    2        1        2       85  0.02552
    2        1        2       86  0.02552
    2        1        2       87  0.02552
    2        1        2       88  0.02552
    2        1        2       89  0.02552
    2        1        2       90  0.02552
    2        1        2       91  0.02552
    2        1        2       92  0.02552
    2        1        2       93  0.02552
    2        1        2       94  0.02552
    2        1        2       95  0.02552
    2        1        3        0  0.02552
    2        1        3        1  0.02552
    2        1        3        2  0.02552
    2        1        3        3  0.02552
    2        1        3        4  0.02552
    2        1        3        5  0.02552
    2        1        3        6  0.02552
    2        1        3        7  0.02552
    2        1        3        8  0.02552
    2        1        3        9  0.02552
    2        1        3       10  0.02552
    2        1        3       11  0.02552
    2        1        3       12  0.02552
    2        1        3       13  0.02552
    2        1        3       14  0.02552
    2        1        3       15  0.02552
    2        1        3       16  0.02552
    2        1        3       17  0.02552
    2        1        3       18  0.02552
    2        1        3       19  0.02552
    2        1        3       20  0.02552
    2        1        3       21  0.02552
    2        1        3       22  0.02552
    2        1        3       23  0.02552
    2        1        3       24  0.02552
    2        1        3       25  0.02552
    2        1        3       26  0.02552
    2        1        3       27  0.02552
    2        1        3       28  0.02552
