   icalo   isamp   ireg     ieta      ua/DAC   MeV/uA    Atten    uA/DAC     MeV/uA (last two with attenuation corrections)
       3       1       0       0    0.153172   503.57    1.0000  0.153172    503.57
       3       1       0       1    0.153172   482.12    1.0000  0.153172    482.12
       3       1       0       2    0.153172   462.42    1.0000  0.153172    462.42
       3       1       0       3    0.153172   483.86    1.0000  0.153172    483.86
       3       1       0       4    0.153172   462.80    1.0000  0.153172    462.80
       3       1       0       5    0.153172   443.50    1.0000  0.153172    443.50
       3       1       0       6    0.153172   425.74    1.0000  0.153172    425.74
       3       2       0       0    0.076640   503.57    1.0000  0.076640    503.57
       3       2       0       1    0.076640   482.12    1.0000  0.076640    482.12
       3       2       0       2    0.076640   462.42    1.0000  0.076640    462.42
       3       2       0       3    0.076640   483.86    1.0000  0.076640    483.86
       3       2       0       4    0.076640   462.80    1.0000  0.076640    462.80
       3       2       0       5    0.076640   443.50    1.0000  0.076640    443.50
       3       2       0       6    0.076640   425.74    1.0000  0.076640    425.74
       2       0       0       0    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       1    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       2    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       3    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       4    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       5    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       6    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       7    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       8    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0       9    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0      10    0.021552  3620.20    1.0000  0.021552   3620.20
       2       0       0      11    0.021552  3620.20    1.0000  0.021552   3620.20
       2       1       0       0    0.076640   454.54    1.0000  0.076640    454.54
       2       1       1       0    0.076640   445.31    1.0000  0.076640    445.31
       2       1       1       1    0.076640   439.37    1.0000  0.076640    439.37
       2       1       1       2    0.076640   433.59    1.0000  0.076640    433.59
       2       1       2       0    0.025525   457.30    1.0000  0.025525    457.30
       2       1       2       1    0.025525   456.51    1.0000  0.025525    456.51
       2       1       2       2    0.025525   455.72    1.0000  0.025525    455.72
       2       1       2       3    0.025525   454.93    1.0000  0.025525    454.93
       2       1       2       4    0.025525   454.14    1.0000  0.025525    454.14
       2       1       2       5    0.025525   453.36    1.0000  0.025525    453.36
       2       1       2       6    0.025525   452.58    1.0000  0.025525    452.58
       2       1       2       7    0.025525   451.81    1.0000  0.025525    451.81
       2       1       2       8    0.025525   451.03    1.0000  0.025525    451.03
       2       1       2       9    0.025525   450.26    1.0000  0.025525    450.26
       2       1       2      10    0.025525   449.49    1.0000  0.025525    449.49
       2       1       2      11    0.025525   448.73    1.0000  0.025525    448.73
       2       1       2      12    0.025525   447.97    1.0000  0.025525    447.97
       2       1       2      13    0.025525   447.20    1.0000  0.025525    447.20
       2       1       2      14    0.025525   446.45    1.0000  0.025525    446.45
       2       1       2      15    0.025525   445.69    1.0000  0.025525    445.69
       2       1       2      16    0.025525   444.94    1.0000  0.025525    444.94
       2       1       2      17    0.025525   444.19    1.0000  0.025525    444.19
       2       1       2      18    0.025525   443.44    1.0000  0.025525    443.44
       2       1       2      19    0.025525   442.70    1.0000  0.025525    442.70
       2       1       2      20    0.025525   441.95    1.0000  0.025525    441.95
       2       1       2      21    0.025525   441.21    1.0000  0.025525    441.21
       2       1       2      22    0.025525   440.47    1.0000  0.025525    440.47
       2       1       2      23    0.025525   439.74    1.0000  0.025525    439.74
       2       1       2      24    0.025525   439.01    1.0000  0.025525    439.01
