Layer     Region     Eta     DATA
       0        0        0   1.00000
       0        0        1   1.00000
       0        0        2   1.00000
       0        0        3   1.00000
       0        0        4   1.00000
       0        0        5   1.00000
       0        0        6   1.00000
       0        0        7   1.00000
       0        0        8   1.00000
       0        0        9   1.00000
       0        1        0   1.00000
       0        1        1   1.00000
       0        1        2   1.00000
       0        1        3   1.00000
       1        0        0   1.00000
       1        0        1   1.00000
       1        0        2   1.00000
       1        0        3   1.00000
       1        0        4   1.00000
       1        0        5   1.00000
       1        0        6   1.00000
       1        0        7   1.00000
       1        0        8   1.00000
       1        0        9   1.00000
       1        1        0   1.00000
       1        1        1   1.00000
       1        1        2   1.00000
       2        0        1   1.00000
       2        0        2   1.00000
       2        0        3   1.00000
       2        0        4   1.00000
       2        0        5   1.00000
       2        0        6   1.00000
       2        0        7   1.00000
       2        0        8   1.00000
       2        0        9   1.00000
       2        1        0   1.00000
       2        1        1   1.00000
       2        1        2   1.00000
       3        0        2   1.00000
       3        0        3   1.00000
       3        0        4   1.00000
       3        0        5   1.00000
       3        0        6   1.00000
       3        0        7   1.00000
       3        0        8   1.00000
       3        0        9   1.00000
       3        1        0   1.00000
       3        1        1   1.00000
       3        1        2   1.00000
       3        1        3   1.00000
