rho12 	 rho13 	 rho14 	 rho23 	 rho24 	 rho34
0.000000	0.000000	0.000068	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000295	0.000000	0.000000	0.000000
0.000000	0.000000	0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000100	0.000000	0.000000	0.000000
0.000000	0.000000	0.000058	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000113	0.000000	0.000000	0.000000
0.000000	0.000000	0.000112	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000064	0.000000	0.000000	0.000000
0.000000	0.000000	0.000037	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000048	0.000000	0.000000	0.000000
0.000000	0.000000	0.000003	0.000000	0.000000	0.000000
0.000000	0.000000	0.000045	0.000000	0.000000	0.000000
0.000000	0.000000	0.000169	0.000000	0.000000	0.000000
0.000000	0.000000	0.000256	0.000000	0.000000	0.000000
0.000000	0.000000	0.000031	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000004	0.000000	0.000000	0.000000
