rho12 	 rho13 	 rho14 	 rho23 	 rho24 	 rho34
0.000000	0.000000	0.000101	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000123	0.000000	0.000000	0.000000
0.000000	0.000000	0.000029	0.000000	0.000000	0.000000
0.000000	0.000000	0.000023	0.000000	0.000000	0.000000
0.000000	0.000000	0.000066	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000055	0.000000	0.000000	0.000000
0.000000	0.000000	0.000165	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000031	0.000000	0.000000	0.000000
0.000000	0.000000	0.000096	0.000000	0.000000	0.000000
0.000000	0.000000	0.000398	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000002	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000026	0.000000	0.000000	0.000000
0.000000	0.000000	0.000112	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000120	0.000000	0.000000	0.000000
0.000000	0.000000	0.000078	0.000000	0.000000	0.000000
0.000000	0.000000	-0.000007	0.000000	0.000000	0.000000
