rho12        rho13        rho14        rho23        rho24        rho34        
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
0            0            0            0            0            0            
