p1_ID 	 p2_ID 	 p2_ID_TAN2 	 p1_MS 	 p2_MS 	  E_p1_ID 	 E_p2_ID 	 E_p2_ID_TAN2 	 E_p1_MS 	 E_p2_MS 	 S_p1_ID 	 S_p2_ID 	 S_p2_ID_TAN2 	 S_p1_MS 	 S_p2_MS
0	0	7.28771e-06	0.0158555	0	0	0	9.35197e-07	0.000493508	0	0.00488	0	8.55453e-06	0.00158683	0.000156
0	0	2.88538e-05	0.015729	0	0	0	8.30057e-07	0.000592047	0	0.00488	0	4.0589e-06	0.00117686	0.000156
0	0.000339733	0	0.0164176	0	0	5.05269e-06	0	0.000271126	0	0.00165	2.73022e-05	0	0.00148096	0.000156
0	0.000310089	0	0.0206877	0	0	6.94783e-06	0	0.000560122	0	0.00165	2.01503e-05	0	0.000606748	0.000216
0	0.000274606	0	0.0134859	0	0	6.80925e-06	0	0.000483827	0	0.00125	1.42829e-05	0	0.000878387	0.000216
0	0.00024762	0	0.00337647	0	0	7.676e-06	0	0.000703008	0	0.00125	4.0206e-05	0	0.00249295	0.000141
0	0.000206146	0	0.00301455	0	0	7.38283e-06	0	0.000623005	0	0.00079	1.70794e-05	0	0.000936189	0.000141
0	0.000228506	0	0.00978291	0	0	6.40013e-06	0	0.000473661	0	0.00079	1.13964e-05	0	0.000978932	0.000141
0	0.000208255	0	0.0103491	0	0	6.15156e-06	0	0.000291186	0	0.00079	1.51594e-05	0	0.000959323	0.000141
0	0.000202823	0	0.00109924	0	0	8.27661e-06	0	0.000816024	0	0.00079	1.38259e-05	0	0.00468241	0.000141
0	0.000237313	0	0.00525728	0	0	6.41612e-06	0	0.000704412	0	0.00125	3.51581e-06	0	0.000813983	0.000141
0	0.000269064	0	0.00828862	0	0	1.15108e-05	0	0.000837328	0	0.00125	7.56432e-06	0	0.00119218	0.000243
0	0.000283504	0	0.0215458	0	0	1.19894e-05	0	0.000490802	0	0.00165	1.90579e-05	0	0.00149062	0.000243
0	0.000377639	0	0.0153149	0	0	5.68342e-06	0	0.000358641	0	0.00165	8.13215e-06	0	0.000878629	0.000138
0	0	3.10104e-05	0.0145597	0	0	0	1.11671e-06	0.000357921	0	0.00488	0	5.5986e-06	0.00137908	0.000165
0	0	5.04462e-06	0.0122239	0	0	0	5.82212e-07	0.00067316	0	0.00488	0	2.74124e-06	0.00195214	0.000165

