p1_ID_MC 	 p2_ID_MC 	 p2_ID_TAN2_MC 	 p0_MS_MC 	 p1_MS_MC 	 p2_MS_MC
0.00250313	0	4.44766e-05	0.0214132	0.0217969	0.000216192
0.0022913	0	5.00053e-05	0.0626515	0.0244285	0.000239349
0.0322018	0.000487263	0	9.84957e-07	0.0305858	0.000290328
0.028343	0.000399779	0	1.51175e-07	0.0407967	0.000345451
0.0237323	0.000363883	0	0.178574	0.0299266	0.000424508
0.0203443	0.000361458	0	0.173371	0.023987	0.000186231
0.0155661	0.000330275	0	0.173208	0.0264326	0.000254495
0.013491	0.000285913	0	0.186955	0.0261347	0.000307295
0.0138502	0.000272475	0	0.208339	0.0251587	0.000265408
0.0160791	0.000309376	0	0.199765	0.0267306	0.000204658
0.0205593	0.000367655	0	0.172831	0.0240859	0.000178316
0.0239853	0.000339915	0	0.157377	0.036905	0.00054085
0.0283278	0.000364375	0	4.02211e-06	0.0403697	0.000341971
0.0327442	0.000456366	0	1.90521e-06	0.0307716	0.000238926
0.00228672	0	4.81932e-05	0.0625623	0.024878	0.000199511
0.00246244	0	4.01134e-05	0.0433621	0.0206855	0.000240584
