p1_ID_MC 	 p2_ID_MC 	 p2_ID_TAN2_MC 	 p0_MS_MC 	 p1_MS_MC 	 p2_MS_MC
0.00251624	0	4.38888e-05	0.0266583	0.0221404	0.000192584
0.00230657	0	4.99341e-05	0.045463	0.0245208	0.000242177
0.0322803	0.000475866	0	9.43771e-07	0.0305332	0.000287714
0.0285236	0.000383888	0	4.39226e-08	0.0407203	0.000340393
0.0237627	0.000361633	0	0.186369	0.0294165	0.000432477
0.0206326	0.00034768	0	0.165035	0.0241957	0.000177757
0.015561	0.000331337	0	0.186885	0.0259211	0.000260481
0.0135176	0.000285957	0	0.187605	0.026036	0.000312715
0.0138372	0.000274654	0	0.206178	0.0252285	0.000267519
0.0160343	0.000311065	0	0.198159	0.0267446	0.000197
0.0204472	0.000375518	0	0.175542	0.023995	0.000174224
0.0241583	0.000330393	0	0.138032	0.0371686	0.000538347
0.0285424	0.00034271	0	1.39477e-06	0.0399132	0.000348007
0.0332599	0.000422923	0	1.27591e-06	0.0307678	0.000250261
0.00227024	0	4.92778e-05	0.0519389	0.0247668	0.000207351
0.00244925	0	4.0789e-05	0.0345536	0.0211502	0.000225583
