p1_ID_MC 	 p2_ID_MC 	 p2_ID_TAN2_MC 	 p0_MS_MC 	 p1_MS_MC 	 p2_MS_MC
0.00249024	0	4.48334e-05	0.0499011	0.0212088	0.000267737
0.00228309	0	5.03576e-05	2.91082e-07	0.0251251	0.00023202
0.0325904	0.000467159	0	3.84651e-06	0.0288372	0.000307788
0.0287243	0.000368242	0	1.41686e-07	0.0399778	0.000354312
0.0238252	0.000361071	0	0.192636	0.0290725	0.000426797
0.0205294	0.000353228	0	0.147806	0.0277893	9.11911e-05
0.0157467	0.000326286	0	0.185497	0.0279574	0.00023286
0.0135806	0.000282728	0	0.201511	0.0260696	0.00030037
0.0137717	0.000277266	0	0.19314		0.0250008	0.000275458
0.0159923	0.000312721	0	0.201306	0.0270656	0.000225463
0.0203905	0.000382023	0	0.160486	0.0268039	0.00012639
0.0240397	0.000342449	0	0.0733819	0.0368152	0.000592741
0.0282758	0.000367568	0	1.46517e-07	0.0405641	0.000391693
0.0323422	0.000482953	0	7.68066e-06	0.0289875	0.000352458
0.00228421	0	4.89834e-05	1.24603e-07	0.0251702	0.000233685
0.00246858	0	3.97322e-05	0.0536888	0.0214265	0.000220852
