eta_min   eta_max   phi_min   phi_max	 name	
-2.7	  -2.25     -3.142     3.142 	 CSCm230
-2.25	  -2        -3.142     3.142 	 CSCm200
-2.0      -1.7      -3.142     3.142 	 ENDm170
-1.7	  -1.5      -3.142     3.142 	 TRAm150
-1.5	  -1.05     -3.142     3.142 	 TRAm105
-1.05	  -0.8      -3.142     3.142 	 BARm080
-0.8	  -0.4      -3.142     3.142 	 BARm040
-0.4	  0.0       -3.142     3.142	 BARm000
0.0       0.4       -3.142     3.142	 BARp000
0.4       0.8       -3.142     3.142	 BARp040
0.8       1.05      -3.142     3.142	 BARp080
1.05	  1.5       -3.142     3.142	 TRAp105
1.5       1.7       -3.142     3.142	 TRAp150
1.7       2         -3.142     3.142	 ENDp170
2.0       2.25      -3.142     3.142	 CSCp200
2.25	  2.7      -3.142     3.142	 CSCp230
