Scale_ID 	 Scale_ID_err 	 Scale_MS 	 Scale_MS_err 	 Scale_CB 	 Scale_CB_err
0.998861	0.002	0.999095	0.002	-1	-1
0.999495	0.002	0.999511	0.002	-1	-1
0.999007	0.001	0.999809	0.001	-1	-1
0.99905	0.001	0.998258	0.001	-1	-1
0.998812	0.001	0.997969	0.001	-1	-1
0.998669	0.001	1.00014	0.001	-1	-1
0.998966	0.001	1.00027	0.001	-1	-1
0.999247	0.001	1.00019	0.001	-1	-1
0.99901	0.001	0.99979	0.001	-1	-1
0.999002	0.001	1.00036	0.001	-1	-1
0.998696	0.001	0.999866	0.001	-1	-1
0.998937	0.001	0.997707	0.001	-1	-1
0.998998	0.001	0.999332	0.001	-1	-1
0.999219	0.001	1.00053	0.001	-1	-1
0.999659	0.002	1.00012	0.002	-1	-1
0.999354	0.002	0.998937	0.002	-1	-1
