Scale_ID 	 Scale_ID_err 	 Scale_MS 	 Scale_MS_err 	 Scale_CB 	 Scale_CB_err
0.998967	0.002	0.998681	0.002	-1	-1
0.999831	0.002	0.99915		0.002	-1	-1
0.999111	0.001	0.999773	0.001	-1	-1
0.99899		0.001	0.998151	0.001	-1	-1
0.99877		0.001	0.998098	0.001	-1	-1
0.998622	0.001	1.00003		0.001	-1	-1
0.998955	0.001	1.00004		0.001	-1	-1
0.999234	0.001	0.999882	0.001	-1	-1
0.998913	0.001	0.999769	0.001	-1	-1
0.998986	0.001	1.00023		0.001	-1	-1
0.998716	0.001	0.999581	0.001	-1	-1
0.998964	0.001	0.997911	0.001	-1	-1
0.998827	0.001	0.998885	0.001	-1	-1
0.999315	0.001	1.00015		0.001	-1	-1
0.999584	0.002	0.999885	0.002	-1	-1
0.999608	0.002	0.998384	0.002	-1	-1
