Var:eta[min]  Var:eta[max]  Var:absphi[min]  Var:absphi[max]  Name
 0.00          0.40         0                3.1416           Region1
-0.40          0.00         0                3.1416           Region2
 0.40          0.80         0                3.1416           Region3
-0.80         -0.40         0                3.1416           Region4
 0.80          1.05         0                3.1416           Region5
-1.05         -0.80         0                3.1416           Region6
 1.05          1.25         0                3.1416           Region7
-1.25         -1.05         0                3.1416           Region8
 1.25          1.50         0                3.1416           Region9
-1.50         -1.25         0                3.1416           Region10 
 1.50          1.70         0                3.1416           Region11
-1.70         -1.50         0                3.1416           Region12
 1.70          2.00         0                3.1416           Region13
-2.00         -1.70         0                3.1416           Region14
 2.00          2.30         0                3.1416           Region15
-2.30         -2.00         0                3.1416           Region16
 2.30          2.60         0                3.1416           Region17
-2.60         -2.30         0                3.1416           Region18
