Var:abseta[min]  Var:abseta[max]  Var:sector[min]  Var:sector[max]  Name
0.00             0.40             0                0                Region1Small
0.00             0.40             1                1                Region1Large
0.40             0.80             0                0                Region2Small
0.40             0.80             1                1                Region2Large
0.80             1.05             0                0                Region3Small
0.80             1.05             1                1                Region3Large
1.05             1.25             0                0                Region4Small
1.05             1.25             1                1                Region4Large
1.25             1.50             0                0                Region5Small
1.25             1.50             1                1                Region5Large
1.50             1.70             0                0                Region6Small
1.50             1.70             1                1                Region6Large
1.70             2.00             0                0                Region7Small
1.70             2.00             1                1                Region7Large
2.00             2.30             0                0                Region8Small
2.00             2.30             1                1                Region8Large
2.30             2.50             0                0                Region9Small
2.30             2.50             1                1                Region9Large
