Var:eta[min]  Var:eta[max]  Var:sector[min]  Var:sector[max]  Name
-2.50         -2.30         1                1                Region1Large
-2.50         -2.30         0                0                Region1Small
-2.30         -2.00         1                1                Region2Large
-2.30         -2.00         0                0                Region2Small
-2.00         -1.70         1                1                Region3Large
-2.00         -1.70         0                0                Region3Small
-1.70         -1.50         1                1                Region4Large
-1.70         -1.50         0                0                Region4Small
-1.50         -1.25         1                1                Region5Large
-1.50         -1.25         0                0                Region5Small
-1.25         -1.05         1                1                Region6Large
-1.25         -1.05         0                0                Region6Small
-1.05         -0.80         1                1                Region7Large
-1.05         -0.80         0                0                Region7Small
-0.80         -0.40         1                1                Region8Large
-0.80         -0.40         0                0                Region8Small
-0.40         0.00          1                1                Region9Large
-0.40         0.00          0                0                Region9Small
0.00          0.40          1                1                Region10Large
0.00          0.40          0                0                Region10Small
0.40          0.80          1                1                Region11Large
0.40          0.80          0                0                Region11Small
0.80          1.05          1                1                Region12Large
0.80          1.05          0                0                Region12Small
1.05          1.25          1                1                Region13Large
1.05          1.25          0                0                Region13Small
1.25          1.50          1                1                Region14Large
1.25          1.50          0                0                Region14Small
1.50          1.70          1                1                Region15Large
1.50          1.70          0                0                Region15Small
1.70          2.00          1                1                Region16Large
1.70          2.00          0                0                Region16Small
2.00          2.30          1                1                Region17Large
2.00          2.30          0                0                Region17Small
2.30          2.50          1                1                Region18Large
2.30          2.50          0                0                Region18Small
