Var:eta[min]  Var:eta[max]  Var:absphi[min]  Var:absphi[max]  Name
-2.500        -2.375        0.00000          3.14159          Region1
-2.375        -2.250        0.00000          3.14159          Region2
-2.250        -2.125        0.00000          3.14159          Region3
-2.125        -2.000        0.00000          3.14159          Region4
-2.000        -1.875        0.00000          3.14159          Region5
-1.875        -1.750        0.00000          3.14159          Region6
-1.750        -1.625        0.00000          3.14159          Region7
-1.625        -1.500        0.00000          3.14159          Region8
-1.500        -1.375        0.00000          3.14159          Region9
-1.375        -1.250        0.00000          3.14159          Region10
-1.250        -1.125        0.00000          3.14159          Region11
-1.125        -1.000        0.00000          3.14159          Region12
-1.000        -0.875        0.00000          3.14159          Region13
-0.875        -0.750        0.00000          3.14159          Region14
-0.750        -0.625        0.00000          3.14159          Region15
-0.625        -0.500        0.00000          3.14159          Region16
-0.500        -0.375        0.00000          3.14159          Region17
-0.375        -0.250        0.00000          3.14159          Region18
-0.250        -0.125        0.00000          3.14159          Region19
-0.125        0.000         0.00000          3.14159          Region20
0.000         0.125         0.00000          3.14159          Region21
0.125         0.250         0.00000          3.14159          Region22
0.250         0.375         0.00000          3.14159          Region23
0.375         0.500         0.00000          3.14159          Region24
0.500         0.625         0.00000          3.14159          Region25
0.625         0.750         0.00000          3.14159          Region26
0.750         0.875         0.00000          3.14159          Region27
0.875         1.000         0.00000          3.14159          Region28
1.000         1.125         0.00000          3.14159          Region29
1.125         1.250         0.00000          3.14159          Region30
1.250         1.375         0.00000          3.14159          Region31
1.375         1.500         0.00000          3.14159          Region32
1.500         1.625         0.00000          3.14159          Region33
1.625         1.750         0.00000          3.14159          Region34
1.750         1.875         0.00000          3.14159          Region35
1.875         2.000         0.00000          3.14159          Region36
2.000         2.125         0.00000          3.14159          Region37
2.125         2.250         0.00000          3.14159          Region38
2.250         2.375         0.00000          3.14159          Region39
2.375         2.500         0.00000          3.14159          Region40
