# Author: Monica Dobre monica.dobre@cern.ch
# Obtained with Prospino2.1, all variations, filter efficiencies from AMI
# date: 02.10.2014
# SAMPLE     FS   CROSSECTION[pb]     BR     FILTEREFF   REL.UNCERT
202515    157     12.1822394250   0.105    0.32845   0.08534679
202516    157     12.1822394250   0.105    0.24409   0.08534679
202517    157     12.1822394250   0.105    0.19904   0.08534679
202518    157     12.1822394250   0.105    0.12034   0.08534679
202519    157      5.4331315462   0.105    0.34662   0.07710945
202520    157      5.4331315462   0.105    0.34514   0.07710945
202521    157      5.4331315462   0.105    0.28213   0.07710945
202522    157      5.4331315462   0.105    0.23738   0.07710945
202523    157      5.4331315462   0.105    0.15831   0.07710945
202524    157      2.8271517195   0.105    0.36125   0.07306128
202525    157      2.8271517195   0.105    0.36173   0.07306128
202526    157      2.8271517195   0.105    0.35971   0.07306128
202527    157      2.8271517195   0.105    0.31382   0.07306128
202528    157      2.8271517195   0.105    0.26698   0.07306128
202529    157      2.8271517195   0.105    0.19165   0.07306128
202530    157      0.9999487724   0.105    0.38900   0.06588036
202531    157      0.9999487724   0.105    0.38771   0.06588036
202532    157      0.9999487724   0.105    0.38774   0.06588036
202533    157      0.9999487724   0.105    0.38733   0.06588036
202534    157      0.9999487724   0.105    0.38564   0.06588036
202535    157      0.9999487724   0.105    0.38015   0.06588036
202536    157      0.9999487724   0.105    0.31697   0.06588036
202537    157      0.9999487724   0.105    0.25248   0.06588036
202538    157      0.9999487724   0.105    0.15016   0.06588036
202539    157      0.4371315218   0.105    0.40603   0.06500496
202540    157      0.4371315218   0.105    0.40755   0.06500496
202541    157      0.4371315218   0.105    0.40750   0.06500496
202542    157      0.4371315218   0.105    0.40620   0.06500496
202543    157      0.4371315218   0.105    0.40358   0.06500496
202544    157      0.4371315218   0.105    0.40108   0.06500496
202545    157      0.4371315218   0.105    0.40070   0.06500496
202546    157      0.4371315218   0.105    0.39445   0.06500496
202547    157      0.4371315218   0.105    0.35339   0.06500496
202548    157      0.4371315218   0.105    0.30289   0.06500496
202549    157      0.4371315218   0.105    0.21522   0.06500496
202550    157      0.2168252150   0.105    0.42528   0.06329808
202551    157      0.2168252150   0.105    0.42420   0.06329808
202552    157      0.2168252150   0.105    0.41831   0.06329808
202553    157      0.2168252150   0.105    0.41366   0.06329808
202554    157      0.2168252150   0.105    0.40717   0.06329808
202555    157      0.2168252150   0.105    0.22217   0.06329808
202556    157      0.0689731499   0.105    0.45150   0.06238520
202557    157      0.0689731499   0.105    0.45082   0.06238520
202558    157      0.0689731499   0.105    0.44807   0.06238520
202559    157      0.0689731499   0.105    0.44210   0.06238520
202560    157      0.0689731499   0.105    0.43759   0.06238520
202561    157      0.0689731499   0.105    0.42545   0.06238520
202562    157      0.0689731499   0.105    0.41577   0.06238520
202563    157      0.0689731499   0.105    0.22748   0.06238520
202564    157      0.0261882751   0.105    0.47290   0.06810317
202565    157      0.0261882751   0.105    0.46801   0.06810317
202566    157      0.0261882751   0.105    0.46971   0.06810317
202567    157      0.0261882751   0.105    0.46450   0.06810317
202568    157      0.0261882751   0.105    0.46318   0.06810317
202569    157      0.0261882751   0.105    0.45495   0.06810317
202570    157      0.0261882751   0.105    0.44620   0.06810317
202571    157      0.0261882751   0.105    0.43573   0.06810317
202572    157      0.0261882751   0.105    0.42080   0.06810317
202573    157      0.0261882751   0.105    0.22842   0.06810317
