# Author: Alberto Cervelli <alberto.cervelli@lhep.unibe.ch> 
# Obtained with Prospino2.1, all variations, filter efficiencies from AMI
# date  : 10.11.2014
# brief : Only C1+N2 (125) simulated, but cross-sections are reported for
#         C1+N2 (125) + C1-N2 (127). 
# SAMPLE     FS   CROSSECTION[pb]     BR     FILTEREFF   REL.UNCERT
178593    125     1.7927172705     0.185649     6.8776E-01     0.06090923     
178594    125     1.7927172705     0.185649     6.8342E-01     0.06090923     
178595    125     0.3922445563     0.185649     7.4114E-01     0.05583258     
178596    125     0.3922445563     0.185649     7.2774E-01     0.05583258     
178597    125     0.3922445563     0.185649     7.1668E-01     0.05583258     
178598    125     0.1268627892     0.185649     7.7347E-01     0.05799701     
178599    125     0.1268627892     0.185649     7.7090E-01     0.05799701     
178600    125     0.1268627892     0.185649     7.4885E-01     0.05799701     
178601    125     0.1268627892     0.185649     7.2942E-01     0.05799701     
178602    125     0.0488528785     0.185649     7.9278E-01     0.06485868     
178603    125     0.0488528785     0.185649     7.9293E-01     0.06485868     
178604    125     0.0488528785     0.185649     7.7982E-01     0.06485868     
178605    125     0.0488528785     0.185649     7.5841E-01     0.06485868     
178606    125     0.0488528785     0.185649     7.3574E-01     0.06485868     
178607    125     0.0225289473     0.185649     8.0973E-01     0.06956337     
178608    125     0.0225289473     0.185649     8.0928E-01     0.06956337     
178609    125     0.0225289473     0.185649     8.0241E-01     0.06956337     
178610    125     0.0225289473     0.185649     7.8991E-01     0.06956337     
178611    125     0.0225289473     0.185649     7.6387E-01     0.06956337     
178612    125     0.0225289473     0.185649     7.4268E-01     0.06956337     
178613    125     0.0108785635     0.185649     8.2176E-01     0.07002774     
178614    125     0.0108785635     0.185649     8.2457E-01     0.07002774     
178615    125     0.0108785635     0.185649     8.1690E-01     0.07002774     
178616    125     0.0108785635     0.185649     8.0927E-01     0.07002774     
178617    125     0.0108785635     0.185649     7.9375E-01     0.07002774     
178618    125     0.0108785635     0.185649     7.6777E-01     0.07002774     
178619    125     0.0108785635     0.185649     7.4263E-01     0.07002774     
178620    125     0.00536194     0.185649     8.3069E-01     0.07568150     
178621    125     0.00536194     0.185649     8.3260E-01     0.07568150     
178622    125     0.00536194     0.185649     8.2734E-01     0.07568150     
178623    125     0.00536194     0.185649     8.2542E-01     0.07568150     
178624    125     0.00536194     0.185649     8.1333E-01     0.07568150     
178625    125     0.00536194     0.185649     7.9714E-01     0.07568150     
178627    125     0.00536194     0.185649     7.4580E-01     0.07568150     
178628    125     0.0027519819     0.185649     8.3888E-01     0.07546681     
178629    125     0.0027519819     0.185649     8.4027E-01     0.07546681     
178630    125     0.0027519819     0.185649     8.3627E-01     0.07546681     
178631    125     0.0027519819     0.185649     8.3475E-01     0.07546681     
178632    125     0.0027519819     0.185649     8.2540E-01     0.07546681     
178633    125     0.0027519819     0.185649     8.1509E-01     0.07546681     
178634    125     0.0027519819     0.185649     7.9976E-01     0.07546681     
178635    125     0.0027519819     0.185649     7.7051E-01     0.07546681     
178636    125     0.0027519819     0.185649     7.4579E-01     0.07546681     
178637    125     0.0015945006     0.185649     8.4541E-01     0.07570455     
178638    125     0.0015945006     0.185649     8.4797E-01     0.07570455     
178639    125     0.0015945006     0.185649     8.4545E-01     0.07570455     
178640    125     0.0015945006     0.185649     8.4168E-01     0.07570455     
178641    125     0.0015945006     0.185649     8.3787E-01     0.07570455     
178642    125     0.0015945006     0.185649     8.2827E-01     0.07570455     
178643    125     0.0015945006     0.185649     8.1859E-01     0.07570455     
178644    125     0.0015945006     0.185649     8.0169E-01     0.07570455     
178645    125     0.0015945006     0.185649     7.7172E-01     0.07570455     
178646    125     0.0015945006     0.185649     7.4512E-01     0.07570455     
178647    125     0.0008911893     0.185649     8.5004E-01     0.07731787     
178648    125     0.0008911893     0.185649     8.5121E-01     0.07731787     
178649    125     0.0008911893     0.185649     8.5217E-01     0.07731787     
178650    125     0.0008911893     0.185649     8.4588E-01     0.07731787     
178651    125     0.0008913183     0.185649     8.4457E-01     0.07735660     
178652    125     0.0008911893     0.185649     8.3838E-01     0.07731787     
178653    125     0.0008911893     0.185649     8.3029E-01     0.07731787     
178654    125     0.0008911893     0.185649     8.1956E-01     0.07731787     
178655    125     0.0008911893     0.185649     8.0245E-01     0.07731787     
178656    125     0.0008911893     0.185649     7.7150E-01     0.07731787     
178657    125     0.0008911893     0.185649     7.4542E-01     0.07731787     
178658    125     0.0005164368     0.185649     8.5320E-01     0.07894639     
178659    125     0.0005164368     0.185649     8.5466E-01     0.07894639     
178660    125     0.0005164368     0.185649     8.5394E-01     0.07894639     
178661    125     0.0005164368     0.185649     8.5234E-01     0.07894639     
178662    125     0.0005164368     0.185649     8.5080E-01     0.07894639     
178663    125     0.0005164368     0.185649     8.4424E-01     0.07894639     
178664    125     0.0005164368     0.185649     8.3959E-01     0.07894639     
178665    125     0.0005164368     0.185649     8.3340E-01     0.07894639     
178666    125     0.0005164368     0.185649     8.1963E-01     0.07894639     
178667    125     0.0005164368     0.185649     8.0364E-01     0.07894639     
178670    125     0.0003285174     0.185649     8.5712E-01     0.07930613     
178671    125     0.0003284373     0.185649     8.5608E-01     0.07900977     
178672    125     0.0003284373     0.185649     8.5715E-01     0.07900977     
178673    125     0.0003284373     0.185649     8.5771E-01     0.07900977     
178674    125     0.0003284373     0.185649     8.5218E-01     0.07900977     
178675    125     0.0003284373     0.185649     8.5025E-01     0.07900977     
178676    125     0.0003284373     0.185649     8.4561E-01     0.07900977     
178677    125     0.0003284373     0.185649     8.4167E-01     0.07900977     
178678    125     0.0003285174     0.185649     8.3503E-01     0.07930613     
178679    125     0.0003284373     0.185649     8.2025E-01     0.07900977     
178683    125     0.0001787904     0.185649     8.6362E-01     0.07684239     
178684    125     0.0001789785     0.185649     8.6225E-01     0.07776182     
178685    125     0.0001789785     0.185649     8.6307E-01     0.07776182     
178686    125     0.0001787904     0.185649     8.6116E-01     0.07684239     
178687    125     0.0001789785     0.185649     8.5793E-01     0.07776182     
178688    125     0.0001789785     0.185649     8.5762E-01     0.07776182     
178689    125     0.0001789785     0.185649     8.5109E-01     0.07776182     
178690    125     0.0001789785     0.185649     8.5075E-01     0.07776182     
178691    125     0.0001789785     0.185649     8.4385E-01     0.07776182     
178692    125     0.0001789785     0.185649     8.3731E-01     0.07776182     
178697    125     0.0001015917     0.185649     8.6421E-01     0.08755478     
178698    125     0.0001015786     0.185649     8.6881E-01     0.08734585     
178699    125     0.0001015917     0.185649     8.6402E-01     0.08755478     
178700    125     0.0001015917     0.185649     8.6601E-01     0.08755478     
178701    125     0.0001015917     0.185649     8.6329E-01     0.08755478     
178702    125     0.0001015917     0.185649     8.6122E-01     0.08755478     
178703    125     0.0001015917     0.185649     8.5682E-01     0.08755478     
178704    125     0.0001015741     0.185649     8.5665E-01     0.08734585     
178705    125     0.0001015741     0.185649     8.5180E-01     0.08734585     
178706    125     0.0001015917     0.185649     8.4326E-01     0.08755478     
178668    125     0.0005164368     0.185649     7.7356E-01     0.07894639     
178669    125     0.0005164368     0.185649     7.4579E-01     0.07894639     
178680    125     0.0003284373     0.185649     8.0781E-01     0.07900977     
178681    125     0.0003284373     0.185649     7.7310E-01     0.07900977     
178682    125     0.0003284373     0.185649     7.4585E-01     0.07900977     
178707    125     0.0001789785     0.185649     8.3468E-01     0.07776182     
178708    125     0.0001789785     0.185649     8.2118E-01     0.07776182     
178709    125     0.0001789785     0.185649     8.0850E-01     0.07776182     
178710    125     0.0001787904     0.185649     7.7068E-01     0.07684239     
178707    125     0.0001204821     0.185649     8.3468E-01     0.08755478     
178708    125     0.0001204645     0.185649     8.2118E-01     0.08734585     
178709    125     0.0001204821     0.185649     8.0850E-01     0.08755478     
178710    125     0.0001204821     0.185649     7.7068E-01     0.08755478     
178711    125     0.0001015917     0.185649     7.4702E-01     0.08755478     
