# date: 24 March 2015
# used https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVgluglu
# format : datasetID   finalState   XS(pb)   K-factor   filterEff   relUncertainty
204533         2     0.325388      1      1      0.16758
204534         2     0.0460525      1      1      0.1964
204535         2     0.00810078      1      1      0.242679
204536         2     0.00163547      1      1      0.299045 
204537         2     0.000359318      1      1      0.359623
204538         2     8.20068e-05       1      1      0.431071
204539         2     0.0460525      1      1      0.1964
204540         2     0.0460525      1      1      0.1964
204541         2     0.0460525      1      1      0.1964
204912         2     0.0141903      1      1      0.227296
204913         2     0.0141903      1      1      0.227296
204914         2     0.0141903      1      1      0.227296
204915         2     0.0141903      1      1      0.227296
204916         2     0.0141903      1      1      0.227296
