# date: 23 March 2015
# used https://svnweb.cern.ch/trac/atlasphys/browser/Physics/SUSY/Tools/SignalUncertaintiesUtils/trunk
# command: python SUSYCrossSectoinsSubmit.py --tev 13 --dir (input_dir) --outputdir (output_dir) --processes bb --ipart1 1 --local
# format : datasetID   finalState   XS(pb)   K-factor   filterEff   relUncertainty
202249      51      8.5233519353   1.00000000    0.58059000   0.13995026
202266      51      0.0283338236   1.00000000    0.98930000   0.14171003
202257      51      0.1748178200   1.00000000    0.98226000   0.13316279
202260      51      0.0670475635   1.00000000    0.98624000   0.13342874
202270      51      0.0128894749   1.00000000    0.99108000   0.15202562
202277      51      0.0061513427   1.00000000    0.99049000   0.16295286
205080      51     21.6121920903   1.00000000    0.36309000   0.14128325
205081      51     13.3341138527   1.00000000    0.38446000   0.14325975
205082      51      8.5233519353   1.00000000    0.40210000   0.13995026
205083      51      1.8373506393   1.00000000    0.46015000   0.13791573
205084      51      0.5190579005   1.00000000    0.49192000   0.13476114
