# author : jmiguens@cern.ch
# brief  : NLO+NLL cross-sections and uncertainties for Wino NLSP/Bino LSP
# final state 125: Neut2 Char1p
#             127: Neut2 Char1m
#             157: Char1m Char1p
#             Efficiency factor includes generator filter eff.
#             BF corresponds to leptonic BRs for W or Z
#             Scale factors included in XS (reduction from generation of njets=0,1,2 to only 1,2)
#
# DSID           finalState       XS               BF               Filter Eff       relUncertainty   Note                  Resumm-XS [pb]   sigmaMG(1,2j)/sigmaMG(0,1,2j)
377400           125              3.92043758173    0.100974         3.5359E-02       0.0309107141991  C1pN2_WZ_90p0_88p5    20.6091          0.190228471002  
377401           125              3.91681559578    0.100974         6.2329E-02       0.0309107141991  C1pN2_WZ_90p0_88p0    20.6091          0.190052724077  
377402           125              3.91898878735    0.100974         1.2730E-01       0.0309107141991  C1pN2_WZ_90p0_87p0    20.6091          0.190158172232  
377403           125              3.91957100598    0.100974         2.2738E-01       0.0309107141991  C1pN2_WZ_90p0_85p0    20.6091          0.190186422793  
377404           125              2.77477073394    0.100974         3.4446E-02       0.0349455563472  C1pN2_WZ_100p0_98p5   13.8951          0.199694189602  
377405           125              2.7740599949     0.100974         6.1295E-02       0.0349455563472  C1pN2_WZ_100p0_98p0   13.8951          0.199643039266  
377406           125              2.77335142274    0.100974         1.2657E-01       0.0349455563472  C1pN2_WZ_100p0_97p0   13.8951          0.199592044875  
377407           125              2.77972929556    0.100974         2.3172E-01       0.0349455563472  C1pN2_WZ_100p0_95p0   13.8951          0.200051046452  
377408           125              2.77760140888    0.100974         2.9424E-01       0.0349455563472  C1pN2_WZ_100p0_90p0   13.8951          0.199897907095  
377409           125              2.77760140888    0.100974         3.0046E-01       0.0349455563472  C1pN2_WZ_100p0_85p0   13.8951          0.199897907095  
377410           125              2.77760140888    0.100974         2.8467E-01       0.0349455563472  C1pN2_WZ_100p0_75p0   13.8951          0.199897907095  
377411           125              2.77760140888    0.100974         2.5138E-01       0.0349455563472  C1pN2_WZ_100p0_60p0   13.8951          0.199897907095  
377412           125              2.77760140888    0.100974         2.1616E-01       0.0349455563472  C1pN2_WZ_100p0_40p0   13.8951          0.199897907095  
377413           125              1.37055495704    0.100974         3.2323E-02       0.0355886958372  C1pN2_WZ_125p0_123p5  6.25221          0.219211280018  
377414           125              1.36773546956    0.100974         5.8570E-02       0.0355886958372  C1pN2_WZ_125p0_123p0  6.25221          0.21876032148   
377415           125              1.36797198768    0.100974         1.2663E-01       0.0355886958372  C1pN2_WZ_125p0_122p0  6.25221          0.218798151002  
