# author : michael.holzbock@cern.ch
# brief  : NLO+NLL cross-sections and uncertainties for higgsino LSP
# final state 125: Neut2 Char1p
#             127: Neut2 Char1m
#             112: Neut2 Neut1
#             157: Char1m Char1p
#             Efficiency factor includes generator filter eff.
#             BF corresponds to leptonic BRs for W or Z (calculated via SUSY-HIT)
#             Scale factors included in XS (reduction from generation of njets=0,1,2 to only 1,2)
#
# DSID   finalState  XS          BF       Filter Eff  relUncertainty   Note                            Resumm-XS [pb]   sigmaMG(1,2j)/sigmaMG(0,1,2j)
395060   127         0.331883    0.1124   0.286463    0.044102         # N2C1m_110_100_2L2MET75        1.643709         0.201911                 
396908   112         0.632041    0.1009   0.028800    0.026266         # N2N1_101p5_100_2L2MET75       3.201246         0.197436                 
396909   127         0.406618    0.1009   0.028800    0.042935         # N2C1m_101p5_100_2L2MET75      2.072128         0.196232                 
396910   125         0.663836    0.1009   0.028800    0.021806         # N2C1p_101p5_100_2L2MET75      3.305901         0.200803                 
396911   157         0.582203    0.1511   0.009380    0.029747         # C1C1_101p5_100_2L2MET75       2.908854         0.200149                 
396912   112         1.367174    0.1009   0.028800    0.023078         # N2N1_81p5_80_2L2MET75         7.746232         0.176495                 
396913   127         0.856146    0.1009   0.028800    0.039399         # N2C1m_81p5_80_2L2MET75        4.863215         0.176045                 
396914   125         1.348589    0.1009   0.028800    0.019141         # N2C1p_81p5_80_2L2MET75        7.470734         0.180516                 
396915   157         1.161249    0.1511   0.009380    0.026511         # C1C1_81p5_80_2L2MET75         6.459886         0.179763                 
396916   112         0.300815    0.1009   0.028800    0.029818         # N2N1_126p5_125_2L2MET75       1.383578         0.217418                 
396917   127         0.194699    0.1009   0.028800    0.046696         # N2C1m_126p5_125_2L2MET75      0.902176         0.215811                 
396918   125         0.330288    0.1009   0.028800    0.024840         # N2C1p_126p5_125_2L2MET75      1.500297         0.220149                 
396919   157         0.291443    0.1511   0.009380    0.032890         # C1C1_126p5_125_2L2MET75       1.327852         0.219485                 
396920   112         0.095949    0.09941  0.102094    0.036268         # N2N1_178_175_2L2MET75         0.391649         0.244987                 
396921   127         0.060993    0.09941  0.107690    0.052710         # N2C1m_178_175_2L2MET75        0.250217         0.243762                 
396922   125         0.111131    0.09941  0.112782    0.030847         # N2C1p_178_175_2L2MET75        0.448091         0.248010                 
396923   157         0.098012    0.1577   0.024379    0.038851         # C1C1_178_175_2L2MET75         0.395973         0.247522                 
396924   112         0.094113    0.09867  0.212352    0.036369         # N2N1_180_175_2L2MET75         0.383418         0.245459                 
396925   127         0.059134    0.09867  0.219777    0.052920         # N2C1m_180_175_2L2MET75        0.242310         0.244042                 
396926   125         0.108102    0.09867  0.224221    0.031038         # N2C1p_180_175_2L2MET75        0.434786         0.248632                 
396927   157         0.096121    0.133    0.064703    0.038949         # C1C1_180_175_2L2MET75         0.387948         0.247769                 
396928   112         0.089567    0.1124   0.327357    0.036682         # N2N1_185_175_2L2MET75         0.363707         0.246260                 
396929   127         0.055073    0.1124   0.349851    0.053299         # N2C1m_185_175_2L2MET75        0.223808         0.246073                 
396930   125         0.100673    0.1124   0.353850    0.031459         # N2C1p_185_175_2L2MET75        0.403596         0.249441                 
396931   157         0.091443    0.1124   0.167353    0.039228         # C1C1_185_175_2L2MET75         0.368771         0.247966                 
396932   112         0.085332    0.1111   0.365567    0.036957         # N2N1_190_175_2L2MET75         0.345126         0.247250                 
396933   127         0.051381    0.1111   0.406342    0.053677         # N2C1m_190_175_2L2MET75        0.207010         0.248207                 
396934   125         0.094265    0.1111   0.390163    0.031886         # N2C1p_190_175_2L2MET75        0.375143         0.251277                 
396935   157         0.087530    0.1117   0.220865    0.039481         # C1C1_190_175_2L2MET75         0.350754         0.249549                 
396936   112         0.081425    0.1098   0.406246    0.037254         # N2N1_195_175_2L2MET75         0.327625         0.248532                 
396937   127         0.047826    0.1098   0.415640    0.054073         # N2C1m_195_175_2L2MET75        0.191730         0.249446                 
396938   125         0.088128    0.1098   0.414859    0.032313         # N2C1p_195_175_2L2MET75        0.349139         0.252416                 
396939   157         0.083656    0.111    0.257025    0.039743         # C1C1_195_175_2L2MET75         0.333821         0.250603                 
396940   112         0.039714    0.09867  0.212352    0.041774         # N2N1_230_225_2L2MET75         0.150189         0.264429                 
396941   127         0.024502    0.09867  0.219777    0.057681         # N2C1m_230_225_2L2MET75        0.093283         0.262658                 
396942   125         0.047583    0.09867  0.224221    0.036625         # N2C1p_230_225_2L2MET75        0.178200         0.267018                 
396943   157         0.041471    0.133    0.064703    0.043873         # C1C1_230_225_2L2MET75         0.155671         0.266401                 
396944   112         0.038149    0.1124   0.327357    0.042034         # N2N1_235_225_2L2MET75         0.143990         0.264941                 
396945   127         0.023156    0.1124   0.349851    0.057997         # N2C1m_235_225_2L2MET75        0.087488         0.264679                 
396946   125         0.044927    0.1124   0.353850    0.037035         # N2C1p_235_225_2L2MET75        0.167869         0.267632                 
396947   157         0.039862    0.1124   0.167353    0.044094         # C1C1_235_225_2L2MET75         0.149425         0.266767                 
396948   112         0.036693    0.1111   0.365567    0.042343         # N2N1_240_225_2L2MET75         0.138083         0.265734                 
396949   127         0.021817    0.1111   0.406342    0.058340         # N2C1m_240_225_2L2MET75        0.082122         0.265668                 
396950   125         0.042532    0.1111   0.390163    0.037433         # N2C1p_240_225_2L2MET75        0.158260         0.268746                 
396951   157         0.038391    0.1117   0.220865    0.044347         # C1C1_240_225_2L2MET75         0.143480         0.267568         
