# author : itzebelt.santoyo.castillo@cern.ch & Andreas Petridis (apetrid@cern.ch) -- please report any problems
# date   : 29/1/2016
# update :
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVn2x1wino
#          Note the proper filterEff per process is quoted here, as opposed what AMI reports - which is for 125+127.
#          Comment:
#          The C1N2 signal grid contains generator weights >=1 or <1.
#          In order to take into account the effect of the gen weights on the two subprocesses,
#          I rerun the generation of the samples one time with the C1pN2 ONLY and one time with C1mN2 ONLY
# format : datasetID   finalState   XS   BF   filterEff   relUncertainty  # C1/N2 mass in GeV
392200  125     0.143126         0.03266518922     7.517142e-01      0.0656566       # 350
392201  125     0.260319         0.03266518922     6.612639e-01      0.0597429       # 300
392202  125     0.0329135        0.03266518922     7.795782e-01      0.0830793       # 500
392203  125     0.0515901        0.03266518922     7.804605e-01      0.0783284       # 450
392204  125     0.260319         0.03266518922     7.583968e-01      0.0597429       # 300
392205  125     0.143126         0.03266518922     7.657637e-01      0.0656566       # 350
392206  125     0.143126         0.03266518922     6.681283e-01      0.0656566       # 350
392207  125     3.27384          0.03266518922     6.189685e-01      0.0388458       # 150
392208  125     0.260319         0.03266518922     7.507607e-01      0.0597429       # 300
392209  125     0.0839069        0.03266518922     7.717535e-01      0.0721467       # 400
392210  125     0.143126         0.03266518922     7.664443e-01      0.0656566       # 350
392211  125     0.143126         0.03266518922     7.597424e-01      0.0656566       # 350
392212  125     3.27384          0.03266518922     7.066588e-01      0.0388458       # 150
392213  125     0.517259         0.03266518922     7.478176e-01      0.0534651       # 250
392214  125     0.0515901        0.03266518922     7.720167e-01      0.0783284       # 450
392215  125     0.517259         0.03266518922     7.406267e-01      0.0534651       # 250
392216  125     0.0515901        0.03266518922     7.769365e-01      0.0783284       # 450
392217  125     0.0839069        0.03266518922     7.686762e-01      0.0721467       # 400
392218  125     0.0329135        0.03266518922     7.651743e-01      0.0830793       # 500
392219  125     0.0515901        0.03266518922     6.771377e-01      0.0783284       # 450
392220  125     0.143126         0.03266518922     7.668641e-01      0.0656566       # 350
392221  125     0.0839069        0.03266518922     7.682284e-01      0.0721467       # 400
392222  125     1.17026          0.03266518922     6.436557e-01      0.046853        # 200
392223  125     0.0329135        0.03266518922     7.773956e-01      0.0830793       # 500
392224  125     0.0839069        0.03266518922     7.602435e-01      0.0721467       # 400
392225  125     0.0329135        0.03266518922     7.778921e-01      0.0830793       # 500
392226  125     13.8951          0.03266518922     6.601449e-01      0.0349456       # 100
392227  125     0.260319         0.03266518922     7.550094e-01      0.0597429       # 300
392228  125     0.0515901        0.03266518922     7.596639e-01      0.0783284       # 450
392229  125     13.8951          0.03266518922     5.722091e-01      0.0349456       # 100
392230  125     1.17026          0.03266518922     7.289398e-01      0.046853        # 200
392231  125     0.143126         0.03266518922     7.650751e-01      0.0656566       # 350
392232  125     0.0329135        0.03266518922     7.736277e-01      0.0830793       # 500
392233  125     0.517259         0.03266518922     6.564165e-01      0.0534651       # 250
392234  125     0.517259         0.03266518922     7.496929e-01      0.0534651       # 250
392250  125     0.0329135        0.03266518922     7.708596e-01      0.0830793       # 500
392251  125     0.0329135        0.03266518922     7.768726e-01      0.0830793       # 500
392252  125     0.0329135        0.03266518922     7.777918e-01      0.0830793       # 500
392253  125     0.0329135        0.03266518922     7.828273e-01      0.0830793       # 500
392254  125     0.021644         0.03266518922     7.727402e-01      0.0888819       # 550
392255  125     0.021644         0.03266518922     7.754545e-01      0.0888819       # 550
392256  125     0.021644         0.03266518922     7.796037e-01      0.0888819       # 550
392257  125     0.021644         0.03266518922     7.792553e-01      0.0888819       # 550
392258  125     0.021644         0.03266518922     7.837811e-01      0.0888819       # 550
392259  125     0.021644         0.03266518922     7.869469e-01      0.0888819       # 550
392260  125     0.021644         0.03266518922     7.832824e-01      0.0888819       # 550
392261  125     0.021644         0.03266518922     7.861328e-01      0.0888819       # 550
392262  125     0.021644         0.03266518922     7.808168e-01      0.0888819       # 550
392263  125     0.0145767        0.03266518922     7.777227e-01      0.0947848       # 600
392264  125     0.0145767        0.03266518922     7.811134e-01      0.0947848       # 600
392265  125     0.0145767        0.03266518922     7.824385e-01      0.0947848       # 600
392266  125     0.0145767        0.03266518922     7.826562e-01      0.0947848       # 600
392267  125     0.0145767        0.03266518922     7.854264e-01      0.0947848       # 600
392268  125     0.0145767        0.03266518922     7.870343e-01      0.0947848       # 600
392269  125     0.0145767        0.03266518922     7.870613e-01      0.0947848       # 600
392270  125     0.0145767        0.03266518922     7.858817e-01      0.0947848       # 600
392271  125     0.0145767        0.03266518922     7.858251e-01      0.0947848       # 600
392272  125     0.0100188        0.03266518922     7.880588e-01      0.0975634       # 650
392273  125     0.0100188        0.03266518922     7.848193e-01      0.0975634       # 650
392274  125     0.0100188        0.03266518922     7.863195e-01      0.0975634       # 650
392275  125     0.0100188        0.03266518922     7.898736e-01      0.0975634       # 650
392276  125     0.00699008       0.03266518922     7.856167e-01      0.1021466       # 700
392277  125     0.00699008       0.03266518922     7.859160e-01      0.1021466       # 700
