# DID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
374401   111      0.0000483792   1.00000000    1.00000000   0.07343304
374401   112      0.5688367805   1.00000000    1.00000000   0.06957537
374401   113      0.0000143477   1.00000000    1.00000000   0.07602580
374401   115      0.6714869622   1.00000000    1.00000000   0.06427526
374401   117      0.3904367921   1.00000000    1.00000000   0.08537809
374401   122      0.0000052823   1.00000000    1.00000000   0.06868620
374401   123      0.0130882317   1.00000000    1.00000000   0.06450252
374401   125      0.6190944538   1.00000000    1.00000000   0.06319481
374401   127      0.3560026712   1.00000000    1.00000000   0.08389064
374401   133      0.0000051168   1.00000000    1.00000000   0.08039770
374401   135      0.0161731450   1.00000000    1.00000000   0.05572888
374401   137      0.0085263192   1.00000000    1.00000000   0.07659916
374401   157      0.5521394832   1.00000000    1.00000000   0.07204170
374402   111      0.0000196714   1.00000000    1.00000000   0.07428763
374402   112      0.1758869805   1.00000000    1.00000000   0.06980716
374402   113      0.0000061260   1.00000000    1.00000000   0.06978701
374402   115      0.2160204868   1.00000000    1.00000000   0.05966205
374402   117      0.1177445654   1.00000000    1.00000000   0.08068680
374402   122      0.0000008636   1.00000000    1.00000000   0.06461291
374402   123      0.0204883285   1.00000000    1.00000000   0.06278053
374402   125      0.2239407428   1.00000000    1.00000000   0.06049986
374402   127      0.1193664518   1.00000000    1.00000000   0.07533479
374402   133      0.0000042444   1.00000000    1.00000000   0.07812131
374402   135      0.0259361106   1.00000000    1.00000000   0.05566314
374402   137      0.0132648086   1.00000000    1.00000000   0.07927991
374402   157      0.1948856648   1.00000000    1.00000000   0.06664596
374403   111      0.0000074840   1.00000000    1.00000000   0.07487851
374403   112      0.0670193509   1.00000000    1.00000000   0.06273613
374403   113      0.0000035909   1.00000000    1.00000000   0.06807180
374403   115      0.0847573117   1.00000000    1.00000000   0.05726087
374403   117      0.0434015910   1.00000000    1.00000000   0.07565711
374403   122      0.0000001849   1.00000000    1.00000000   0.05974634
374403   123      0.0155699186   1.00000000    1.00000000   0.06331602
374403   125      0.0991679171   1.00000000    1.00000000   0.06269414
374403   127      0.0495491210   1.00000000    1.00000000   0.07607020
374403   133      0.0000026749   1.00000000    1.00000000   0.08108341
374403   135      0.0200144632   1.00000000    1.00000000   0.05860450
374403   137      0.0097090776   1.00000000    1.00000000   0.07283392
374403   157      0.0842664222   1.00000000    1.00000000   0.06446239
374404   111      0.0000009969   1.00000000    1.00000000   0.08631863
374404   112      0.0046473042   1.00000000    1.00000000   0.06252960
374404   113      0.0000014548   1.00000000    1.00000000   0.08551626
374404   115      0.0065038290   1.00000000    1.00000000   0.06199368
374404   117      0.0027270680   1.00000000    1.00000000   0.07787659
374404   122      0.0000000023   1.00000000    1.00000000   0.07083097
374404   123      0.0025423822   1.00000000    1.00000000   0.06617429
374404   125      0.0097880782   1.00000000    1.00000000   0.06417496
374404   127      0.0040460179   1.00000000    1.00000000   0.07974329
374404   133      0.0000007009   1.00000000    1.00000000   0.08824995
374404   135      0.0036012646   1.00000000    1.00000000   0.06313426
374404   137      0.0014632289   1.00000000    1.00000000   0.07980372
374404   157      0.0077256870   1.00000000    1.00000000   0.06465391
374405   111      0.0000004207   1.00000000    1.00000000   0.09389833
374405   112      0.0007454068   1.00000000    1.00000000   0.07156086
374405   113      0.0000006721   1.00000000    1.00000000   0.10019138
374405   115      0.0011158562   1.00000000    1.00000000   0.08129394
374405   117      0.0004081060   1.00000000    1.00000000   0.08852522
374405   122      0.0000000001   1.00000000    1.00000000   0.08048298
374405   123      0.0005164864   1.00000000    1.00000000   0.07236235
374405   125      0.0018577848   1.00000000    1.00000000   0.07594915
374405   127      0.0006689789   1.00000000    1.00000000   0.08953313
374405   133      0.0000002844   1.00000000    1.00000000   0.09969119
374405   135      0.0007806548   1.00000000    1.00000000   0.07364953
374405   137      0.0002786918   1.00000000    1.00000000   0.08897397
374405   157      0.0013832611   1.00000000    1.00000000   0.07222436
374406   111      0.0000001928   1.00000000    1.00000000   0.11265452
374406   112      0.0001690647   1.00000000    1.00000000   0.07976304
374406   113      0.0000003060   1.00000000    1.00000000   0.11658678
374406   115      0.0002634828   1.00000000    1.00000000   0.07957662
374406   117      0.0000882668   1.00000000    1.00000000   0.10193640
374406   122      0.0000000000   1.00000000    1.00000000   0.08618551
374406   123      0.0001307162   1.00000000    1.00000000   0.08584262
374406   125      0.0004573641   1.00000000    1.00000000   0.07919095
374406   127      0.0001528476   1.00000000    1.00000000   0.10918102
374406   133      0.0000001240   1.00000000    1.00000000   0.11590302
374406   135      0.0002037690   1.00000000    1.00000000   0.07687606
374406   137      0.0000672195   1.00000000    1.00000000   0.10421650
374406   157      0.0003358070   1.00000000    1.00000000   0.08458917
374407    111      0.0000000875   1.00000000    1.00000000   0.12284254
374407    112      0.0000460438   1.00000000    1.00000000   0.08555873
374407    113      0.0000001394   1.00000000    1.00000000   0.12763936
374407    115      0.0000729953   1.00000000    1.00000000   0.08033081
374407    117      0.0000234451   1.00000000    1.00000000   0.11546766
374407    122      0.0000000000   1.00000000    1.00000000   0.08929112
374407    123      0.0000370400   1.00000000    1.00000000   0.08559703
374407    125      0.0001284170   1.00000000    1.00000000   0.07776352
374407    127      0.0000413413   1.00000000    1.00000000   0.11748606
374407    133      0.0000000559   1.00000000    1.00000000   0.12477397
374407    135      0.0000586009   1.00000000    1.00000000   0.07815473
374407    137      0.0000187582   1.00000000    1.00000000   0.11797319
374407    157      0.0000960345   1.00000000    1.00000000   0.09511602
374408    111      0.0000000405   1.00000000    1.00000000   0.13144410
374408    112      0.0000138985   1.00000000    1.00000000   0.08908945
374408    113      0.0000000628   1.00000000    1.00000000   0.13257368
374408    115      0.0000216177   1.00000000    1.00000000   0.07597744
374408    117      0.0000069620   1.00000000    1.00000000   0.12911311
374408    122      0.0000000000   1.00000000    1.00000000   0.00000000
374408    123      0.0000117158   1.00000000    1.00000000   0.08982418
374408    125      0.0000389724   1.00000000    1.00000000   0.07725703
374408    127      0.0000125437   1.00000000    1.00000000   0.13368596
374408    133      0.0000000246   1.00000000    1.00000000   0.13524524
374408    135      0.0000181822   1.00000000    1.00000000   0.08143815
374408    137      0.0000058456   1.00000000    1.00000000   0.13211652
374408    157      0.0000303016   1.00000000    1.00000000   0.10475885
374409    111      0.0000000183   1.00000000    1.00000000   0.14050576
374409    112      0.0000045095   1.00000000    1.00000000   0.09699840
374409    113      0.0000000280   1.00000000    1.00000000   0.14341359
374409    115      0.0000068377   1.00000000    1.00000000   0.09606926
374409    117      0.0000022295   1.00000000    1.00000000   0.14159217
374409    122      0.0000000000   1.00000000    1.00000000   0.00000000
374409    123      0.0000038998   1.00000000    1.00000000   0.09681863
374409    125      0.0000123752   1.00000000    1.00000000   0.10182652
374409    127      0.0000040761   1.00000000    1.00000000   0.14445712
374409    133      0.0000000108   1.00000000    1.00000000   0.14540132
374409    135      0.0000058591   1.00000000    1.00000000   0.10515964
374409    137      0.0000019292   1.00000000    1.00000000   0.14235816
374409    157      0.0000101841   1.00000000    1.00000000   0.11079055
374410    111      0.0000000082   1.00000000    1.00000000   0.15261233
374410    112      0.0000015153   1.00000000    1.00000000   0.10343270
374410    113      0.0000000122   1.00000000    1.00000000   0.15058040
374410    115      0.0000021490   1.00000000    1.00000000   0.15308617
374410    117      0.0000007514   1.00000000    1.00000000   0.16405692
374410    122      0.0000000000   1.00000000    1.00000000   0.00000000
374410    123      0.0000013609   1.00000000    1.00000000   0.10639535
374410    125      0.0000039580   1.00000000    1.00000000   0.16063389
374410    127      0.0000013998   1.00000000    1.00000000   0.16928182
374410    133      0.0000000046   1.00000000    1.00000000   0.15620664
374410    135      0.0000018990   1.00000000    1.00000000   0.16849261
374410    137      0.0000006762   1.00000000    1.00000000   0.17091710
374410    157      0.0000035862   1.00000000    1.00000000   0.12359206
374411    111      0.0000000037   1.00000000    1.00000000   0.15945040
374411    112      0.0000005296   1.00000000    1.00000000   0.13037763
374411    113      0.0000000052   1.00000000    1.00000000   0.16256417
374411    115      0.0000006810   1.00000000    1.00000000   0.23155553
374411    117      0.0000002591   1.00000000    1.00000000   0.20658631
374411    122      0.0000000000   1.00000000    1.00000000   0.00000000
374411    123      0.0000004971   1.00000000    1.00000000   0.13872247
374411    125      0.0000012685   1.00000000    1.00000000   0.24217293
374411    127      0.0000004899   1.00000000    1.00000000   0.21289004
374411    133      0.0000000019   1.00000000    1.00000000   0.16748024
374411    135      0.0000006254   1.00000000    1.00000000   0.25129108
374411    137      0.0000002426   1.00000000    1.00000000   0.21772403
374411    157      0.0000012951   1.00000000    1.00000000   0.13481067
