# DID     FS     CROSSECTION[pb]   K-FACTOR      FILTEREFF    REL.UNCERT
374250     2      0.0371481305      1.00000000    1.00000000   0.20282649
374251     2      0.0371481305      1.00000000    1.00000000   0.20282649
374252     2      0.0371481305      1.00000000    1.00000000   0.20282649
374253     2      0.0371481305      1.00000000    1.00000000   0.20282649
374254     2      0.0371481305      1.00000000    1.00000000   0.20282649
374255     2      0.0371481305      1.00000000    1.00000000   0.20282649
374256     2      0.0371481305      1.00000000    1.00000000   0.20282649
374257     2      0.0371481305      1.00000000    1.00000000   0.20282649
374258     2      0.0371481305      1.00000000    1.00000000   0.20282649
374259     2      0.0213276508      1.00000000    1.00000000   0.21748761
374260     2      0.0213276508      1.00000000    1.00000000   0.21748761
374261     2      0.0213276508      1.00000000    1.00000000   0.21748761
374262     2      0.0213276508      1.00000000    1.00000000   0.21748761
374263     2      0.0213276508      1.00000000    1.00000000   0.21748761
374264     2      0.0213276508      1.00000000    1.00000000   0.21748761
374265     2      0.0213276508      1.00000000    1.00000000   0.21748761
374266     2      0.0213276508      1.00000000    1.00000000   0.21748761
374267     2      0.0213276508      1.00000000    1.00000000   0.21748761
374268     2      0.0213276508      1.00000000    1.00000000   0.21748761
374269     2      0.0125334060      1.00000000    1.00000000   0.23263165
374270     2      0.0125334060      1.00000000    1.00000000   0.23263165
374271     2      0.0125334060      1.00000000    1.00000000   0.23263165
374272     2      0.0125334060      1.00000000    1.00000000   0.23263165
374273     2      0.0125334060      1.00000000    1.00000000   0.23263165
374274     2      0.0125334060      1.00000000    1.00000000   0.23263165
374275     2      0.0125334060      1.00000000    1.00000000   0.23263165
374276     2      0.0125298557      1.00000000    1.00000000   0.23298091
374277     2      0.0125298557      1.00000000    1.00000000   0.23298091
374278     2      0.0125298557      1.00000000    1.00000000   0.23298091
374279     2      0.0075264110      1.00000000    1.00000000   0.24689974
374280     2      0.0075264110      1.00000000    1.00000000   0.24689974
374281     2      0.0075264110      1.00000000    1.00000000   0.24689974
374282     2      0.0075264110      1.00000000    1.00000000   0.24689974
374283     2      0.0075264110      1.00000000    1.00000000   0.24689974
374284     2      0.0075264110      1.00000000    1.00000000   0.24689974
374285     2      0.0075264110      1.00000000    1.00000000   0.24689974
374286     2      0.0075264110      1.00000000    1.00000000   0.24689974
374287     2      0.0075264110      1.00000000    1.00000000   0.24689974
374288     2      0.0075264110      1.00000000    1.00000000   0.24689974
374289     2      0.0045751074      1.00000000    1.00000000   0.26363920
374290     2      0.0045751074      1.00000000    1.00000000   0.26363920
374291     2      0.0045751074      1.00000000    1.00000000   0.26363920
374292     2      0.0045751074      1.00000000    1.00000000   0.26363920
374293     2      0.0045965378      1.00000000    1.00000000   0.26333641
374294     2      0.0045965378      1.00000000    1.00000000   0.26333641
374295     2      0.0045965378      1.00000000    1.00000000   0.26333641
374296     2      0.0045965378      1.00000000    1.00000000   0.26333641
374297     2      0.0045965378      1.00000000    1.00000000   0.26333641
374298     2      0.0045965378      1.00000000    1.00000000   0.26333641
374299     2      0.0045965378      1.00000000    1.00000000   0.26333641
374300     2      0.0028281605      1.00000000    1.00000000   0.28201950
374301     2      0.0028281605      1.00000000    1.00000000   0.28201950
374302     2      0.0028281605      1.00000000    1.00000000   0.28201950
374303     2      0.0028281605      1.00000000    1.00000000   0.28201950
374304     2      0.0028281605      1.00000000    1.00000000   0.28201950
374305     2      0.0028281605      1.00000000    1.00000000   0.28201950
374306     2      0.0028281605      1.00000000    1.00000000   0.28201950
374307     2      0.0028281605      1.00000000    1.00000000   0.28201950
374308     2      0.0028281605      1.00000000    1.00000000   0.28201950
374309     2      0.0028281605      1.00000000    1.00000000   0.28201950
374310     2      0.0028281605      1.00000000    1.00000000   0.28201950
374311     2      0.0017647600      1.00000000    1.00000000   0.29857550
374312     2      0.0017647600      1.00000000    1.00000000   0.29857550
374313     2      0.0017647600      1.00000000    1.00000000   0.29857550
374314     2      0.0017647600      1.00000000    1.00000000   0.29857550
374315     2      0.0017647600      1.00000000    1.00000000   0.29857550
374316     2      0.0017647600      1.00000000    1.00000000   0.29857550
374317     2      0.0017647600      1.00000000    1.00000000   0.29857550
374318     2      0.0017647600      1.00000000    1.00000000   0.29857550
374319     2      0.0017647600      1.00000000    1.00000000   0.29857550
374320     2      0.0017647600      1.00000000    1.00000000   0.29857550
374321     2      0.0017647600      1.00000000    1.00000000   0.29857550
374322     2      0.0017647600      1.00000000    1.00000000   0.29857550
374323     2      0.0011173534      1.00000000    1.00000000   0.31427668
374324     2      0.0011173534      1.00000000    1.00000000   0.31427668
374325     2      0.0011173534      1.00000000    1.00000000   0.31427668
374326     2      0.0011173534      1.00000000    1.00000000   0.31427668
374327     2      0.0011173534      1.00000000    1.00000000   0.31427668
374328     2      0.0011173534      1.00000000    1.00000000   0.31427668
374329     2      0.0011173534      1.00000000    1.00000000   0.31427668
374330     2      0.0011173534      1.00000000    1.00000000   0.31427668
374331     2      0.0011173534      1.00000000    1.00000000   0.31427668
374332     2      0.0011173534      1.00000000    1.00000000   0.31427668
374333     2      0.0011173534      1.00000000    1.00000000   0.31427668
374334     2      0.0011173534      1.00000000    1.00000000   0.31427668
374335     2      0.0007123991      1.00000000    1.00000000   0.33260665
374336     2      0.0007123991      1.00000000    1.00000000   0.33260665
374337     2      0.0007123991      1.00000000    1.00000000   0.33260665
374338     2      0.0007123991      1.00000000    1.00000000   0.33260665
374339     2      0.0007123991      1.00000000    1.00000000   0.33260665
374340     2      0.0007123991      1.00000000    1.00000000   0.33260665
374341     2      0.0007123991      1.00000000    1.00000000   0.33260665
374342     2      0.0007123991      1.00000000    1.00000000   0.33260665
374343     2      0.0007123991      1.00000000    1.00000000   0.33260665
374344     2      0.0007123991      1.00000000    1.00000000   0.33260665
374345     2      0.0007123991      1.00000000    1.00000000   0.33260665
