# SignalUncertainties for long-lived RPC-RPV signal grid MGPy8EG_A14NNPDF23LO_GG_rpv
# based on gluino pair production with decays into light flavors(LF) and heavy flavors(HF)
# No event generator filters applied
# No additional BRs of gluino or neutralino included here
SAMPLE     FS   CROSSECTION[pb]    BR-FACTOR     FILTEREFF   REL.UNCERT     #COMMENT
375116      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvdem_p01ns 
375117      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvdem_p1ns 	
375118      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvdem_1ns
375119      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvdem_10ns
375124      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_50_rpvLF_p01ns 
375126      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_50_rpvLF_1ns 
375136      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_1250_rpvLF_p01ns 
375138      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_1250_rpvLF_1ns 
375176      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_50_rpvLF_p01ns 
375177      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_50_rpvLF_p1ns 
375178      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_50_rpvLF_1ns 
375179      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_50_rpvLF_10ns 
375188      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvLF_p01ns 
375189      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvLF_p1ns 
375190      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvLF_1ns 
375191      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_1250_rpvLF_10ns 
375238      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_qqn1_2400_50_rpvLF_1ns 
375250      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_qqn1_2400_1250_rpvLF_1ns 
375308      2      0.3253876883   1.00000000   1.00000000    0.16758000     #GG_qqn1_1000_200_rpvLF_p01ns 
375309      2      0.3253876883   1.00000000   1.00000000    0.16758000     #GG_qqn1_1000_200_rpvLF_p1ns 
375310      2      0.3253876883   1.00000000   1.00000000    0.16758000     #GG_qqn1_1000_200_rpvLF_1ns 
375311      2      0.3253876883   1.00000000   1.00000000    0.16758000     #GG_qqn1_1000_200_rpvLF_10ns 
375312      2      0.3253876883   1.00000000   1.00000000    0.16758000     #GG_qqn1_1000_200_rpvLF_100ns 
375313      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_qqn1_1100_200_rpvLF_p01ns 
375314      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_qqn1_1100_200_rpvLF_p1ns 
375315      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_qqn1_1100_200_rpvLF_1ns 
375316      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_qqn1_1100_200_rpvLF_10ns 
375317      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_qqn1_1100_200_rpvLF_100ns 
375318      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_qqn1_1200_200_rpvLF_p01ns 
375319      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_qqn1_1200_200_rpvLF_p1ns 
375320      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_qqn1_1200_200_rpvLF_1ns 
375321      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_qqn1_1200_200_rpvLF_10ns 
375322      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_qqn1_1200_200_rpvLF_100ns 
375323      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_qqn1_1300_200_rpvLF_p01ns 
375324      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_qqn1_1300_200_rpvLF_p1ns 
375325      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_qqn1_1300_200_rpvLF_1ns 
375326      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_qqn1_1300_200_rpvLF_10ns 
375327      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_qqn1_1300_200_rpvLF_100ns 
375328      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_qqn1_1400_200_rpvLF_p01ns 		
375329      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_qqn1_1400_200_rpvLF_p1ns 		
375330      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_qqn1_1400_200_rpvLF_1ns 
375331      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_qqn1_1400_200_rpvLF_10ns 
375332      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_qqn1_1400_200_rpvLF_100ns 
375333      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_qqn1_1500_200_rpvLF_p01ns 
375334      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_qqn1_1500_200_rpvLF_p1ns 
375335      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_qqn1_1500_200_rpvLF_1ns 
375336      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_qqn1_1500_200_rpvLF_10ns 
375337      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_qqn1_1500_200_rpvLF_100ns 
375338      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_200_rpvLF_p01ns 
375339      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_200_rpvLF_p1ns 
375340      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_qqn1_1600_200_rpvLF_1ns 
