# SignalUncertainties for prompt RPC-RPV signal grid MGPy8EG_A14NNPDF23LO_GG_rpv
# based on gluino pair production with decays into light flavors(LF) and heavy flavors(HF)
# No event generator filters applied
# No additional BRs of gluino or neutralino included here
SAMPLE     FS   CROSSECTION[pb]    BR-FACTOR     FILTEREFF   REL.UNCERT     #COMMENT
404940      2      0.6774779078   1.00000000   1.00000000    0.15876178     #GG_rpvLF_900_200
404941      2      0.3253876883   1.00000000   1.00000000    0.16758000     #GG_rpvLF_1000_200
404942      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_rpvLF_1100_200
404943      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_rpvLF_1200_200
404944      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_rpvLF_1300_200
404945      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_rpvLF_1400_200
404946      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_rpvLF_1500_200
404947      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_rpvLF_1600_200
404950      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_rpvHF_1400_200
404951      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_rpvHF_1500_200
404952      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_rpvHF_1600_200
404953      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_rpvHF_1700_200
404954      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_rpvHF_1800_200
404955      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_rpvHF_1900_200
404956      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_rpvHF_2000_200
404957      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_rpvHF_2200_200
404958      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_rpvHF_2400_200
