# SignalUncertainties for long-lived RPC-RPV signal grid
# based on stop pair production with decays into heavy flavors(HF)
# No event generator filters applied
# No additional BRs of gluino or neutralino included here
SAMPLE     FS   CROSSECTION[pb]    BR-FACTOR     FILTEREFF   REL.UNCERT     #COMMENT
375428     61      1.8373506393   1.00000000   1.00000000    0.13791573     #TT_tn1_400_200_rpvHF_p1ns 
375429     61      1.8373506393   1.00000000   1.00000000    0.13791573     #TT_tn1_400_200_rpvHF_1ns 
375430     61      1.8373506393   1.00000000   1.00000000    0.13791573     #TT_tn1_400_200_rpvHF_10ns 
375431     61      0.5190579005   1.00000000   1.00000000    0.13476114     #TT_tn1_500_200_rpvHF_p1ns 
375432     61      0.5190579005   1.00000000   1.00000000    0.13476114     #TT_tn1_500_200_rpvHF_1ns 
375433     61      0.5190579005   1.00000000   1.00000000    0.13476114     #TT_tn1_500_200_rpvHF_10ns 
375434     61      0.1748178200   1.00000000   1.00000000    0.13316279     #TT_tn1_600_200_rpvHF_p01ns
375435     61      0.1748178200   1.00000000   1.00000000    0.13316279     #TT_tn1_600_200_rpvHF_p1ns 
375436     61      0.1748178200   1.00000000   1.00000000    0.13316279     #TT_tn1_600_200_rpvHF_1ns 
375437     61      0.1748178200   1.00000000   1.00000000    0.13316279     #TT_tn1_600_200_rpvHF_10ns 
375438     61      0.1748178200   1.00000000   1.00000000    0.13316279     #TT_tn1_600_200_rpvHF_100ns 
375439     61      0.0670475635   1.00000000   1.00000000    0.13342874     #TT_tn1_700_200_rpvHF_p01ns 
375440     61      0.0670475635   1.00000000   1.00000000    0.13342874     #TT_tn1_700_200_rpvHF_p1ns 
375441     61      0.0670475635   1.00000000   1.00000000    0.13342874     #TT_tn1_700_200_rpvHF_1ns
375442     61      0.0670475635   1.00000000   1.00000000    0.13342874     #TT_tn1_700_200_rpvHF_10ns 
375443     61      0.0670475635   1.00000000   1.00000000    0.13342874     #TT_tn1_700_200_rpvHF_100ns 
375444     61      0.0283338236   1.00000000   1.00000000    0.14171003     #TT_tn1_800_200_rpvHF_p01ns 
375445     61      0.0283338236   1.00000000   1.00000000    0.14171003     #TT_tn1_800_200_rpvHF_p1ns 
375446     61      0.0283338236   1.00000000   1.00000000    0.14171003     #TT_tn1_800_200_rpvHF_1ns 
375447     61      0.0283338236   1.00000000   1.00000000    0.14171003     #TT_tn1_800_200_rpvHF_10ns 
375448     61      0.0283338236   1.00000000   1.00000000    0.14171003     #TT_tn1_800_200_rpvHF_100ns 
375449     61      0.0128894749   1.00000000   1.00000000    0.15202562     #TT_tn1_900_200_rpvHF_p01ns 
375450     61      0.0128894749   1.00000000   1.00000000    0.15202562     #TT_tn1_900_200_rpvHF_p1ns 
375451     61      0.0128894749   1.00000000   1.00000000    0.15202562     #TT_tn1_900_200_rpvHF_1ns 
375452     61      0.0128894749   1.00000000   1.00000000    0.15202562     #TT_tn1_900_200_rpvHF_10ns 
375453     61      0.0128894749   1.00000000   1.00000000    0.15202562     #TT_tn1_900_200_rpvHF_100ns 
375454     61      0.0061513427   1.00000000   1.00000000    0.16295286     #TT_tn1_1000_200_rpvHF_p01ns 
375455     61      0.0061513427   1.00000000   1.00000000    0.16295286     #TT_tn1_1000_200_rpvHF_p1ns 
375456     61      0.0061513427   1.00000000   1.00000000    0.16295286     #TT_tn1_1000_200_rpvHF_1ns 
375457     61      0.0061513427   1.00000000   1.00000000    0.16295286     #TT_tn1_1000_200_rpvHF_10ns 
375458     61      0.0061513427   1.00000000   1.00000000    0.16295286     #TT_tn1_1000_200_rpvHF_100ns 
375459     61      0.0030741301   1.00000000   1.00000000    0.17337688     #TT_tn1_1100_200_rpvHF_p01ns 
375460     61      0.0030741301   1.00000000   1.00000000    0.17337688     #TT_tn1_1100_200_rpvHF_p1ns 
375461     61      0.0030741301   1.00000000   1.00000000    0.17337688     #TT_tn1_1100_200_rpvHF_1ns 
375462     61      0.0030741301   1.00000000   1.00000000    0.17337688     #TT_tn1_1100_200_rpvHF_10ns 
375463     61      0.0030741301   1.00000000   1.00000000    0.17337688     #TT_tn1_1100_200_rpvHF_100ns 
