# author : ppani@cern.ch (please report any problems)
# date   : 14/10/2015
#          @modified 09/03/17 : (martin) add NLO kfactors and uncertainties (xsection+PDF+scales) (obo Eitan Gozani)
#        @modified 28/07/16 : fix width accounted in the calculation . Move to rel. uncertainties as for other grids
# notes  : it assumes that g = g_q = g_chi = 1 .  For a proper rescaling look at Sec 2.5.3 of the DM Forum report (https://twiki.cern.ch/twiki/pub/AtlasProtected/HeavyQuarkDMRun2/doc_1.pdf)
#          Pre-computed values for different settings are also available at https://twiki.cern.ch/twiki/bin/view/AtlasProtected/TTPhiValidation 
#
# Note: pseudoscalar models have a problem in ami. Filter comes from validation logfiles
#
#DSID     FS   CROSSECTION[pb]  K-FACTOR   FILTEREFF      REL.UNCERT
303078    0      19.606          1.25574   0.598639       0.0894905
303079    0      10.427          1.25444   0.643428       0.089495
303080    0     2.94432          1.23831   0.753218       0.087517
303081    0    0.673193          1.22298   0.859095       0.0877049
303082    0    0.093419          1.20960   1              0.0954139
303083    0    0.029441          1.26388   1              0.110934
303084    0   0.0051355          1.38059   1              0.126022
303085    0  0.00036855          1.52055   1              0.148088
303086    0   6.168e-08          1.54523   1              0.166119
303087    0   6.613e-09          1.97943   1              0.291006
303088    0   9.436e-09          1.0       1.0            0.0042340
303089    0   1.713e-09          1.0       1.0            0.0059764
303090    0   0.0944693          1.24591   0.738134       0.0895105
303091    0      0.1202          1.0       7.2634e-01     0.0041863
303092    0       2.942          1.0       7.5499e-01     0.0028378
303093    0      0.6732          1.0       8.6049e-01     0.0034536
303094    0   0.0019155          1.23414   1.0            0.0987951
303095    0    0.002329          1.0       1.0            0.0044869
303096    0    0.006558          1.0       1.0            0.0040652
303097    0     0.09224          1.0       1.0            0.0027450
303099    0   7.373e-07          1.61671   1.0            0.183424
303100    0   9.894e-07          1.0       1.0            0.0050272
303101    0     7.3e-06          1.0       1.0            0.0043657
303102    0   8.614e-05          1.38960   1.0            0.13058
303103    0     0.00013          1.0       1.0            0.0043992
303104    0    0.000394          1.0       1.0            0.0040380
303105    0    0.003754          1.0       1.0            0.0050399
303106    0   4.162e-08          1.0       1.0            0.0042864
303107    0    0.439124          1.30077   0.857522       0.106175
303108    0    0.401348          1.31332   0.872838       0.106167
303109    0    0.301812          1.30710   1.0            0.107357
303110    0    0.190175          1.29986   1.0            0.109989
303111    0    0.084141          1.27999   1.0            0.113173
303112    0    0.040118          1.33182   1.0            0.120643
303113    0    0.005342          1.40210   1.0            0.129902
303114    0  0.00039445          1.52998   1.0            0.148087
303115    0   7.045e-08          1.56139   1.0            0.165133
303116    0   2.591e-08          1.91355   1.0            0.265467
303117    0   3.932e-08          1.0       1.0            0.0041963
303118    0   3.513e-09          1.0       1.0            0.0042869
303119    0    0.014931          1.30668   1.0            0.108757
303120    0     0.01864          1.0       1.0            0.0059817
303121    0       0.303          1.0       1.0            0.0045478
303122    0      0.1898          1.0       1.0            0.0047513
303123    0  0.00243225          1.31195   1.0            0.115309
303124    0    0.002963          1.0       1.0            0.0049409
303125    0     0.01074          1.0       1.0            0.0052262
303126    0     0.08381          1.0       1.0            0.0040902
303127    0     0.03994          1.0       1.0            0.0046144
303128    0   2.274e-06          1.58663   1.0            0.173075
303129    0   3.285e-06          1.0       1.0            0.0039512
303130    0   6.225e-05          1.0       1.0            0.0036497
303131    0   0.0002358          1.39992   1.0            0.130474
303132    0   0.0004119          1.0       1.0            0.0044185
303133    0    0.003426          1.0       1.0            0.0050262
303134    0    0.004625          1.0       1.0            0.0045275
303135    0    5.73e-08          1.0       1.0            0.0051239
304616    0     0.01967          1.28622   1.0            0.115217
304617    0     0.01191          1.31654   1.0            0.118999
304618    0   0.0075956          1.34815   1.0            0.121868
304619    0    0.022189          1.34301   1.0            0.121537
304620    0    0.011606          1.35447   1.0            0.123163
304621    0  0.00764289          1.39084   1.0            0.126995
388530    0   0.0009979          1.0          1.0         0.0031536
388531    0     0.01081          1.0          1.0         0.0037715
388532    0     0.01123          1.0          1.0         0.0035048
388533    0      0.6827          1.0          1.0         0.0033191
388534    0     0.02752          1.0          1.0         0.0038045
388535    0     0.01924          1.0          1.0         0.0037671
388536    0      0.0914          1.0          1.0         0.0028140
388537    0    0.004428          1.0          1.0         0.0044512
388538    0     0.01069          1.0          1.0         0.0045238
388539    0     0.01252          1.0          1.0         0.0045399
388540    0      0.1902          1.0          1.0         0.0050967
388541    0     0.03941          1.0          1.0         0.0042324
388542    0    0.016832          1.0          1.0         0.0043317
388543    0     0.08357          1.0          1.0         0.0041282
388544    0  0.00026658          1.32155      1.0         0.119911
388545    0    0.000269          1.0          1.0         0.0046356
388546    0   0.0002789          1.0          1.0         0.0051882
388547    0    0.000324          1.0          1.0         0.0050555
388548    0   8.679e-05          1.0          1.0         0.0040903
388549    0   8.837e-05          1.0          1.0         0.0048919
388550    0    9.45e-05          1.0          1.0         0.0046042
388551    0  0.00065253          1.36852      1.0         0.124371
388552    0   0.0006583          1.0          1.0         0.0042943
388553    0   0.0006883          1.0          1.0         0.0048394
