#DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
################################################################################################################

388330    4    3.78661     1.0   8.1760E-01     0.136877
388331    4    3.78661     1.0   7.2384E-01     0.136877
388332    4    1.83537     1.0   8.0545E-01     0.136985
388333    4    0.948333    1.0   8.8553E-01     0.134559
388334    4    0.948333    1.0   8.5183E-01     0.134559
388335    4    0.948333    1.0   8.1501E-01     0.134559
388336    4    0.51848     1.0   8.7920E-01     0.133797
388337    4    0.51848     1.0   8.2994E-01     0.133797
388338    4    0.51848     1.0   7.7117E-01     0.133797
388339    4    0.296128    1.0   9.2435E-01     0.132687
388340    4    0.296128    1.0   9.1802E-01     0.132687
388341    4    0.296128    1.0   9.1413E-01     0.132687
388342    4    0.296128    1.0   9.0338E-01     0.132687
388343    4    0.296128    1.0   8.7178E-01     0.132687
388344    4    0.296128    1.0   7.8042E-01     0.132687
388345    4    0.174599    1.0   9.3408E-01     0.132074
388346    4    0.174599    1.0   9.3025E-01     0.132074
388347    4    0.174599    1.0   9.1771E-01     0.132074
388348    4    0.174599    1.0   9.1114E-01     0.132074
388349    4    0.174599    1.0   8.9829E-01     0.132074
388350    4    0.174599    1.0   8.7797E-01     0.132074
388351    4    0.174599    1.0   8.4106E-01     0.132074
388352    4    0.174599    1.0   7.9003E-01     0.132074
388353    4    0.107045    1.0   9.3915E-01     0.129232
388354    4    0.107045    1.0   9.3788E-01     0.129232
388355    4    0.107045    1.0   9.3418E-01     0.129232
388356    4    0.107045    1.0   9.1951E-01     0.129232
388357    4    0.107045    1.0   8.8350E-01     0.129232
388358    4    0.107045    1.0   7.9171E-01     0.129232
388359    4    0.0670476   1.0   9.4918E-01     0.133429
388360    4    0.0670476   1.0   9.4202E-01     0.133429
388361    4    0.0670476   1.0   9.4012E-01     0.133429
388362    4    0.0670476   1.0   9.3324E-01     0.133429
388363    4    0.0670476   1.0   9.2822E-01     0.133429
388364    4    0.0670476   1.0   9.2089E-01     0.133429
388365    4    0.0670476   1.0   9.0760E-01     0.133429
388366    4    0.0670476   1.0   8.8163E-01     0.133429
388367    4    0.0670476   1.0   8.5411E-01     0.133429
388368    4    0.0431418   1.0   9.5386E-01     0.137455
388369    4    0.0431418   1.0   9.5112E-01     0.137455
388370    4    0.0431418   1.0   9.4738E-01     0.137455
388371    4    0.0431418   1.0   9.3237E-01     0.137455
388372    4    0.0431418   1.0   9.0791E-01     0.137455
388373    4    0.0431418   1.0   8.9337E-01     0.137455
388374    4    0.0283338   1.0   9.5983E-01     0.14171 
388375    4    0.0283338   1.0   9.5733E-01     0.14171 
388376    4    0.0283338   1.0   9.5343E-01     0.14171 
388377    4    0.0283338   1.0   9.4929E-01     0.14171 
388378    4    0.0283338   1.0   9.5091E-01     0.14171 
388379    4    0.0283338   1.0   9.4318E-01     0.14171 
388380    4    0.0283338   1.0   9.3761E-01     0.14171 
388381    4    0.0283338   1.0   9.2752E-01     0.14171 
388382    4    0.0283338   1.0   9.1397E-01     0.14171 
388383    4    0.0189612   1.0   9.6055E-01     0.14702 
388384    4    0.0189612   1.0   9.6287E-01     0.14702 
388385    4    0.0189612   1.0   9.6062E-01     0.14702 
388386    4    0.0189612   1.0   9.5615E-01     0.14702 
388387    4    0.0189612   1.0   9.4167E-01     0.14702 
388388    4    0.0189612   1.0   9.3220E-01     0.14702 
388389    4    0.0128895   1.0   9.7149E-01     0.152026
388390    4    0.0128895   1.0   9.6820E-01     0.152026
388391    4    0.0128895   1.0   9.6441E-01     0.152026
388392    4    0.0128895   1.0   9.6442E-01     0.152026
388393    4    0.0128895   1.0   9.6150E-01     0.152026
388394    4    0.0128895   1.0   9.5625E-01     0.152026
388395    4    0.0128895   1.0   9.5309E-01     0.152026
388396    4    0.0128895   1.0   9.4799E-01     0.152026
388397    4    0.0128895   1.0   9.4144E-01     0.152026
388398    4    0.00883465  1.0   9.6999E-01     0.157177
388399    4    0.00883465  1.0   9.6730E-01     0.157177
388400    4    0.00883465  1.0   9.6464E-01     0.157177
388401    4    0.00883465  1.0   9.6217E-01     0.157177
388402    4    0.00883465  1.0   9.5700E-01     0.157177
388403    4    0.00883465  1.0   9.4668E-01     0.157177
388404    4    0.00615134  1.0   9.6937E-01     0.162953
388405    4    0.00615134  1.0   9.7497E-01     0.162953
388406    4    0.00615134  1.0   9.7086E-01     0.162953
388407    4    0.00615134  1.0   9.6951E-01     0.162953
388408    4    0.00615134  1.0   9.6715E-01     0.162953
388409    4    0.00615134  1.0   9.6685E-01     0.162953
388410    4    0.00615134  1.0   9.6218E-01     0.162953
388411    4    0.00615134  1.0   9.6107E-01     0.162953
388412    4    0.00615134  1.0   9.5705E-01     0.162953
388413    4    0.00307413  1.0   9.7871E-01     0.173377
388414    4    0.00307413  1.0   9.7471E-01     0.173377
388415    4    0.00307413  1.0   9.7553E-01     0.173377
388416    4    0.00307413  1.0   9.7542E-01     0.173377
388417    4    0.00307413  1.0   9.7182E-01     0.173377
388418    4    0.00307413  1.0   9.7571E-01     0.173377
388419    4    0.00307413  1.0   9.7187E-01     0.173377
388420    4    0.00307413  1.0   9.6979E-01     0.173377
388421    4    0.00307413  1.0   9.6371E-01     0.173377
