#DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
################################################################################################################

387775    61      21.5949    1.0   2.1845E-01    0.140595
387776    61      21.5949    1.0   5.7925E-02    0.140595
387777    61      13.3231    1.0   4.1643E-01    0.142549
387778    61      13.3231    1.0   5.6351E-02    0.142549
387779    61      13.3231    1.0   2.8568E-01    0.142549
387780    61      13.3231    1.0   5.7856E-02    0.142549
387781    61      13.3231    1.0   2.3361E-01    0.142549
387782    61      13.3231    1.0   6.4608E-02    0.142549
387783    61      13.3231    1.0   2.2806E-01    0.142549
387784    61      13.3231    1.0   7.4123E-02    0.142549
387785    61      8.51615    1.0   4.2809E-01    0.139223
387786    61      8.51615    1.0   6.5690E-02    0.139223
387787    61      8.51615    1.0   2.6792E-01    0.139223
387788    61      8.51615    1.0   6.8791E-02    0.139223
387789    61      8.51615    1.0   2.3862E-01    0.139223
387790    61      8.51615    1.0   7.5572E-02    0.139223
387791    61      8.51615    1.0   2.3529E-01    0.139223
387792    61      8.51615    1.0   8.2068E-02    0.139223
387793    61      5.60471    1.0   4.3671E-01    0.138144
387794    61      5.60471    1.0   7.4868E-02    0.138144
387795    61      5.60471    1.0   3.6957E-01    0.138144
387796    61      5.60471    1.0   7.4435E-02    0.138144
387797    61      5.60471    1.0   2.5820E-01    0.138144
387798    61      5.60471    1.0   8.0693E-02    0.138144
387799    61      5.60471    1.0   2.4481E-01    0.138144
387800    61      5.60471    1.0   9.0674E-02    0.138144
387801    61      3.78661    1.0   4.4448E-01    0.136877
387802    61      3.78661    1.0   8.3560E-02    0.136877
387803    61      3.78661    1.0   3.3488E-01    0.136877
387804    61      3.78661    1.0   8.4080E-02    0.136877
387805    61      3.78661    1.0   2.9892E-01    0.136877
387806    61      3.78661    1.0   8.5122E-02    0.136877
387807    61      3.78661    1.0   2.5284E-01    0.136877
387808    61      3.78661    1.0   9.8768E-02    0.136877
387809    61      2.61162    1.0   4.4829E-01    0.138477
387810    61      2.61162    1.0   9.2490E-02    0.138477
387811    61      2.61162    1.0   3.6297E-01    0.138477
387812    61      2.61162    1.0   9.0054E-02    0.138477
387813    61      2.61162    1.0   2.7475E-01    0.138477
387814    61      2.61162    1.0   9.5657E-02    0.138477
387815    61      2.61162    1.0   2.6033E-01    0.138477
387816    61      2.61162    1.0   1.0542E-01    0.138477
387817    61      1.83537    1.0   4.5104E-01    0.136985
387818    61      1.83537    1.0   1.0151E-01    0.136985
387819    61      1.83537    1.0   4.1072E-01    0.136985
387820    61      1.83537    1.0   9.9241E-02    0.136985
387821    61      1.83537    1.0   2.7941E-01    0.136985
387822    61      1.83537    1.0   1.0325E-01    0.136985
387823    61      1.83537    1.0   2.6561E-01    0.136985
387824    61      1.83537    1.0   1.1236E-01    0.136985
387825    61      0.948333   1.0   4.5621E-01    0.134559
387826    61      0.948333   1.0   1.1656E-01    0.134559
387827    61      0.948333   1.0   3.5786E-01    0.134559
387828    61      0.948333   1.0   1.1251E-01    0.134559
387829    61      0.948333   1.0   2.8350E-01    0.134559
387830    61      0.948333   1.0   1.1746E-01    0.134559
387831    61      0.948333   1.0   2.7529E-01    0.134559
387832    61      0.948333   1.0   1.2447E-01    0.134559
387833    61      0.51848    1.0   4.6090E-01    0.133797
387834    61      0.51848    1.0   1.3076E-01    0.133797
387835    61      0.51848    1.0   3.6597E-01    0.133797
387836    61      0.51848    1.0   1.2577E-01    0.133797
387837    61      0.51848    1.0   2.8726E-01    0.133797
387838    61      0.51848    1.0   1.3331E-01    0.133797
387839    61      0.51848    1.0   2.8474E-01    0.133797
387840    61      0.51848    1.0   1.3755E-01    0.133797
387841    61      0.296128   1.0   4.6726E-01    0.132687
387842    61      0.296128   1.0   1.4082E-01    0.132687
387843    61      0.296128   1.0   3.2961E-01    0.132687
387844    61      0.296128   1.0   1.3752E-01    0.132687
387845    61      0.296128   1.0   2.9413E-01    0.132687
387846    61      0.296128   1.0   1.4112E-01    0.132687
387847    61      0.296128   1.0   2.9169E-01    0.132687
387848    61      0.296128   1.0   1.4542E-01    0.132687
387849    61      0.174599   1.0   4.6371E-01    0.132074
387850    61      0.174599   1.0   1.5349E-01    0.132074
387851    61      0.174599   1.0   3.5869E-01    0.132074
387852    61      0.174599   1.0   1.4947E-01    0.132074
387853    61      0.174599   1.0   2.9864E-01    0.132074
387854    61      0.174599   1.0   1.4995E-01    0.132074
387855    61      0.174599   1.0   2.9075E-01    0.132074
387856    61      0.174599   1.0   1.5517E-01    0.132074
387857    61      1.31169    1.0   4.5964E-01    0.135013
387858    61      1.31169    1.0   1.0757E-01    0.135013
387859    61      1.31169    1.0   3.9573E-01    0.135013
387860    61      1.31169    1.0   1.0476E-01    0.135013
388300    61      1.31169    1.0   2.8858E-01    0.135013
388301    61      1.31169    1.0   1.1028E-01    0.135013
388302    61      1.31169    1.0   2.7732E-01    0.135013
388303    61      1.31169    1.0   1.1858E-01    0.135013
388304    61      0.697075   1.0   4.6232E-01    0.133926
388305    61      0.697075   1.0   1.2194E-01    0.133926
388306    61      0.697075   1.0   3.8447E-01    0.133926
388307    61      0.697075   1.0   1.1876E-01    0.133926
388308    61      0.697075   1.0   2.9728E-01    0.133926
388309    61      0.697075   1.0   1.1988E-01    0.133926
388310    61      0.697075   1.0   2.8472E-01    0.133926
388311    61      0.697075   1.0   1.2877E-01    0.133926
388312    61      0.390303   1.0   4.6511E-01    0.133443
388313    61      0.390303   1.0   1.3620E-01    0.133443
388314    61      0.390303   1.0   4.0385E-01    0.133443
388315    61      0.390303   1.0   1.3126E-01    0.133443
388316    61      0.390303   1.0   3.0463E-01    0.133443
388317    61      0.390303   1.0   1.3295E-01    0.133443
388318    61      0.390303   1.0   2.8765E-01    0.133443
388319    61      0.390303   1.0   1.3974E-01    0.133443
388320    61      0.226118   1.0   4.6068E-01    0.132741
388321    61      0.226118   1.0   1.4782E-01    0.132741
388322    61      0.226118   1.0   3.9201E-01    0.132741
388323    61      0.226118   1.0   1.4122E-01    0.132741
388324    61      0.226118   1.0   3.0781E-01    0.132741
388325    61      0.226118   1.0   1.4415E-01    0.132741
388326    61      0.226118   1.0   2.9250E-01    0.132741
388327    61      0.226118   1.0   1.5004E-01    0.132741
