# SignalUncertainties for gluino R-hadron production (qq)
# with various lifetimes and neutralino masses (when applicable)
# Decay BR is set to 1
# Source: https://cds.cern.ch/record/2052186 (Table 1)
#DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#m=400GeV
402034    0      51.79        1.8961       1.0     0.14
402154    0      51.999       1.8885       1.0     0.14
#m=500GeV
402035    0      14.116       1.9481       1.0     0.14
#m=600GeV
402778    0      4.4811      2.0575       1.0      0.14
403050    0      4.4818      2.058        1.0      0.14
403048    0      4.4869      2.0535       1.0      0.14
402700    0      4.5028      2.0489       1.0      0.14
402155    0      4.5115      2.0437       1.0      0.14
403045    0      4.5155      2.0419       1.0      0.14
402702    0      4.5264      2.0353       1.0      0.14
402703    0      4.5276      2.0364       1.0      0.14
403049    0      4.5276      2.0364       1.0      0.14
402770    0      4.529       2.0358       1.0      0.14
403047    0      4.5292      2.0357       1.0      0.14
402037    0      4.5334      2.0353       1.0      0.14
403046    0      4.5366      2.0324       1.0      0.14
402786    0      4.5417      2.0301       1.0      0.14
402036    0      4.5427      2.0296       1.0      0.14
402704    0      4.5483      2.0264       1.0      0.14
402701    0      4.5584      2.0226       1.0      0.14
#m=700GeV
402041    0       1.6603     2.1261       1.0      0.14
402042    0       1.6842     2.0960       1.0      0.14
#m=800GeV
402706    0       0.67029      2.2229       1.0     0.15
403054    0       0.67327      2.2131       1.0     0.15
402045    0       0.67363      2.2119       1.0     0.15
403052    0       0.6737       2.2117       1.0     0.15
403055    0       0.67377      2.2114       1.0     0.15
402000    0       0.67402      2.2107       1.0     0.15
403056    0       0.67421      2.21         1.0     0.15
403051    0       0.6744       2.2094       1.0     0.15
402707    0       0.67494      2.2074       1.0     0.15
402709    0       0.67584      2.2041       1.0     0.15
402787    0       0.67615      2.2041       1.0     0.15
402043    0       0.67657      2.2023       1.0     0.15
402771    0       0.67672      2.2009       1.0     0.15
402708    0       0.67676      2.2017       1.0     0.15
403053    0       0.67733      2.1998       1.0     0.15
402044    0       0.67805      2.1975       1.0     0.15
402779    0       0.67817      2.1976       1.0     0.15
#m=900GeV
402051    0      0.29323       2.3088       1.0     0.16
402050    0      0.29438       2.2997       1.0     0.16
402049    0      0.29551       2.2909       1.0     0.16
#m=1000GeV
402054    0      0.1329       2.4454       1.0      0.17
402001    0      0.13347      2.435        1.0      0.17
403057    0      0.13394      2.4265       1.0      0.17
402057    0      0.13406      2.4243       1.0      0.17
402780    0      0.1341       2.4236       1.0      0.17
402055    0      0.13415      2.4227       1.0      0.17
403060    0      0.13416      2.4254       1.0      0.17
403058    0      0.1343       2.4254       1.0      0.17
402056    0      0.13432      2.4254       1.0      0.17
402711    0      0.13458      2.4149       1.0      0.17
403059    0      0.13461      2.4144       1.0      0.17
402713    0      0.13471      2.4126       1.0      0.17
402788    0      0.13484      2.4103       1.0      0.17
402772    0      0.13485      2.4101       1.0      0.17
403061    0      0.13503      2.4069       1.0      0.17
402052    0      0.13529      2.4074       1.0      0.17
402714    0      0.13554      2.3897       1.0      0.17
402712    0      0.13555      2.3897       1.0      0.17
402053    0      0.1356       2.3968       1.0      0.17
403062    0      0.13565      2.3959       1.0      0.17
#m=1100GeV
402070    0       0.064128      2.5418       1.0     0.18
402069    0       0.064182      2.5397       1.0     0.18
402068    0       0.064241      2.5373       1.0     0.18
402072    0       0.064429      2.5299       1.0     0.18
402067    0       0.064616      2.5226       1.0     0.18
402071    0       0.064938      2.5101       1.0     0.18
#m=1200GeV
402718    0      0.031598      2.7089       1.0      0.19
402773    0      0.0317        2.7003       1.0      0.19
403064    0      0.031734      2.6974       1.0      0.19
402789    0      0.031806      2.6918       1.0      0.19
402719    0      0.031811      2.6909       1.0      0.19
403066    0      0.031838      2.6886       1.0      0.19
402717    0      0.031906      2.6829       1.0      0.19
402073    0      0.031909      2.6826       1.0      0.19
403065    0      0.031931      2.6834       1.0      0.19
402078    0      0.031942      2.6799       1.0      0.19
403068    0      0.031953      2.6789       1.0      0.19
403067    0      0.031998      2.675        1.0      0.19
402002    0      0.032008      2.675        1.0      0.19
402077    0      0.032008      2.6743       1.0      0.19
403063    0      0.032011      2.675        1.0      0.19
402781    0      0.032063      2.6667       1.0      0.19
402076    0      0.032133      2.6639       1.0      0.19
402075    0      0.032178      2.6602       1.0      0.19
402074    0      0.032216      2.6571       1.0      0.19
#m=1300GeV
402090    0      0.016058      2.8269       1.0     0.20
402093    0      0.016067      2.8534       1.0     0.20
402089    0      0.016121      2.8646       1.0     0.20
402092    0      0.016127      2.8230       1.0     0.20
402088    0      0.016272      2.8524       1.0     0.20
402091    0      0.016295      2.8630       1.0     0.20
#m=1400GeV
402721    0      0.0083375      3.0345       1.0     0.21
402724    0      0.0083526      3.0299       1.0     0.21
403069    0      0.0083602      3.0262       1.0     0.21
402743    0      0.0083643      3.0248       1.0     0.21
402742    0      0.0083731      3.0227       1.0     0.21
402096    0      0.0083755      3.0191       1.0     0.21
402790    0      0.0083857      3.017        1.0     0.21
402098    0      0.0083945      3.0139       1.0     0.21
402723    0      0.0083976      3.0128       1.0     0.21
402099    0      0.008404       3.0105       1.0     0.21
403072    0      0.0084069      3.0094       1.0     0.21
402740    0      0.0084167      3.0048       1.0     0.21
402094    0      0.0084175      3.0048       1.0     0.21
402097    0      0.0084232      3.0036       1.0     0.21
402741    0      0.0084262      3.0025       1.0     0.21
402745    0      0.0084276      3.002        1.0     0.21
403073    0      0.0084296      3.0013       1.0     0.21
402720    0      0.0084323      3.0012       1.0     0.21
402782    0      0.0084353      2.9993       1.0     0.21
403070    0      0.0084436      2.9964       1.0     0.21
402722    0      0.0084449      2.9976       1.0     0.21
402744    0      0.0084664      2.9883       1.0     0.21
403074    0      0.0084707      2.9868       1.0     0.21
402003    0      0.0084778      2.9835       1.0     0.21
402774    0      0.008482       2.9828       1.0     0.21
403071    0      0.0084955      2.9765       1.0     0.21
402095    0      0.0085315      2.9655       1.0     0.21
#m=1500GeV
402113    0       0.0044364      3.2008       1.0     0.23
402111    0       0.004441       3.1975       1.0     0.23
402112    0       0.0044633      3.1815       1.0     0.23
402110    0       0.0044678      3.1783       1.0     0.23
402109    0       0.0044949      3.1591       1.0     0.23
#m=1600GeV
402004    0      0.0023627      3.428        1.0     0.24
402752    0      0.0023731      3.409        1.0     0.24
402775    0      0.002375       3.3992       1.0     0.24
402747    0      0.0023752      3.406        1.0     0.24
402118    0      0.0023769      3.4036       1.0     0.24
403075    0      0.002377       3.3992       1.0     0.24
403078    0      0.0023772      3.4032       1.0     0.24
403076    0      0.002381       3.3977       1.0     0.24
402116    0      0.0023853      3.3916       1.0     0.24
402114    0      0.0023872      3.3889       1.0     0.24
402791    0      0.0023873      3.3849       1.0     0.24
403079    0      0.0023873      3.3888       1.0     0.24
402726    0      0.0023881      3.3849       1.0     0.24
402748    0      0.002389       3.3864       1.0     0.24
402728    0      0.0023912      3.3832       1.0     0.24
402115    0      0.0023916      3.3827       1.0     0.24
402750    0      0.002392       3.3849       1.0     0.24
403077    0      0.0023924      3.3815       1.0     0.24
402725    0      0.0023951      3.3777       1.0     0.24
402727    0      0.0023958      3.3767       1.0     0.24
402783    0      0.0024032      3.3708       1.0     0.24
402746    0      0.002407       3.361        1.0     0.24
402749    0      0.0024071      3.3609       1.0     0.24
402729    0      0.0024089      3.3584       1.0     0.24
403080    0      0.0024138      3.3516       1.0     0.24
402751    0      0.0024172      3.3468       1.0     0.24
402117    0      0.002426       3.3347       1.0     0.24
#m=1700GeV
402131    0      0.0012869      3.6522       1.0     0.26
402130    0      0.001291       3.6406       1.0     0.26
402128    0      0.0012965      3.6251       1.0     0.26
402129    0      0.0012998      3.6159       1.0     0.26
#m=1800GeV
402733    0      0.00069943      3.9461       1.0     0.28
402792    0      0.00069977      3.9442       1.0     0.28
402776    0      0.00070259      3.9283       1.0     0.28
402732    0      0.0007026       3.926        1.0     0.28
403085    0      0.00070292      3.9265       1.0     0.28
402005    0      0.0007046       3.9149       1.0     0.28
402132    0      0.00070466      3.9168       1.0     0.28
402135    0      0.00070592      3.9093       1.0     0.28
403083    0      0.00070643      3.9093       1.0     0.28
402755    0      0.00070659      3.9061       1.0     0.28
402734    0      0.00070673      3.9038       1.0     0.28
403084    0      0.00070691      3.9043       1.0     0.28
402133    0      0.00070725      3.9024       1.0     0.28
402760    0      0.00070792      3.8983       1.0     0.28
402730    0      0.00070856      3.8928       1.0     0.28
403082    0      0.00070874      3.8942       1.0     0.28
402784    0      0.00070921      3.8917       1.0     0.28
402757    0      0.00070931      3.8911       1.0     0.28
402759    0      0.00071003      3.8872       1.0     0.28
403086    0      0.00071006      3.887        1.0     0.28
402134    0      0.00071022      3.8861       1.0     0.28
402754    0      0.00071073      3.8819       1.0     0.28
402758    0      0.00071085      3.8819       1.0     0.28
402731    0      0.00071161      3.8785       1.0     0.28
402756    0      0.00071203      3.8764       1.0     0.28
402753    0      0.00071367      3.8673       1.0     0.28
403081    0      0.00071465      3.862        1.0     0.28
#m=1900GeV
402144    0      0.00038467      4.2374       1.0     0.30
402142    0      0.00039089      4.1700       1.0     0.30
402143    0      0.00039169      4.1614       1.0     0.30
#m=2000GeV
403089    0      0.00021164      4.6305       1.0     0.32
402147    0      0.00021338      4.5927       1.0     0.32
402737    0      0.00021353      4.5895       1.0     0.32
403088    0      0.00021359      4.5882       1.0     0.32
403092    0      0.00021367      4.5794       1.0     0.32
402763    0      0.00021377      4.5844       1.0     0.32
402777    0      0.00021417      4.5794       1.0     0.32
402735    0      0.00021418      4.5756       1.0     0.32
402793    0      0.00021421      4.5749       1.0     0.32
402761    0      0.00021433      4.5724       1.0     0.32
403087    0      0.00021441      4.5794       1.0     0.32
402785    0      0.00021473      4.5581       1.0     0.32
402146    0      0.00021477      4.5581       1.0     0.32
402768    0      0.0002149       4.5581       1.0     0.32
402762    0      0.00021508      4.5581       1.0     0.32
402764    0      0.00021519      4.5581       1.0     0.32
