#id/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb

# DSID	Physics short								xsec	k-fac	eff		rel. unc.

##########################################################################################################################
# ttbar

407342          PhPy8EG_A14_ttbarHT1k5_hdamp258p75_nonallhad                  729.77                1.13975636159   6.1283E-04         0.0                           
407343          PhPy8EG_A14_ttbarHT1k_1k5_hdamp258p75_nonallhad               729.77                1.13975636159   3.5564E-03         0.0                           
407344          PhPy8EG_A14_ttbarHT6c_1k_hdamp258p75_nonallhad                729.77                1.13975636159   2.5639E-02         0.0                           
407345          PhPy8EG_A14_ttbarMET200_300_hdamp258p75_nonallhad             729.77                1.13975636159   8.0661E-03         0.0                           
407346          PhPy8EG_A14_ttbarMET300_400_hdamp258p75_nonallhad             729.77                1.13975636159   1.1192E-03         0.0                           
407347          PhPy8EG_A14_ttbarMET400_hdamp258p75_nonallhad                 729.77                1.13975636159   3.1430E-04         0.0                           
410249          Sherpa_221_NNPDF30NNLO_ttbar_AllHadronic_MEPS_NLO             330.54                1.1484          1.0000E+00         0.0                           
410250          Sherpa_221_NNPDF30NNLO_ttbar_SingleLeptonP_MEPS_NLO           158.76                1.0             1.0000E+00         0.0                           
410251          Sherpa_221_NNPDF30NNLO_ttbar_SingleLeptonM_MEPS_NLO           158.97                1.0             1.0000E+00         0.0                           
410252          Sherpa_221_NNPDF30NNLO_ttbar_dilepton_MEPS_NLO                76.277                1.1484          1.0000E+00         0.0                           
# mc16_13TeV.410424.Sherpa_224_NNPDF30NNLO_ttbar_dilepton_MEPS_NLO.merge.EVNT.e6404_e5984
# mc16_13TeV.410442.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttbar_dil.merge.EVNT.e6407_e5984
410470          PhPy8EG_A14_ttbar_hdamp258p75_nonallhad                       729.77                1.13975636159   5.4383E-01         0.0                           
410471          PhPy8EG_A14_ttbar_hdamp258p75_allhad                          729.77                1.13974074379   4.5627E-01         0.0                           
410472          PhPy8EG_A14_ttbar_hdamp258p75_dil                             729.77                1.13975636159   1.0545E-01         0.0                           
410503          PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_dil                 76.932                1.139           1.000              0.0                           

################################################################################################################
# single top

# mc16_13TeV.407018.PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_top_HT500.merge.EVNT.e4024_e5984
407019          PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_top_MET200          34.013                1.054           0.011282481        0.0                           
407020          PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_tbar_HT500          33.989                1.054           0.088415243        0.0                           
407021          PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_tbar_MET200         33.993                1.054           0.011259073        0.0                           
407049          PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_top_HT500        32.394                1.054           6.0318E-02         0.0                           
407052          PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_top_MET200       32.405                1.054           7.1003E-03         0.0                           
# mc16_13TeV.407055.PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_tbar_HT500.merge.EVNT.e4943_e5984
407058          PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_tbar_MET200      32.38                 1.054           7.0303E-03         0.0                           
410015          PowhegPythiaEvtGen_P2012_Wt_dilepton_top                      3.5834                1.054           1.0000E+00         0.0                           
410016          PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop                  3.5813                1.054           1.0000E+00         0.0                           
410017          PowhegPythiaEvtGen_P2012radLo_singletop_tchan_lept_top        40.343                1.09441538805   1.0000E+00         0.0                           
410018          PowhegPythiaEvtGen_P2012radHi_singletop_tchan_lept_top        44.38                 0.994862550699  1.0000E+00         0.0                           
410019          PowhegPythiaEvtGen_P2012radLo_singletop_tchan_lept_antitop    23.751                1.10631131321   1.0000E+00         0.0                           
410020          PowhegPythiaEvtGen_P2012radHi_singletop_tchan_lept_antitop    26.387                0.995793383105  1.0000E+00         0.0                           
410047          PowhegHerwigppEvtGen_UEEE5_singletop_tchan_lept_top           43.614                1.0123354886    1.0000E+00         0.0                           
410048          PowhegHerwigppEvtGen_UEEE5_singletop_tchan_lept_antitop       25.744                1.02066500932   1.0000E+00         0.0                           
410062          PowhegPythiaEvtGen_P2012_Wt_DS_inclusive_top                  32.384                1.054           1.0000E+00         0.0                           
# mc16_13TeV.410063.PowhegPythiaEvtGen_P2012_Wt_DS_inclusive_antitop.merge.EVNT.e4132_e5984
410100          PowhegPythiaEvtGen_P2012radLo_Wt_inclusive_top                33.407                1.073           1.0000E+00         0.0                           
410101          PowhegPythiaEvtGen_P2012radHi_Wt_inclusive_antitop            34.893                1.027           1.0000E+00         0.0                           
410102          PowhegPythiaEvtGen_P2012radLo_Wt_inclusive_antitop            33.388                1.073           1.0000E+00         0.0                           
410107          PowhegPythiaEvtGen_P2012radHi_SingleTopSchan_lept_top         2.0755                0.993114912069  1.0000E+00         0.0                           
410108          PowhegPythiaEvtGen_P2012radLo_SingleTopSchan_lept_top         2.0331                1.01382617677   1.0000E+00         0.0                           
410109          PowhegPythiaEvtGen_P2012radHi_SingleTopSchan_lept_antitop     1.2753                1.0104775347    1.0000E+00         0.0                           
410110          PowhegPythiaEvtGen_P2012radLo_SingleTopSchan_lept_antitop     1.2514                1.0297762506    1.0000E+00         0.0                           
# mc16_13TeV.410141.aMcAtNloHerwigppEvtGen_singletop_tchan_lept.merge.EVNT.e4520_e5984
410145          PowhegHerwigppEvtGen_UEEE5_Wt_dilepton_top                    4.0                   0.9443          1.0000E+00         0.0                           
410146          PowhegHerwigppEvtGen_UEEE5_Wt_dilepton_antitop                4.0                   0.9437          1.0000E+00         0.0                           
410147          PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_top                   34.0                  1.054           1.0000E+00         0.0                           
410148          PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_antitop               34.0                  1.054           1.0000E+00         0.0                           
410165          aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_Wt_inclusive      73.588                1.0             1.0000E+00         0.0                           
410642          PhPy8EG_A14_tchan_lept_top                                    36.993                1.0             1.0000E+00         0.0                           
410643          PhPy8EG_A14_tchan_lept_antitop                                22.174                1.0             1.0000E+00         0.0                           
410644          PowhegPythia8EvtGen_A14_singletop_schan_lept_top              2.0267                1.0             1.0000E+00         0.0                           
410645          PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop          1.2675                1.0             1.0000E+00         0.0                           
410646          PowhegPythia8EvtGen_A14_Wt_DR_inclusive_top                   37.937                1.0             1.0000E+00         0.0                           
410647          PowhegPythia8EvtGen_A14_Wt_DR_inclusive_antitop               37.907                1.0             1.0000E+00         0.0                           

##########################################################################################################################
# sherpa 2.1 Z+jets

304020          Sherpa_CT10_Zmumu2JetsEW1JetQCD15GeVM40                       2.5474                1.0             1.0000E+00         0.0                           

##########################################################################################################################
# sherpa 2.2.1 Z+jets

308092          Sherpa_221_NNPDF30NNLO_Zee2jets_Min_N_TChannel                0.63148               1.0             1.0000E+00         0.0                           
308093          Sherpa_221_NNPDF30NNLO_Zmm2jets_Min_N_TChannel                0.6353                1.0             1.0000E+00         0.0                           
308094          Sherpa_221_NNPDF30NNLO_Ztautau2jets_Min_N_TChannel            0.63336               1.0             1.0000E+00         0.0                           
308095          Sherpa_221_NNPDF30NNLO_Znunu2jets_Min_N_TChannel              2.9341                1.0             1.0000E+00         0.0                           
# mc16_13TeV.344772.Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_l13l7.merge.EVNT.e5585_e5984
344774          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_l15h20            904.322               0.9751          0.11682            0.0                           
344775          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_h30h20            831.335               0.9751          0.14707            0.0                           
344776          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_l13l7           13.7241               0.9751          0.0355256          0.0                           
344778          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_l15h20          50.4673               0.9751          0.157429           0.0                           
344779          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_h30h20          46.3521               0.9751          0.20358            0.0                           
344780          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_l13l7          5.04426               0.9751          0.0403827          0.0                           
344781          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_l15h20         18.5497               0.9751          0.20511            0.0                           
344782          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_h30h20         17.0637               0.9751          0.26126            0.0                           
364100          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto          1982.3                0.9751          8.2179E-01         0.0                           
364101          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto        1982.1                0.9751          1.1356E-01         0.0                           
364102          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter             1981.5                0.9751          6.5797E-02         0.0                           
364103          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto        109.07                0.9751          6.8978E-01         0.0                           
364104          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto      108.94                0.9751          1.9588E-01         0.0                           
364105          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter           108.98                0.9751          1.1768E-01         0.0                           
364106          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto       39.884                0.9751          6.0179E-01         0.0                           
364107          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto     39.857                0.9751          2.3545E-01         0.0                           
364108          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter          39.891                0.9751          1.5622E-01         0.0                           
364109          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto       8.526                 0.9751          5.6012E-01         0.0                           
364110          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto     8.5261                0.9751          2.6632E-01         0.0                           
364111          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter          8.5273                0.9751          1.7660E-01         0.0                           
364112          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000                 1.7876                0.9751          1.0000E+00         0.0                           
364113          Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS               0.1476                0.9751          1.0000E+00         0.0                           
364114          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CVetoBVeto            1981.5                0.9751          8.2141E-01         0.0                           
364115          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto          1981.7                0.9751          1.1405E-01         0.0                           
364116          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_BFilter               1981.8                0.9751          6.5759E-02         0.0                           
364117          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CVetoBVeto          110.73                0.9751          6.9441E-01         0.0                           
364118          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CFilterBVeto        110.47                0.9751          1.9092E-01         0.0                           
364119          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_BFilter             110.5                 0.9751          1.1942E-01         0.0                           
364120          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CVetoBVeto         40.67                 0.9751          6.1612E-01         0.0                           
364121          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CFilterBVeto       40.674                0.9751          2.3287E-01         0.0                           
364122          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_BFilter            40.679                0.9751          1.5337E-01         0.0                           
364123          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CVetoBVeto         8.6718                0.9751          5.6351E-01         0.0                           
364124          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CFilterBVeto       8.6661                0.9751          2.6616E-01         0.0                           
364125          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_BFilter            8.6809                0.9751          1.7631E-01         0.0                           
364126          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV500_1000                   1.8092                0.9751          1.0000E+00         0.0                           
364127          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV1000_E_CMS                 0.14881               0.9751          1.0000E+00         0.0                           
364128          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CVetoBVeto        1982.3                0.9751          8.4173E-01         0.0                           
