# KKGluonTTbar MadGraphPythia8
182764	   112.15  1  pythia8 #400GeV
115550	   81.930  1  pythia8 #500GeV
115551	   45.040  1  pythia8 #600GeV
115552	   25.190  1  pythia8 #700GeV
115553	   14.630  1  pythia8 #800GeV
115554	   5.4730  1  pythia8 #1000GeV
115555	   1.5230  1  pythia8 #1300GeV
115556	   0.50040 1  pythia8 #1600GeV
115799	   0.25550 1  pythia8 #1800GeV
119318	   8.8070  1  pythia8 #900GeV
119319	   2.8160  1  pythia8 #1150GeV
119582	   0.13690 1  pythia8 #2000GeV
158768	   0.06696 1  pythia8 #2250GeV
158769	   0.03505 1  pythia8 #2500GeV
180575     0.01961 1  pythia8 #2750GeV
180576     0.01169 1  pythia8 #3000GeV

# KKGluonTTbar MadGraphpythia88, variable width
145583	   3.605   1  pythia8 #1000GeV, w=10pc
145584	   7.078   1  pythia8 #1000GeV, w=20pc
145585	   8.717   1  pythia8 #1000GeV, w=25pc
145586	   10.27   1  pythia8 #1000GeV, w=30pc
158765	   5.368   1  pythia8 #1000GeV, w=15pc
158766	   11.74   1  pythia8 #1000GeV, w=35pc
158767	   13.11   1  pythia8 #1000GeV, w=40pc
158770	   0.08035 1  pythia8 #2000GeV, w=10pc
158771	   0.13350 1  pythia8 #2000GeV, w=15pc
158772	   0.19300 1  pythia8 #2000GeV, w=20pc
158773	   0.25700 1  pythia8 #2000GeV, w=25pc
158774	   0.32420 1  pythia8 #2000GeV, w=30pc
158775	   0.39350 1  pythia8 #2000GeV, w=35pc
158776	   0.46130 1  pythia8 #2000GeV, w=40pc
180384	0.0057130  1  pythia8 #30000GeV, w=10pc
180385	0.011300   1  pythia8 #30000GeV, w=15pc
180386	0.018360   1  pythia8 #30000GeV, w=20pc
180387	0.026760   1  pythia8 #30000GeV, w=25pc
180388	0.036130   1  pythia8 #30000GeV, w=30pc
180389	0.052027   1  pythia8 #30000GeV, w=35pc
180390	0.063836   1  pythia8 #30000GeV, w=40pc


# Bulk RS Graviton Samples
182865	1.5010	 	1.2945	pythia8
182866	1.0860	 	1.2357	pythia8
182867	0.50850	 	1.2232	pythia8
182868	0.23490	 	1.2171	pythia8
182869	0.11260	 	1.2149	pythia8
182870	0.056440	1.2116  pythia8
182871	0.029440	1.2123  pythia8
182872	0.0088570	1.2160  pythia8
182873	0.0029550	1.2108  pythia8
182874	0.0010650	1.2094  pythia8
182875	0.00040830	1.2089  pythia8
182876	0.00016370	1.2083  pythia8
182877	0.000019400	1.2088  pythia8


# Zprimettbar
110899 4.2589    1 pythia8
110901 3.9325    1 pythia8
110902 1.2433    1 pythia8
110903 0.39360   1 pythia8
110904 0.13872   1 pythia8
110905 0.052433  1 pythia8
110906 0.021172  1 pythia8
110907 0.0089422 1 pythia8
110908 0.0039337 1 pythia8
110909 0.0018023 1 pythia8
110910 0.0004340 1 pythia8

# Heavy Higgs to ttbar (dummy values)
203307 1.0 1 pythia8
203308 1.0 1 pythia8
203309 1.0 1 pythia8
203310 1.0 1 pythia8
203311 1.0 1 pythia8
203312 1.0 1 pythia8
203313 1.0 1 pythia8
203314 1.0 1 pythia8
203315 1.0 1 pythia8
203316 1.0 1 pythia8
203317 1.0 1 pythia8
203318 1.0 1 pythia8

# b'
158102	 1.2550	     1.4226 pythia8   
158103	 0.62927     1.3909 pythia8   
158104	 0.33267     1.3565 pythia8   
158105	 0.18312     1.3304 pythia8   
158106	 0.10471     1.3040 pythia8   
158107	 0.061503    1.2819 pythia8   
158108	 0.036838    1.2614 pythia8   
158109	 0.022551    1.2411 pythia8   
158110	 0.014026    1.2229 pythia8   
158111	 0.0088308   1.2093 pythia8   
158112	 0.0056310   1.1939 pythia8   
158113	 0.0036207   1.1838 pythia8   
158114	 0.0023493   1.1696 pythia8   
158115	 0.95281     1.4208 pythia8   
158116	 0.47823     1.3960 pythia8   
158117	 0.25681     1.3628 pythia8   
158118	 0.14355     1.3335 pythia8   
158119	 0.082432    1.3085 pythia8   
158120	 0.048734    1.2834 pythia8   
158121	 0.029277    1.2632 pythia8   
158122	 0.017988    1.2438 pythia8   
158123	 0.011201    1.2266 pythia8   
158124	 0.0070960   1.2114 pythia8   
158125	 0.0045279   1.1952 pythia8   
158126	 0.0029111   1.1841 pythia8   
158127	 0.0018916   1.1727 pythia8   

# b*
182948	27.630	 1.000	 pythia8 
182949	10.310	 1.000	 pythia8 
182950	4.2020	 1.000	 pythia8 
182951	1.8360	 1.000	 pythia8 
182952	0.84380	 1.000	 pythia8 
182953	27.600	 1.000	 pythia8 
182954	10.280	 1.000	 pythia8 
182955	4.1950	 1.000	 pythia8 
182956	1.8340	 1.000	 pythia8 
182957	0.84320	 1.000	 pythia8 


# W'->tb right
110921	 17.510	 	 1.2906	pythia8	
110922	 3.7174	 	 1.2779	pythia8	
110923	 1.0652	 	 1.2796	pythia8	
110924	 0.37278	 1.2260	pythia8	
110925	 0.13932	 1.2183	pythia8	
110926	 0.055667	 1.2062	pythia8	
110927	 0.023718	 1.1740	pythia8	
110928	 0.010283	 1.1669	pythia8	
110929	 0.0046794	 1.1485	pythia8	
110930	 0.0021970	 1.1522	pythia8	
110931	 0.0011035	 1.1592	pythia8	

# W'->tb left
110954	 12.333	 	 1.3684	  pythia8	  
110955	 2.7223	 	 1.3144	  pythia8	  
110956	 0.81915	 1.2564	  pythia8	  
110957	 0.28025	 1.2405	  pythia8	  
110958	 0.10618	 1.2202	  pythia8	  
110959	 0.043693	 1.1893	  pythia8	  
110960	 0.018551	 1.1774	  pythia8	  
110961	 0.0082073	 1.1638	  pythia8	  
110962	 0.0038171	 1.1512	  pythia8	  
110963	 0.0018512	 1.1529	  pythia8	  
110964	 0.00095811	 1.1687	  pythia8	  

# W'->tb ST left  
110987    12.573  1.3684 pythia8
110988    3.4404  1.3144 pythia8
110989    1.7639  1.2564 pythia8
110990    1.3349  1.2405 pythia8
110991    1.2186  1.2202 pythia8
110992    1.1895  1.1893 pythia8
110993    1.1855  1.1774 pythia8
110994    1.1892  1.1638 pythia8
110995    1.1946  1.1512 pythia8
110996    1.1999  1.1529 pythia8
110997    1.2043  1.1687 pythia8

# W'->tb right - hadronic
110721	 2.1670	 	 1.3124	pythia8 
110722	 0.75924	 1.2559	pythia8 
110723	 0.28404	 1.2468	pythia8 
110724	 0.11362	 1.2330	pythia8 
110725	 0.048428	 1.1997	pythia8	
110726	 0.021002	 1.1920	pythia8 
110727	 0.0095606	 1.1728	pythia8 
110728	 0.0044880	 1.1768	pythia8 
110729	 0.0022511	 1.1856	pythia8 
110730	 0.0012078	 1.2134	pythia8 
110731	 0.00071089	 1.2362	pythia8 

# W'->tb left - hadronic
110754	 1.7351	 	 1.2375	pythia8 
110755	 0.60662	 1.1957	pythia8 
110756	 0.23560	 1.1474	pythia8 
110757	 0.099507	 1.0895	pythia8 
110758	 0.043188	 1.0552	pythia8 
110759	 0.019372	 1.0288	pythia8 
110760	 0.0090546	 1.0126	pythia8 
110761	 0.0043662	 1.0198	pythia8 
110762	 0.0022284	 1.0484	pythia8 
110763	 0.0012275	 1.0855	pythia8 
110764	 0.00073171	 1.1271	pythia8 

# W' with varied g'/g - Leptonic
110843	 140.57	  1.2906	pythia8
110844	 1.5401	  1.2183	pythia8
110845	 0.10874  1.1485	pythia8
110846	 303.48	  1.2906	pythia8
110847	 4.4181	  1.2183	pythia8
110848	 0.45537  1.1485	pythia8
110849	 93.897	  1.3684	pythia8
110850	 1.1980	  1.2202	pythia8
110851	 0.095574 1.1512	pythia8
110852	 184.66	  1.3684	pythia8
110853	 3.1071	  1.2202	pythia8
110854	 0.34792  1.1512	pythia8

110732	0.26357	1.2062	 pythia8
110733	0.12229	1.1740	 pythia8
110734	0.059508 1.1669	 pythia8
110735	0.35528	1.1740	 pythia8
110736	0.18931	1.1669	 pythia8
110737	0.25667	1.1485	 pythia8
110738	0.16283	1.1522	 pythia8
110739	0.29591	1.1522	 pythia8
110740	0.20298	1.1522	 pythia8

110741	0.21356	1.1893	 pythia8
110742	0.10045	1.1774	 pythia8
110743	0.050560 1.1638	 pythia8
110744	0.29422	1.1774	 pythia8
110745	0.16181	1.1638	 pythia8
110746	0.21351	1.1512	 pythia8
110747	0.13806	1.1529	 pythia8
110748	0.22950	1.1529	 pythia8
110749	0.15757	1.1687	 pythia8

# W' with varied g'/g - hadronic
110855	 284.15	 1.3353	pythia8
110856	 3.1363	 1.2468	pythia8
110857	 0.22101 1.1728	pythia8
110858	 613.14	 1.3353	pythia8
110859	 8.9741	 1.2468	pythia8
110860	 0.92395 1.1728	pythia8
110861	 191.76	 1.3960	pythia8
110862	 2.5811	 1.1474	pythia8
110863	 0.20826 1.0126	pythia8
110864	 377.74	 1.3960	pythia8
110865	 6.5750	 1.1474	pythia8
110866	 0.74246 1.0126	pythia8

# u4u4
158630	 1.9937	 	 1.4588	pythia8	  
158631	 0.94208	 1.4264	pythia8	  
158632	 0.47655	 1.3918	pythia8	  
158633	 0.25388	 1.3594	pythia8	  
158634	 0.13997	 1.3334	pythia8	  
158635	 0.080339	 1.3069	pythia8	  
158636	 0.047250	 1.2838	pythia8	  
158637	 0.028483	 1.2627	pythia8	  
158638	 0.017437	 1.2450	pythia8	  
158639	 0.010883	 1.2253	pythia8	  
158640	 0.0043819	 1.1970	pythia8	  


# 4top samples
158344	0.00068523  1 pythia8 # SM 
158345	0.042238    1 pythia8 # DeGrande
159800	1.2845      1 pythia8 # 2UEDRPP600GeV
159801	0.11389     1 pythia8 # 2UEDRPP800GeV
159802	0.011719    1 pythia8 # 2UEDRPP1000GeV
159803	0.0012215   1 pythia8 # 2UEDRPP1200GeV

#sgluon-sgluon
180334    8.2672     1.7946  pythia  # 2ttbar 350GeV
180335    3.5299     1.8563  pythia  # 2ttbar 400GeV
180336    0.78021    1.9826  pythia  # 2ttbar 500GeV
180337    0.20709    2.1062  pythia  # 2ttbar 600GeV
180338    0.020211   2.3735  pythia  # 2ttbar 800GeV
180339    0.0025464  2.7127  pythia  # 2ttbar 1000GeV
180908    0.00023293 3.1859  pythia  # 2ttbar 1250GeV

180340    8.2606     1.7961  pythia  # 2ttbar 350GeV
180341    3.5228     1.8601  pythia  # 2ttbar 400GeV
180342    0.77819    1.9878  pythia  # 2ttbar 500GeV
180343    0.20733    2.1037  pythia  # 2ttbar 600GeV
180344    0.020178   2.3773  pythia  # 2ttbar 800GeV
180345    0.0025563  2.7022  pythia  # 2ttbar 1000GeV
180909    0.00023425 3.1680  pythia  # 2ttbar 1250GeV

180346    8.2724     1.7935  pythia  # 2ttbar 350GeV
180347    3.5308     1.8591  pythia  # 2ttbar 400GeV
180348    0.77785    1.9886  pythia  # 2ttbar 500GeV
180349    0.20627    2.1146  pythia  # 2ttbar 600GeV
180350    0.020076   2.3894  pythia  # 2ttbar 800GeV
180351    0.0025516  2.7072  pythia  # 2ttbar 1000GeV
180910    0.00023240 3.1932  pythia  # 2ttbar 1250GeV

# VLQ B singlet 
188599	0.060070	 1.0000	 pythia
188681	0.034170	 1.0000	 pythia
188682	0.025790	 1.0000	 pythia
188600	0.019960	 1.0000	 pythia
188683	0.015740	 1.0000	 pythia
188684	0.012430	 1.0000	 pythia
188685	0.0099890	 1.0000	 pythia
188601	0.0079160	 1.0000	 pythia
188604	0.19310	 	 1.0000	 pythia
188686	0.0063930	 1.0000	 pythia
188687	0.0053000	 1.0000	 pythia
188688	0.0042430	 1.0000	 pythia
188602	0.0034630	 1.0000	 pythia
188603	0.0016090	 1.0000	 pythia

#VLQ quarks pair production PROTOS-pythia
# BBS
180308	3.6357	 	1.0000	 pythia
180265	1.6808	 	1.0000	 pythia
180310	0.82524	 	1.0000	 pythia
180312	0.43140	 	1.0000	 pythia
180314	0.23365	 	1.0000	 pythia
158937	0.12551	 	1.0000	 pythia
180316	0.075812	 1.0000	 pythia
180318	0.044844	 1.0000	 pythia
180320	0.027059	 1.0000	 pythia
180267	0.016549	 1.0000	 pythia
180322	0.010323	 1.0000	 pythia
180668	0.0067918	 1.0000	 pythia
180670	0.0039697	 1.0000	 pythia
180672	0.0025396	 1.0000	 pythia
180674	0.0016371	 1.0000	 pythia
180676	0.0010627	 1.0000	 pythia

# VLQ T singlet (T-->Zt)
188704	0.12998	 	0.89613	 pythia8
188703	0.19519	 	1.1301	 pythia8
188705	0.086405	 1.0413	 pythia8
188706	0.058032	 1.2022	 pythia8

#VLQ T singlet (T-->Wb) Samples
203060	1.6456		 1.000	 pythia8
203061	0.95096		 1.000	 pythia8
203062	0.57293		 1.000	 pythia8
203063	0.35716		 1.000	 pythia8
203064	0.23241		 1.000	 pythia8
203065	0.15390		 1.000	 pythia8
203066	0.10524		 1.000	 pythia8
203077	0.026674	 1.000	 pythia8
203078	0.22466	 	 1.000	 pythia8
203079	0.37378	 	 1.000	 pythia8
203080	0.54010	 	 1.000	 pythia8
203067	0.071969	 1.000	 pythia8
203068	0.050636	 1.000	 pythia8
203069	0.036129	 1.000	 pythia8
203070	0.025804	 1.000	 pythia8
203071	0.018845	 1.000	 pythia8
203072	0.013806	 1.000	 pythia8
203073	0.010276	 1.000	 pythia8
203074	0.0076407	 1.000	 pythia8
203075	0.0057706	 1.000	 pythia8
203076	0.0043321	 1.000	 pythia8

# TTS
Protos+Pythia with AUET2B tune (mc12a, AFII)
180307	3.8198	 1.0000	 pythia
180264	1.7554	 1.0000	 pythia
180309	0.85988	 1.0000	 pythia
180311	0.44873	 1.0000	 pythia
180313	0.24267	 1.0000	 pythia
158936	0.13013	 1.0000	 pythia
180450	0.13567	 1.0000	 pythia
180315	0.078522	 1.0000	 pythia
180317	0.046326	 1.0000	 pythia
180319	0.027988	 1.0000	 pythia
180266	0.017123	 1.0000	 pythia
180321	0.010642	 1.0000	 pythia
180667	0.0070076	 1.0000	 pythia
180669	0.0040868	 1.0000	 pythia
180671	0.0026151	 1.0000	 pythia
180673	0.0016876	 1.0000	 pythia
180675	0.0010928	 1.0000	 pythia

# BBD
180324	 3.6358	  	 1.0000 pythia  
180326	 0.13077	 1.0000 pythia  

# TTD
180323	 3.8114	 	 1.0000 pythia  
180325	 0.13531	 1.0000 pythia  

#same-sign top
180552  2.223   1 pythia #LL
180553  0.275   1 pythia #LR
180554  2.173   1 pythia #RR

#FCNC
182926  0.0056579	 1 pythia8 #mH=125
182927  0.0024763	 1 pythia8 #mH=250
182928  0.00071316	 1 pythia8 #mH=500
182929  0.00027500	 1 pythia8 #mH=750
182930  0.00070581	 1 pythia8 #mH=250
182931  0.00016655	 1 pythia8 #mH=500
182932  0.000054608	 1 pythia8 #mH=750
182933  0.000015699	 1 pythia8 #mH=250
182934  3.2599e-06	 1 pythia8 #mH=500
182935  9.709e-07	 1 pythia8 #mH=750

#same-sign top ISR/FSR
182692	2.2230   1 pythia
182693	2.2230   1 pythia

# Monotop, scalar resonant, not full-had
110148	1.1067	 1  pythia8
110149	1.1023	 1  pythia8
110150	1.0892	 1  pythia8
110151	1.0680	 1  pythia8
110152	1.0387	 1  pythia8
110153	1.0012	 1  pythia8

# Monotop, scalar non-resonant, not full-had
110160	96.0340	 1  pythia8
110161	358.9900 1  pythia8
110162	113.3500 1  pythia8
110163	59.8660	 1  pythia8
110164	37.4460	 1  pythia8
110165	25.3540	 1  pythia8
110166	17.9990	 1  pythia8
110167	9.6617	 1  pythia8
110168	5.5062	 1  pythia8
110169	3.3281	 1  pythia8
110180	1.3731	 1 pythia8
110181	0.63605	 1 pythia8
110182	0.31887	 1 pythia8
110183	0.16980	 1 pythia8
110184	0.094625 1 pythia8
110185	0.054732 1 pythia8
110186	0.032584 1 pythia8

# Monotop, scalar resonant, full-had
110154	2.2140	 1  pythia8
110155	2.2052	 1  pythia8
110156	2.1796	 1  pythia8
110157	2.1366	 1  pythia8
110158	2.0784	 1  pythia8
110159	2.0033	 1  pythia8

# Monotop, scalar non-resonant, full-had
110170	192.39   1 pythia8
110171	717.88   1 pythia8
110172	226.88   1 pythia8
110173	119.54   1 pythia8
110174	74.815   1 pythia8
110175	50.682   1 pythia8
110176	35.959   1 pythia8
110177	19.281   1 pythia8
110178	11.016   1 pythia8
110179	6.6557   1 pythia8
110187	2.7457   1 pythia8 
110188	1.2704	 1 pythia8
110189	0.63712	 1 pythia8
110190	0.33906	 1 pythia8
110191	0.18894	 1 pythia8
110192	0.10925	 1 pythia8
110193	0.065065 1 pythia8

# Monotop with Effective Coupling Variations Samples
110194	6.0862	 1 pythia8
110195	21.832	 1 pythia8
110196	12.170	 1 pythia8
110197	43.703	 1 pythia8

# Pair production of heavy top quark partner (T5/3)
188554	0.15953	 	 1.000	 pythia8
188555	0.095598	 1.000	 pythia8
188556	0.058648	 1.000	 pythia8
188557	0.036686	 1.000	 pythia8
188558	0.023310	 1.000	 pythia8
188559	0.015035	 1.000	 pythia8
188560	0.0098129	 1.000	 pythia8
188561	0.0064621	 1.000	 pythia8
188562	0.0042793	 1.000	 pythia8
188563	0.0028530	 1.000	 pythia8
188564	0.0019121	 1.000	 pythia8

# Single production of heavy top quark partner (T5/3)
188565	0.021791	 1.000	 pythia8
188566	0.014768	 1.000	 pythia8
188567	0.010174	 1.000	 pythia8
