# SM WH -> lnubb
# TODO
# check xsec, k-factor

161805 1.380000 1.0 pythia8
161849 0.869600 1.0 pythia8
161827 0.869600 1.0 pythia8

# original madgraph cross sections have been scaled by 0.6296 to
# correct cross section (simulated: 0.891, actual: 0.561).
# 0.5, 1.0, 1.5, 2.0, 2.5 TeV HVT resonances
# yes, the DSIDs are out of order.
# the 500 GeV resonances come last.
203921 0.205684024 1 pythia8
203917 0.0136642088 1 pythia8
203918 0.00234834504 1 pythia8
203919 0.00057602104 1 pythia8
203920 0.00016885872 1 pythia8
203926 1.234016 1 pythia8
203922 0.086702216 1 pythia8
203923 0.0154182744 1 pythia8
203924 0.00386524032 1 pythia8
203925 0.00113787608 1 pythia8
203931 0.408163384 1 pythia8
203927 0.0271930536 1 pythia8
203928 0.00467559848 1 pythia8
203929 0.00114184256 1 pythia8
203930 0.00337673368 1 pythia8
203936 3.82469408 1 pythia8
203932 0.26358204 1 pythia8
203933 0.046597325 1 pythia8
203934 0.0115638632 1 pythia8
203935 0.00341048024 1 pythia8

# QCD
147911 78420000000 1 pythia8
147912 57312000 1 pythia8
147913 1447800 1 pythia8
147914 23093 1 pythia8
147915 237.93 1 pythia8
147916 5.4279 1 pythia8
147917 0.94172 1 pythia8
