# svn co $SVNOFF/PhysicsAnalysis/SUSYPhys/SUSYTools/branches/SUSYTools-00-05-00-branch
# cat susy_crosssections_13TeV.txt|awk '{if ($1 != "" && $1 != "#") { s=$3*$5 ; print $1 "   " s "   " $4 " "}else{print $0}}'


# ttbar

110401   451.779   1.000000 

184172   3.49228   1.000000 
184173   1.41272   1.000000 
184174   0.623517   1.000000 
184175   0.382718   1.000000 
184176   0.228931   1.000000 
184177   2.93786   1.000000 
184178   1.17614   1.000000 
184179   0.528861   1.000000 
184180   0.320086   1.000000 
184181   0.192049   1.000000 

# single top

110090   43.755   1.000000 
110091   25.778   1.000000 
110119   3.3513   1.000000 
110140   68.455   1.000000 

110070   43.755   1.000000 
110071   25.778   1.000000 
110302   3.3514   1.000000 
110305   68.459   1.000000 

# Pythia8 Higgs

161105   0.0252528   1.000000 
161155   0.013996   1.000000 
161305   0.071416   1.000000 

# Sherpa W

167740   334.344   1.068000 
167741   1183.13   1.068000 
167742   17322.4   1.000000 
167743   334.384   1.068000 
167744   1048.92   1.068000 
167745   17415   1.068000 
167746   334.701   1.068000 
167747   1122.56   1.068000 
167748   17343.6   1.068000 

180539   1021.74   1.068000 
180536   1006.53   1.068000 
180542   1010.91   1.068000 
180540   54.5958   1.068000 
180538   240.12   1.068000 
180537   0.054223   1.068000 
180534   54.4252   1.068000 
180535   252.088   1.068000 
180541   248.2   1.068000 

167761   30.4859   1.068000 
167762   126.447   1.068000 
167763   401.066   1.068000 
167764   30.4709   1.068000 
167765   122.703   1.068000 
167766   403.638   1.068000 
167767   30.5366   1.068000 
167768   124.948   1.068000 
167769   402.14   1.068000 
167770   6.1037   1.068000 
167771   20.8735   1.068000 
167772   54.8546   1.068000 
167773   6.09036   1.068000 
167774   20.4377   1.068000 
167775   55.4141   1.068000 
167776   6.10433   1.068000 
167777   20.6513   1.068000 
167778   55.0487   1.068000 
167779   0.607784   1.000000 
167780   1.69324   1.068000 
167781   3.9283   1.068000 
167782   0.605475   1.068000 
167783   1.65931   1.068000 
167784   3.95545   1.068000 
167785   0.606449   1.068000 
167786   1.69125   1.068000 
167787   3.91698   1.068000 
167788   0.0606364   1.068000 
167789   0.150455   1.068000 
167790   0.306492   1.068000 
167791   0.0609242   1.068000 
167792   0.143459   1.068000 
167793   0.30923   1.068000 
167794   0.0613676   1.068000 
167795   0.149505   1.068000 
167796   0.308594   1.068000 

# Sherpa Z

167749   73.4429   1.093000 
167750   632.53   1.093000 
167751   1232.57   1.093000 
167752   73.8824   1.093000 
167753   629.108   1.093000 
167754   1231.07   1.093000 
167755   73.6972   1.093000 
167756   629.758   1.093000 
167757   1219.88   1.093000 
167758   417.615   1.087000 
167759   3392.22   1.087000 
167760   6652.46   1.087000 


167797   6.78971   1.093000 
167798   26.3131   1.093000 
167799   33.7149   1.093000 
167800   6.77452   1.093000 
167801   26.3023   1.093000 
167802   33.8312   1.093000 
167803   6.78647   1.093000 
167804   26.3127   1.093000 
167805   33.8888   1.093000 
167806   38.9563   1.087000 
167807   147.265   1.087000 
167808   191.108   1.087000 
167809   1.25324   1.093000 
167810   4.32742   1.093000 
167811   5.01951   1.093000 
167812   1.25614   1.093000 
167813   4.37396   1.093000 
167814   5.07639   1.093000 
167815   1.25642   1.093000 
167816   4.34963   1.093000 
167817   5.06393   1.093000 
167818   7.17659   1.087000 
167819   24.3817   1.087000 
167820   28.387   1.087000 
167821   0.110889   1.093000 
167822   0.353138   1.093000 
167823   0.370839   1.093000 
167824   0.1104   1.093000 
167825   0.35363   1.093000 
167826   0.37136   1.093000 
167827   0.110302   1.093000 
167828   0.353607   1.093000 
167829   0.367631   1.093000 
167830   0.629637   1.087000 
167831   1.97403   1.087000 
167832   2.0631   1.087000 
167833   0.00995536   1.093000 
167834   0.0297128   1.093000 
167835   0.0287056   1.093000 
167836   0.00982093   1.093000 
167837   0.0304306   1.093000 
167838   0.028657   1.093000 
167839   0.00984318   1.093000 
167840   0.030327   1.093000 
167841   0.0281613   1.093000 
167842   0.055687   1.087000 
167843   0.165283   1.087000 
167844   0.156664   1.087000 

# ttV(V)

119355   0.18575   1.000000 
174832   0.1663   1.000000 
174833   0.20756   1.000000 
119353   0.20145   1.000000 
174830   0.13129   1.000000 
174831   0.16274   1.000000 
119583   0.003   1.000000 

# Sherpa ZZ

200920   1.0467   1.000000 

# Powheg ZZ

187180   0.121722   1.000000 
187181   0.251389   1.000000 
187182   0.180369   1.000000 
187183   0.122187   1.000000 
187184   0.182294   1.000000 
187185   0.0149864   1.000000 
187186   0.10323   1.000000 
187187   0.10323   1.000000 
187188   0.10323   1.000000 

# Powheg WZ

187160   0.481705   1.000000 
187161   0.39823   1.000000 
187162   0.034879   1.000000 
187163   0.506801   1.000000 
187164   0.393285   1.000000 
187165   0.0350225   1.000000 
187166   0.25953   1.000000 
187167   0.216372   1.000000 
187168   0.0125611   1.000000 
187170   0.639252   1.000000 
187171   0.507844   1.000000 
187172   0.0512655   1.000000 
187173   0.645386   1.000000 
187174   0.519971   1.000000 
187175   0.0510934   1.000000 
187176   0.326819   1.000000 
187177   0.271297   1.000000 
187178   0.0186015   1.000000 

# Powheg WW

187150   0.0011792   1.000000 
187151   0.001179   1.000000 
187152   0.001179   1.000000 
187153   0.001179   1.000000 
187154   0.0011792   1.000000 
187155   0.001179   1.000000 
187156   0.001179   1.000000 
187157   0.001179   1.000000 
187158   0.0011792   1.000000 

# Sherpa gamma+jet

177575   150.623   1.000000 
177576   7.95316   1.000000 
177577   0.550088   1.000000 
177579   167.813   1.000000 
177580   9.09263   1.000000 
177581   0.64792   1.000000 
177583   35.6066   1.000000 
177584   2.32601   1.000000 
177585   0.193152   1.000000 

# Herwig++ gamma+jet

187040   161812   1.000000 
187041   16763.3   1.000000 
187042   1415.45   1.000000 
187043   130.029   1.000000 
187044   6.99702   1.000000 

# Pythia8 gamma+jet

129200   592725   1.000000 
129201   40521.7   1.000000 
129202   11643.6   1.000000 
129203   4669.2   1.000000 
129204   341.599   1.000000 
129205   18.6132   1.000000 
129206   1.15978   1.000000 
129207   0.071402   1.000000 
129208   0.0243212   1.000000 
