# svn co $SVNOFF/PhysicsAnalysis/SUSYPhys/SUSYTools/trunk, taken on 02.06.2015
# cat susy_crosssections_13TeV.txt|awk '{if ($1 != "" && $1 != "#") { s=$3*$5 ; print $1 "   " s "   " $4 " "}else{print $0}}'
# cross-sections are in pb

################################################################################################################   0    
# ttbar: kfactor from here: https://twiki.cern.ch/twiki/bin/view/AtlasProtected/MC15TTbarSamplesPMG

410000   377.9932  1.1949   pythia
410001	 377.9932  1.1949   pythia
410002	 377.9932  1.1949   pythia
410003	 377.3090  1.1970   herwigpp
410004	 378.7006  1.1926   herwigpp
410006   378.7169  1.1926   pythia8
# allhad
410007   317.3591  1.1977   pythia
410008	 317.3591  1.1977   herwigpp
# dilepton
410009   73.33     1.1949   pythia
# trilepton-filtered sample - see ANALYSISTO-136
343637   18.2976   1.1949   pythia

# non-allhad
410159   369.7419  1.2236   pythia8
# allhad
410160   309.6040  1.2248   pythia8
### warning: dummy cross-sections!!
410161  317.3591  1.1977  pythia
410162  317.3591  1.1977  pythia
410163  317.3591  1.1977  herwigpp
# non-allhad
410500   397.2431  1.13896  pythia8

# WARNING
## new Powheg+P8 samples
410501   397.11    1.1390   pythia8
410503   76.93     1.1392   pythia8
410504   22.90     1.1391   pythia8
410505   4.3082    1.1392   pythia8
#colour flipped
410248   396.94    1.1390   pythia8
# allhad samples, without noC W decays
410502   249.81    1.1390   pythia8
410506   249.89    1.1390   pythia8
410509   15.22     1.1390   pythia8
# allhad samples, noC W decays
410531   83.270    1.1390   pythia8
410532   83.261    1.1390   pythia8
410533   5.035     1.1390   pythia8
# nonallhad samples, C/B-filtered, boosted
410507   1.1237    1.1391   pythia8
410508   2.3424    1.1391   pythia8

## Powheg+P8 samples, hdamp=1.5/3.0mt, A14 tune var 3c up/down
# nonallhad samples
410511   448.3933  1.0088   pythia8
410512   348.3145  1.2988   pythia8
# dilepton samples - cross-sections to be checked, not yet in central pages
410515   86.873    1.0088   pythia8
410516   67.474    1.2989   pythia8
# nonallhad b-filtered samples - cross-sections to be checked, not yet in central pages
410517   25.861    1.0087   pythia8
410518   20.087    1.2986   pythia8
# dilepton b-filtered samples - cross-sections unknown! - not yet in central pages
410519   5.1368    1.0089   pythia8
410520   3.6155    1.2989   pythia8
# allhad samples, full phase-space - not yet generated - cross-sections unknown!
410513   0  0   pythia8
410514   0  0   pythia8
# nonallhad samples, C/B-filtered, boosted - cross-sections unknown! not yet in central pages - not yet in central pages
410523   1.5352   1.0088   pythia8
410524   0.87415  1.2988   pythia8
410568   3.1760   1.0088   pythia8
410569   1.8315   1.2988   pythia8
# allhad boosted samples, without noC W decays
410521   281.98    1.0088   pythia8
410522   219.10    1.2988   pythia8
# allhad boosted samples, noC W decays
410534   93.972    1.0088   pythia8
410535   73.005    1.2988   pythia8

## Powheg+Herwig7, hdamp=1.5mt, H7UE tune
410525   397.105   1.1391   herwigpp
410527   76.93     1.1393   herwigpp
410528   28.09     1.1392   herwigpp
410529   5.37      1.1393   herwigpp
# allhad samples, without noC W decays
410526   249.81    1.1390   herwigpp
410530   249.88    1.1390   herwigpp
# allhad samples, noC W decays
410536   83.268    1.1390   herwigpp
410537   83.251    1.1390   herwigpp

# new aMC@NLO+P8 samples - Xsec to be checked, only 410225 from PMG central page, others extrapolated from AMI
# same K-factor for all
410225   389.221   1.1693 pythia8
410226   76.084    1.1693 pythia8
410227   321.64    1.1693 pythia8
410274   23.093    1.1693 pythia8
410275   4.366     1.1693 pythia8


# PowhegPythia8 mass-variation samples
410037   405.5373  1.1949   pythia
410038   389.0943  1.1949   pythia
410039   368.4626  1.1949   pythia
410040   353.8235  1.1949   pythia
410041   330.9295  1.1949   pythia
410042   340.1290  1.1947   pythia
410043   326.4065  1.1947   pythia
410044   309.0983  1.1947   pythia
410045   296.8128  1.1947   pythia
410046   277.6722  1.1947   pythia

#mtt-sliced SM ttbar samples. Jiahang's emperical cross-sections
301528   3.3692    1.1949   pythia
301529   1.3992    1.1949   pythia
301530   0.6265    1.1949   pythia
301531   0.382866  1.1949   pythia
