p1_ID_MC        p2_ID_MC        p2_ID_TAN2_MC   p0_MS_MC        p1_MS_MC        p2_MS_MC 
  0.118092      0.052598      0.000000      0.000000      0.000000      0.000000
  0.164150      0.023546      0.000000      0.000000      0.000000      0.000000
  0.181422      0.008978      0.000000      0.000000      0.000000      0.000000
  0.152085      0.005388      0.000000      0.000000      0.000000      0.000000
  0.104713      0.003552      0.000000      0.000000      0.000000      0.000000
  0.081633      0.001866      0.000000      0.167245      0.038844      0.000206
  0.060571      0.001125      0.000000      0.092521      0.025119      0.000114
  0.047428      0.000640      0.000000      0.092542      0.022544      0.000093
  0.032288      0.000398      0.000000      0.070859      0.026858      0.000087
  0.023780      0.000237      0.000000      0.000114      0.034970      0.000091
  0.018335      0.000210      0.000000      0.000034      0.047349      0.000113
  0.015491      0.000196      0.000000      0.000033      0.047899      0.000117
  0.013267      0.000198      0.000000      0.207001      0.028167      0.000129
  0.010140      0.000162      0.000000      0.178322      0.027497      0.000066
  0.008564      0.000165      0.000000      0.148498      0.031457      0.000101
  0.007631      0.000168      0.000000      0.157477      0.030667      0.000097
  0.007631      0.000168      0.000000      0.157477      0.030667      0.000097
  0.008564      0.000165      0.000000      0.148498      0.031457      0.000101
  0.010140      0.000162      0.000000      0.178322      0.027497      0.000066
  0.013267      0.000198      0.000000      0.207001      0.028167      0.000129
  0.015491      0.000196      0.000000      0.000033      0.047899      0.000117
  0.018335      0.000210      0.000000      0.000034      0.047349      0.000113
  0.023780      0.000237      0.000000      0.000114      0.034970      0.000091
  0.032288      0.000398      0.000000      0.070859      0.026858      0.000087
  0.047428      0.000640      0.000000      0.092542      0.022544      0.000093
  0.060571      0.001125      0.000000      0.092521      0.025119      0.000114
  0.081633      0.001866      0.000000      0.167245      0.038844      0.000206
  0.104713      0.003552      0.000000      0.000000      0.000000      0.000000
  0.152085      0.005388      0.000000      0.000000      0.000000      0.000000
  0.181422      0.008978      0.000000      0.000000      0.000000      0.000000
  0.164150      0.023546      0.000000      0.000000      0.000000      0.000000
  0.118092      0.052598      0.000000      0.000000      0.000000      0.000000
