p1_ID_MC        p2_ID_MC        p2_ID_TAN2_MC   p0_MS_MC        p1_MS_MC        p2_MS_MC 
  0.316201      0.055404      0.000000      0.000000      0.000000      0.000000
  0.297376      0.026989      0.000000      0.000000      0.000000      0.000000
  0.254498      0.010599      0.000000      0.000000      0.000000      0.000000
  0.221935      0.006338      0.000000      0.000000      0.000000      0.000000
  0.147925      0.003946      0.000000      0.000000      0.000000      0.000000
  0.091072      0.002219      0.000000      0.000000      0.000000      0.000000
  0.060465      0.001157      0.000000      0.054246      0.029543      0.000126
  0.042675      0.000749      0.000000      0.078764      0.026753      0.000103
  0.034199      0.000437      0.000000      0.080164      0.030573      0.000095
  0.026209      0.000244      0.000000      0.000183      0.039644      0.000093
  0.020885      0.000217      0.000000      0.000151      0.056476      0.000132
  0.017192      0.000202      0.000000      0.000139      0.055274      0.000139
  0.015364      0.000225      0.000000      0.234585      0.022234      0.000131
  0.010935      0.000160      0.000000      0.202182      0.027318      0.000069
  0.009457      0.000162      0.000000      0.189964      0.031815      0.000115
  0.008673      0.000165      0.000000      0.181452      0.032383      0.000106
  0.008673      0.000165      0.000000      0.181452      0.032383      0.000106
  0.009457      0.000162      0.000000      0.189964      0.031815      0.000115
  0.010935      0.000160      0.000000      0.202182      0.027318      0.000069
  0.015364      0.000225      0.000000      0.234585      0.022234      0.000131
  0.017192      0.000202      0.000000      0.000139      0.055274      0.000139
  0.020885      0.000217      0.000000      0.000151      0.056476      0.000132
  0.026209      0.000244      0.000000      0.000183      0.039644      0.000093
  0.034199      0.000437      0.000000      0.080164      0.030573      0.000095
  0.042675      0.000749      0.000000      0.078764      0.026753      0.000103
  0.060465      0.001157      0.000000      0.054246      0.029543      0.000126
  0.091072      0.002219      0.000000      0.000000      0.000000      0.000000
  0.147925      0.003946      0.000000      0.000000      0.000000      0.000000
  0.221935      0.006338      0.000000      0.000000      0.000000      0.000000
  0.254498      0.010599      0.000000      0.000000      0.000000      0.000000
  0.297376      0.026989      0.000000      0.000000      0.000000      0.000000
  0.316201      0.055404      0.000000      0.000000      0.000000      0.000000
