p1_ID_MC        p2_ID_MC        p2_ID_TAN2_MC   p0_MS_MC        p1_MS_MC        p2_MS_MC 
  0.316201      0.055404      0.000000      0.0486         0.2019   0.00015
  0.297376      0.026989      0.000000      0.0593         0.2019   0.00015
  0.254498      0.010599      0.000000      0.0725         0.2018   0.00015
  0.221935      0.006338      0.000000      0.0886         0.2373   0.00015
  0.147925      0.003946      0.000000      0.1082         1.0   0.00015
  0.091072      0.002219      0.000000      0.1322         1.0   0.00015
  0.061129      0.001162      0.000000      0.094932      0.030031      0.000130
  0.042954      0.000745      0.000000      0.096794      0.027078      0.000105
  0.033979      0.000437      0.000000      0.070030      0.031881      0.000098
  0.026275      0.000247      0.000000      0.000169      0.040309      0.000097
  0.020974      0.000217      0.000000      0.000106      0.057035      0.000137
  0.016929      0.000203      0.000000      0.000136      0.056552      0.000142
  0.014653      0.000213      0.000000      0.213911      0.038526      0.000167
  0.010948      0.000161      0.000000      0.195609      0.032887      0.000081
  0.009452      0.000163      0.000000      0.196223      0.034727      0.000140
  0.008634      0.000165      0.000000      0.194771      0.035186      0.000117
  0.008634      0.000165      0.000000      0.194771      0.035186      0.000117
  0.009452      0.000163      0.000000      0.196223      0.034727      0.000140
  0.010948      0.000161      0.000000      0.195609      0.032887      0.000081
  0.014653      0.000213      0.000000      0.213911      0.038526      0.000167
  0.016929      0.000203      0.000000      0.000136      0.056552      0.000142
  0.020974      0.000217      0.000000      0.000106      0.057035      0.000137
  0.026275      0.000247      0.000000      0.000169      0.040309      0.000097
  0.033979      0.000437      0.000000      0.070030      0.031881      0.000098
  0.042954      0.000745      0.000000      0.096794      0.027078      0.000105
  0.061129      0.001162      0.000000      0.094932      0.030031      0.000130
  0.091072      0.002219      0.000000      0.1322    1.0   0.00015	       
  0.147925      0.003946      0.000000      0.1082    1.0   0.00015	       
  0.221935      0.006338      0.000000      0.0886    0.2373   0.00015
  0.254498      0.010599      0.000000      0.0725    0.2018   0.00015
  0.297376      0.026989      0.000000      0.0593    0.2019   0.00015
  0.316201      0.055404      0.000000      0.0486    0.2019   0.00015
