eta_min   eta_max   phi_min   phi_max    name
-4.0     -3.8      -4     4  Fwd001neg
-3.8      -3.6      -4     4  Fwd002neg
-3.6      -3.4      -4     4  Fwd003neg
-3.4      -3.2      -4     4  Fwd004neg
-3.2      -3.0      -4     4  Fwd005neg
-3.0      -2.7     -4     4  Fwd006neg
-2.7    -2.5      -4     4  CSCX2
-2.5    -2.3      -4     4  CSCm230EL9
-2.3    -2.0      -4     4  CSCm200EL9
-2.0     -1.7     -4     4  ENDm170EL9
-1.7     -1.5     -4     4  TRAm150EL9
-1.5    -1.25     -4     4  TRAm125EL9
-1.25    -1.05    -4     4  TRAm105EL9
-1.05    -0.8     -4     4  BARm080BL9
-0.8     -0.4     -4     4  BARm040BL9
-0.4      0.0     -4     4  BARm000BL9
0.0       0.4     -4     4  BARp000BL9
0.4       0.8     -4     4  BARp040BL9
0.8       1.05    -4     4  BARp080BL9
1.05      1.25    -4     4  TRAp105EL9
1.25      1.5     -4     4  TRAp125EL9
1.5       1.7     -4     4  TRAp150EL9
1.7       2.0     -4     4  ENDp170EL9
2.0       2.3     -4     4  CSCp200EL9
2.3      2.5      -4     4  CSCp230EL9
2.5      2.7      -4     4  CSCX1
2.7      3.0      -4     4  Fwd001
3.0      3.2      -4     4  Fwd002
3.2      3.4      -4     4  Fwd003
3.4      3.6      -4     4  Fwd004
3.6      3.8      -4     4  Fwd005
3.8      4.0      -4     4  Fwd006
