# The first 12 lines are fitted with a*x^2 function from 0 to 0.0036..
# based on A. Vasilescu (INPE Bucharest) and G. Lindstroem (University of Hamburg), Displacement damage in silicon, on-line compilation, http://sesam.desy.de/members/gunnar/Si-dfuncs.html
# E_kin (MeV)  D/(95MeVmb)
0.1        0.00000	    
0.10975	   0.00003	    
0.12045	   0.00010	    
0.132194   0.00023	    
0.145083   0.00041	    
0.159228   0.00064	    
0.174753   0.00092	    
0.191791   0.00125	    
0.21049	   0.00163	    
0.231013   0.00207	    
0.253536   0.00255	    
0.278256   0.00309	    
0.305386   0.003678662 
0.33516	   0.004547002 
0.367838   0.005415341 
0.403702   0.006283680 
0.443062   0.007152020 
0.48626	   0.008028674 
0.53367	   0.008950409 
0.585702   0.009878910 
0.642807   0.010807411 
0.70548	   0.011779590 
0.774264   0.012821898 
0.849753   0.013865139 
0.932603   0.014908379 
1.02353	   0.016058508 
1.12332	   0.017315526 
1.23285	   0.018572543 
1.35305	   0.019829561 
1.48497	   0.021086579 
1.62975	   0.022343596 
1.78865	   0.023600614 
1.96304	   0.024878994 
2.15443	   0.026299717 
2.36449	   0.027746694 
2.59502	   0.029193671 
2.84804	   0.030640884 
3.12572	   0.032139679 
3.43047	   0.033677663 
3.76494	   0.035215648 
4.13201	   0.036753633 
4.53488	   0.038291618 
4.97702	   0.039836088 
5.46228	   0.041415722 
5.99484	   0.043000634 
6.57933	   0.044585545 
7.22081	   0.046158892 
7.92483	   0.047713670 
8.69749	   0.049268202 
9.54548	   0.050822734 
10.4762	   0.052318200 
11.4976	   0.053754602 
12.6186	   0.055191004 
13.8489	   0.056627405 
15.1991	   0.058063807 
16.681	   0.059500209 
18.3074	   0.060936611 
20.0923	   0.062349167 
22.0513	   0.063602837 
24.2013	   0.064827203 
26.5609	   0.066051568 
29.1505	   0.067275396 
31.9927	   0.068381640 
35.1119	   0.069398549 
38.5353	   0.070415458 
42.2924	   0.071432367 
46.4159	   0.072449276 
50.9414	   0.073435353 
55.9081	   0.074254265 
61.3591	   0.075048089 
67.3415	   0.075841914 
73.9072	   0.076565540 
81.1131	   0.077176455 
89.0215	   0.077785873 
97.701	   0.078395291 
107.227	   0.078856795 
117.681	   0.079170385 
129.155	   0.079483975 
141.747	   0.079797565 
155.568	   0.080111155 
170.735	   0.080424745 
187.382	   0.080738335 
205.651	   0.080977565 
225.702	   0.080977565 
247.708	   0.080977565 
271.859	   0.080977565 
298.365	   0.080977565 
327.455	   0.080977565 
359.381	   0.080977565 
394.421	   0.080977565 
432.876	   0.080977565 
475.081	   0.080977565 
521.401	   0.080977565 
572.237	   0.080977565 
628.029	   0.080977565 
689.261	   0.080977565 
756.463	   0.080977565 
830.218	   0.080977565 
911.163	   0.080977565 
1000	   0.080977565 
