   36 
     1.500     3.300     0.050 
     1.525      402       0.0428589       0.0028954 
     1.575      435       0.0438664       0.0003374 
     1.625      411       0.0441752       0.0001435 
     1.675      396       0.0449313       0.0001836 
     1.725      447       0.0448591       0.0000912 
     1.775      423       0.0433535       0.0002865 
     1.825      405       0.0442279       0.0001449 
     1.875      414       0.0444864       0.0002880 
     1.925      405       0.0446255       0.0001457 
     1.975      420       0.0444718       0.0002480 
     2.025      408       0.0443906       0.0001448 
     2.075      423       0.0425058       0.0002507 
     2.125      417       0.0437704       0.0001140 
     2.175      438       0.0442831       0.0001958 
     2.225      429       0.0442608       0.0002194 
     2.275      390       0.0442893       0.0003061 
     2.325      426       0.0441252       0.0002982 
     2.375      408       0.0441959       0.0002692 
     2.425      387       0.0441293       0.0002478 
     2.475      408       0.0437028       0.0002502 
     2.525      459       0.0441487       0.0002711 
     2.575      477       0.0439979       0.0003421 
     2.625      363       0.0439880       0.0001778 
     2.675      384       0.0437530       0.0001590 
     2.725      402       0.0410577       0.0003695 
     2.775      408       0.0408122       0.0002791 
     2.825      462       0.0431493       0.0004233 
     2.875      423       0.0433043       0.0003165 
     2.925      429       0.0434001       0.0002532 
     2.975      393       0.0415793       0.0003663 
     3.025      387       0.0417385       0.0002838 
     3.075      399       0.0408984       0.0004739 
     3.125      426       0.0406061       0.0004078 
     3.175      390       0.0345971       0.0014713 
     3.225      459       0.0237174       0.0016906 
     3.275      447       0.0405070       0.0010892 
