   36 
     1.500     3.300     0.050 
     1.525        0       0.0000000       0.0000000 
     1.575        0       0.0000000       0.0000000 
     1.625      429       0.0250368       0.0022645 
     1.675      462       0.0200280       0.0019277 
     1.725      408       0.0227120       0.0001548 
     1.775      465       0.0223796       0.0001281 
     1.825      474       0.0229359       0.0000520 
     1.875      420       0.0227940       0.0001272 
     1.925      453       0.0220481       0.0001195 
     1.975      414       0.0223090       0.0001571 
     2.025      459       0.0228444       0.0000918 
     2.075      405       0.0227141       0.0001144 
     2.125      444       0.0226598       0.0000917 
     2.175      447       0.0228192       0.0000671 
     2.225      480       0.0224611       0.0000832 
     2.275      450       0.0209032       0.0001528 
     2.325      411       0.0225525       0.0001378 
     2.375      441       0.0226695       0.0001323 
     2.425      435       0.0226930       0.0001203 
     2.475      390       0.0226514       0.0001235 
     2.525      450       0.0224885       0.0001548 
     2.575      480       0.0228315       0.0000628 
     2.625      492       0.0225280       0.0001569 
     2.675      408       0.0227350       0.0000703 
     2.725      408       0.0224340       0.0001173 
     2.775      420       0.0226175       0.0000989 
     2.825      471       0.0226179       0.0001370 
     2.875      441       0.0218483       0.0001697 
     2.925      477       0.0195613       0.0002101 
     2.975      441       0.0212897       0.0001517 
     3.025      369       0.0221725       0.0000942 
     3.075      450       0.0213549       0.0001538 
     3.125      438       0.0195638       0.0003212 
     3.175      429       0.0179608       0.0016190 
     3.225      474       0.0249693       0.0012896 
     3.275      465       0.0265631       0.0012719 
