   36 
     1.500     3.300     0.050 
     1.525      402       0.0428600       0.0028955 
     1.575      435       0.0438666       0.0003375 
     1.625      411       0.0441752       0.0001435 
     1.675      396       0.0449419       0.0001911 
     1.725      447       0.0448591       0.0000912 
     1.775      423       0.0433522       0.0002865 
     1.825      405       0.0442234       0.0001448 
     1.875      414       0.0444921       0.0002872 
     1.925      405       0.0446148       0.0001464 
     1.975      420       0.0444718       0.0002480 
     2.025      408       0.0443906       0.0001448 
     2.075      423       0.0425058       0.0002507 
     2.125      417       0.0437689       0.0001139 
     2.175      438       0.0442831       0.0001958 
     2.225      429       0.0442582       0.0002212 
     2.275      390       0.0442789       0.0003062 
     2.325      426       0.0441242       0.0002983 
     2.375      408       0.0441984       0.0002692 
     2.425      387       0.0441306       0.0002477 
     2.475      408       0.0437026       0.0002503 
     2.525      459       0.0441372       0.0002710 
     2.575      477       0.0439975       0.0003421 
     2.625      363       0.0439806       0.0001776 
     2.675      384       0.0437530       0.0001590 
     2.725      402       0.0410577       0.0003695 
     2.775      408       0.0408137       0.0002791 
     2.825      462       0.0431455       0.0004233 
     2.875      423       0.0433051       0.0003165 
     2.925      429       0.0434012       0.0002531 
     2.975      393       0.0415793       0.0003663 
     3.025      387       0.0417326       0.0002846 
     3.075      399       0.0408962       0.0004740 
     3.125      426       0.0406061       0.0004078 
     3.175      390       0.0345971       0.0014713 
     3.225      459       0.0237441       0.0016943 
     3.275      447       0.0404975       0.0010890 
