# WienerFilter General Weights for luminosity <mu>=90
# partition channel w0 w1 w2 w3 w4 w5 w6 bias
0 0 -0.239256 -0.420402 0.0754974 0.952088 0.125168 -0.276114 -0.196736 -0.867826
0 1 -0.072312 -0.127604 -0.58689 1.60443 -0.611107 0.0883131 -0.147561 -7.08055
0 2 -0.067421 -0.2886 -0.38354 1.41206 -0.381753 -0.0930146 -0.117202 -3.80942
0 3 -0.0679086 -0.277294 -0.395237 1.42979 -0.409478 -0.0704985 -0.126005 -3.76843
0 4 -0.0638546 -0.120994 -0.589007 1.6049 -0.611197 0.0899741 -0.143028 -7.9293
0 5 -0.0610611 -0.133535 -0.585896 1.61369 -0.632089 0.104739 -0.152904 -7.52382
0 6 -0.0535911 -0.275258 -0.415298 1.44197 -0.417125 -0.0643949 -0.120399 -4.3493
0 7 -0.0652904 -0.277515 -0.421597 1.44965 -0.429607 -0.0456747 -0.132478 -3.52104
0 8 -0.0903856 -0.106815 -0.621895 1.64582 -0.665506 0.128376 -0.17669 -5.59143
0 9 -0.0732806 -0.102964 -0.633167 1.65615 -0.678658 0.138517 -0.163176 -7.13773
0 10 -0.0856031 -0.0805633 -0.658979 1.67273 -0.689639 0.145356 -0.166728 -6.79365
0 11 -0.0749503 -0.248305 -0.452998 1.47983 -0.461104 -0.0330558 -0.146359 -2.85504
0 12 -0.0688187 -0.248152 -0.448984 1.48042 -0.469578 -0.0179793 -0.145001 -3.77974
0 13 -0.245742 -0.404116 0.0173147 0.974763 0.125657 -0.254371 -0.200311 -0.603058
0 14 -0.24045 -0.395468 0.0349481 0.961455 0.135071 -0.250533 -0.216401 -1.29023
0 15 -0.0866621 -0.0768629 -0.650548 1.66275 -0.678614 0.146198 -0.170818 -7.24686
0 16 -0.0810295 -0.255537 -0.431034 1.47121 -0.466765 -0.0190879 -0.149088 -3.23821
0 17 -0.070435 -0.256329 -0.429337 1.47074 -0.470028 -0.00994086 -0.14551 -4.14572
0 18 -0.07936 -0.0864647 -0.635227 1.64863 -0.66421 0.139268 -0.164941 -7.77555
0 19 -0.0838089 -0.083961 -0.652833 1.66259 -0.675913 0.142699 -0.165137 -7.25799
0 20 -0.0726403 -0.106547 -0.621562 1.63847 -0.652657 0.121792 -0.156354 -7.5567
0 21 -0.0675252 -0.256902 -0.428148 1.46337 -0.455785 -0.0209357 -0.134236 -4.46786
0 22 -0.0681783 -0.258312 -0.426412 1.45631 -0.439024 -0.043229 -0.129708 -4.22302
0 23 -0.0745921 -0.0799583 -0.662549 1.6695 -0.683357 0.15431 -0.168388 -7.20891
0 24 -0.225919 -0.401147 0.0322546 0.952451 0.160189 -0.273022 -0.227848 -0.786356
0 25 -0.23085 -0.413648 0.0345644 0.951827 0.158389 -0.272426 -0.21067 -0.778222
0 26 -0.0713284 -0.0944915 -0.641585 1.64915 -0.657094 0.1281 -0.161459 -7.37747
0 27 -0.0445621 -0.309881 -0.38738 1.43584 -0.42854 -0.058445 -0.129142 -3.57949
0 28 -0.0328407 -0.301894 -0.397081 1.44062 -0.432003 -0.0506981 -0.122741 -4.93695
0 29 -0.0801917 -0.102615 -0.643163 1.66317 -0.684166 0.145089 -0.174129 -6.31822
0 30 -0.368807 -0.36 0.153649 0.820663 0.285649 -0.209751 -0.320076 -0.0581903
0 31 -0.363643 -0.363502 0.153243 0.822837 0.282747 -0.212193 -0.318424 -0.0471713
0 32 -0.066992 -0.0939153 -0.635341 1.65355 -0.677098 0.155851 -0.165311 -8.58694
0 33 -0.0536252 -0.259599 -0.444126 1.48051 -0.475253 -0.0133808 -0.135473 -4.39649
0 34 -0.0668674 -0.267972 -0.433946 1.4605 -0.439624 -0.0431161 -0.137283 -3.33435
0 35 -0.0702362 -0.0605686 -0.673043 1.68783 -0.715247 0.181871 -0.171464 -8.85636
0 36 -0.101356 -0.0135847 -0.734815 1.74289 -0.774171 0.221666 -0.190035 -7.72824
0 37 -0.115933 0.010348 -0.771462 1.77474 -0.806066 0.241977 -0.206762 -6.45974
0 38 -0.100968 -0.0395761 -0.709684 1.71748 -0.74049 0.193564 -0.192279 -6.33745
0 39 -0.0687582 -0.235326 -0.480254 1.50751 -0.500272 0.00752878 -0.138119 -4.39476
0 40 -0.0822917 -0.210023 -0.508268 1.53494 -0.532656 0.0317866 -0.15191 -3.87972
0 41 -0.146572 -0.402851 -0.132263 1.16266 -0.104021 -0.212519 -0.133815 -1.43727
0 42 -0.0758046 -0.304325 -0.369432 1.39658 -0.365406 -0.0903464 -0.12197 -3.29249
0 43 -0.360033 -0.364318 0.15141 0.824337 0.281593 -0.211433 -0.321299 -0.00940394
0 44 -0.154891 -0.414303 -0.111662 1.14945 -0.0964656 -0.215709 -0.126684 -1.39529
0 45 0.00457839 -0.281576 -0.427656 1.46656 -0.463023 -0.03058 -0.0855757 -8.45699
0 46 -0.075435 -0.111486 -0.626509 1.65408 -0.681376 0.144259 -0.169841 -6.33248
0 47 -0.0261134 -0.419533 -0.231041 1.27287 -0.226683 -0.206325 -0.0690193 -4.38451
1 0 -0.244977 -0.409081 0.0805494 0.947794 0.129478 -0.277003 -0.208353 -0.794705
1 1 -0.0720588 -0.135941 -0.591332 1.61133 -0.620423 0.0934171 -0.154285 -6.45377
1 2 -0.0524304 -0.283533 -0.385583 1.41757 -0.394807 -0.0747182 -0.118979 -4.89474
1 3 -0.0724655 -0.281888 -0.39295 1.42375 -0.397294 -0.0824006 -0.126065 -3.33879
1 4 -0.068427 -0.133995 -0.591905 1.60971 -0.616155 0.0890551 -0.151472 -6.81861
1 5 -0.0720257 -0.0980044 -0.628897 1.63918 -0.647183 0.118424 -0.157954 -7.57027
1 6 -0.0652119 -0.271905 -0.433109 1.45317 -0.426935 -0.0447556 -0.133298 -3.52652
1 7 -0.0710321 -0.251719 -0.454044 1.47357 -0.448876 -0.0370444 -0.135582 -3.50592
1 8 -0.0709212 -0.0962412 -0.637124 1.64906 -0.66043 0.127927 -0.161994 -7.21119
1 9 -0.0851791 -0.0751215 -0.660331 1.67354 -0.69195 0.155177 -0.177133 -7.01841
1 10 -0.111288 -0.0110634 -0.74011 1.74039 -0.760368 0.203616 -0.193815 -6.57234
1 11 -0.0789747 -0.22984 -0.456267 1.47767 -0.460099 -0.0181119 -0.135498 -4.83183
1 12 -0.0973713 -0.214573 -0.466588 1.4852 -0.461931 -0.0294548 -0.144477 -3.21232
1 13 -0.222005 -0.413494 0.0266355 0.974534 0.121555 -0.263055 -0.205513 -0.841034
1 14 -0.230043 -0.417028 0.0364622 0.970083 0.121167 -0.261196 -0.205308 -0.665738
1 15 -0.0889815 -0.0539175 -0.673276 1.67492 -0.684671 0.153835 -0.172635 -7.71009
1 16 -0.0789933 -0.246712 -0.440498 1.469 -0.453552 -0.0303322 -0.135895 -3.79322
1 17 -0.0793362 -0.242168 -0.439269 1.46557 -0.448514 -0.03139 -0.13408 -4.35983
1 18 -0.0734333 -0.106001 -0.611105 1.62475 -0.634117 0.113044 -0.158216 -7.33924
1 19 -0.0711645 -0.0952164 -0.62915 1.64239 -0.654792 0.125571 -0.156386 -8.05178
1 20 -0.0580131 -0.188957 -0.568476 1.59337 -0.591361 0.0378308 -0.146571 -3.93849
1 21 -0.0711657 -0.260196 -0.430354 1.4581 -0.438065 -0.0448387 -0.136444 -3.82538
1 22 -0.0758281 -0.255698 -0.427084 1.45189 -0.42743 -0.0538985 -0.13545 -3.81133
1 23 -0.0726797 -0.120544 -0.593882 1.6129 -0.62487 0.10792 -0.162286 -7.57388
1 24 -0.21906 -0.425255 0.0160018 0.956132 0.164574 -0.267524 -0.208846 -0.729078
1 25 -0.21772 -0.425192 0.0372261 0.953174 0.153933 -0.270634 -0.213545 -0.761683
1 26 -0.0568909 -0.151895 -0.560994 1.58858 -0.60128 0.0806234 -0.145591 -7.53458
1 27 -0.065179 -0.28331 -0.394881 1.44273 -0.434982 -0.0601588 -0.129849 -3.38949
1 28 -0.058988 -0.292403 -0.395234 1.43515 -0.418988 -0.0703624 -0.120809 -3.73359
1 29 -0.064478 -0.104361 -0.622636 1.64745 -0.672722 0.140761 -0.158482 -8.48043
1 30 -0.359401 -0.365052 0.15308 0.823744 0.28184 -0.213989 -0.319175 -0.0463472
1 31 -0.369688 -0.360713 0.15646 0.818266 0.287086 -0.206673 -0.323253 -0.0639692
1 32 -0.0821669 -0.090678 -0.644888 1.6574 -0.671281 0.137245 -0.168376 -6.85358
1 33 -0.0790854 -0.260984 -0.422036 1.45389 -0.438596 -0.0398363 -0.135696 -3.61529
1 34 -0.0683474 -0.266201 -0.410754 1.44654 -0.434716 -0.0411533 -0.129012 -4.44187
1 35 -0.0818785 -0.0771259 -0.649969 1.6636 -0.684817 0.163077 -0.177321 -8.13216
1 36 -0.0970858 -0.0156478 -0.730042 1.7349 -0.762612 0.217942 -0.190772 -8.15962
1 37 -0.118804 0.00561132 -0.770937 1.77005 -0.796565 0.238108 -0.213673 -5.87472
1 38 -0.0885015 -0.0343533 -0.709817 1.71588 -0.739114 0.195927 -0.183879 -8.0152
1 39 -0.116829 -0.219146 -0.510195 1.52529 -0.501851 -0.00903647 -0.16532 -0.227769
1 40 -0.0923352 -0.192498 -0.511538 1.52116 -0.500746 0.0101627 -0.14731 -4.11487
1 41 -0.145756 -0.396974 -0.122669 1.15732 -0.101906 -0.212237 -0.141739 -1.69969
