# Roi/ROB map file for the RPC system

type: ATLAS
maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    0   |   0 |    1   | 620000
      0    |    0   |   1 |    1   | 620000
      0    |    0   |   4 |    1   | 620000
      0    |    0   |   5 |    1   | 620000
      0    |    0   |   6 |    2   | 620000 620010
      0    |    0   |   7 |    2   | 620000 620010
      0    |    0   |   8 |    2   | 620000 620010
      0    |    0   |   9 |    2   | 620000 620010
      0    |    0   |  10 |    1   | 620010
      0    |    0   |  11 |    1   | 620010
      0    |    0   |  12 |    1   | 620010
      0    |    0   |  13 |    1   | 620010
      0    |    0   |  14 |    2   | 620010 620020
      0    |    0   |  15 |    2   | 620010 620020
      0    |    0   |  16 |    2   | 620010 620020
      0    |    0   |  17 |    2   | 620010 620020
      0    |    0   |  18 |    2   | 620010 620020
      0    |    0   |  19 |    2   | 620010 620020
      0    |    0   |  20 |    1   | 620020
      0    |    0   |  21 |    1   | 620020
      0    |    0   |  22 |    2   | 620020 640000
      0    |    0   |  23 |    2   | 620020 640000
      0    |    0   |  24 |    2   | 620020 640000
      0    |    0   |  25 |    2   | 620020 640000

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    1   |   0 |    1   | 620008
      0    |    1   |   1 |    1   | 620008
      0    |    1   |   2 |    1   | 620008
      0    |    1   |   3 |    1   | 620008
      0    |    1   |   4 |    1   | 620008
      0    |    1   |   5 |    1   | 620008
      0    |    1   |   6 |    2   | 620008 620018
      0    |    1   |   7 |    2   | 620008 620018
      0    |    1   |   8 |    2   | 620008 620018
      0    |    1   |   9 |    2   | 620008 620018
      0    |    1   |  10 |    1   | 620018
      0    |    1   |  11 |    1   | 620018
      0    |    1   |  12 |    1   | 620018
      0    |    1   |  13 |    1   | 620018
      0    |    1   |  14 |    2   | 620018 620028
      0    |    1   |  15 |    2   | 620018 620028
      0    |    1   |  16 |    2   | 620018 620028
      0    |    1   |  17 |    2   | 620018 620028
      0    |    1   |  18 |    2   | 620028 640008
      0    |    1   |  19 |    2   | 620028 640008
      0    |    1   |  20 |    1   | 620028
      0    |    1   |  21 |    1   | 620028
      0    |    1   |  22 |    2   | 620028 640008
      0    |    1   |  23 |    2   | 620028 640008

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    2   |   0 |    1   | 620008
      0    |    2   |   1 |    1   | 620008
      0    |    2   |   2 |    1   | 620008
      0    |    2   |   3 |    1   | 620008
      0    |    2   |   4 |    1   | 620008
      0    |    2   |   5 |    1   | 620008
      0    |    2   |   6 |    2   | 620008 620018
      0    |    2   |   7 |    2   | 620008 620018
      0    |    2   |   8 |    2   | 620008 620018
      0    |    2   |   9 |    2   | 620008 620018
      0    |    2   |  10 |    1   | 620018
      0    |    2   |  11 |    1   | 620018
      0    |    2   |  12 |    1   | 620018
      0    |    2   |  13 |    1   | 620018
      0    |    2   |  14 |    2   | 620018 620028
      0    |    2   |  15 |    2   | 620018 620028
      0    |    2   |  16 |    2   | 620018 620028
      0    |    2   |  17 |    2   | 620018 620028
      0    |    2   |  18 |    2   | 620028 640008
      0    |    2   |  19 |    2   | 620028 640008
      0    |    2   |  20 |    1   | 620028
      0    |    2   |  21 |    1   | 620028
      0    |    2   |  22 |    1   | 620028
      0    |    2   |  23 |    1   | 620028

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    3   |   0 |    1   | 620001
      0    |    3   |   1 |    1   | 620001
      0    |    3   |   2 |    1   | 620001
      0    |    3   |   3 |    1   | 620001
      0    |    3   |   4 |    1   | 620001
      0    |    3   |   5 |    1   | 620001
      0    |    3   |   6 |    2   | 620001 620011
      0    |    3   |   7 |    2   | 620001 620011
      0    |    3   |   8 |    2   | 620001 620011
      0    |    3   |   9 |    2   | 620001 620011
      0    |    3   |  10 |    1   | 620011
      0    |    3   |  11 |    1   | 620011
      0    |    3   |  12 |    1   | 620011
      0    |    3   |  13 |    1   | 620011
      0    |    3   |  14 |    2   | 620011 620021
      0    |    3   |  15 |    2   | 620011 620021
      0    |    3   |  16 |    2   | 620011 620021
      0    |    3   |  17 |    2   | 620011 620021
      0    |    3   |  18 |    2   | 620011 620021
      0    |    3   |  19 |    2   | 620011 620021
      0    |    3   |  20 |    1   | 620021
      0    |    3   |  21 |    1   | 620021
      0    |    3   |  22 |    2   | 620021 640001
      0    |    3   |  23 |    2   | 620021 640001
      0    |    3   |  24 |    2   | 620021 640001
      0    |    3   |  25 |    2   | 620021 640001

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    4   |   0 |    1   | 620001
      0    |    4   |   1 |    1   | 620001
      0    |    4   |   2 |    1   | 620001
      0    |    4   |   3 |    1   | 620001
      0    |    4   |   4 |    1   | 620001
      0    |    4   |   5 |    1   | 620001
      0    |    4   |   6 |    2   | 620001 620011
      0    |    4   |   7 |    2   | 620001 620011
      0    |    4   |   8 |    2   | 620001 620011
      0    |    4   |   9 |    2   | 620001 620011
      0    |    4   |  10 |    1   | 620011
      0    |    4   |  11 |    1   | 620011
      0    |    4   |  12 |    1   | 620011
      0    |    4   |  13 |    1   | 620011
      0    |    4   |  14 |    2   | 620011 620021
      0    |    4   |  15 |    2   | 620011 620021
      0    |    4   |  16 |    2   | 620011 620021
      0    |    4   |  17 |    2   | 620011 620021
      0    |    4   |  18 |    2   | 620011 620021
      0    |    4   |  19 |    2   | 620011 620021
      0    |    4   |  20 |    1   | 620021
      0    |    4   |  21 |    1   | 620021
