# Roi/ROB map file for the RPC system

maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    0   |   1 |    1   |  48
      0    |    0   |   2 |    1   |  48
      0    |    0   |   5 |    1   |  48
      0    |    0   |   6 |    1   |  48
      0    |    0   |   7 |    2   |  48  64
      0    |    0   |   8 |    2   |  48  64
      0    |    0   |   9 |    2   |  48  64
      0    |    0   |  10 |    2   |  48  64
      0    |    0   |  11 |    1   |  64
      0    |    0   |  12 |    1   |  64
      0    |    0   |  13 |    1   |  64
      0    |    0   |  14 |    1   |  64
      0    |    0   |  15 |    2   |  64  80
      0    |    0   |  16 |    2   |  64  80
      0    |    0   |  17 |    2   |  64  80
      0    |    0   |  18 |    2   |  64  80
      0    |    0   |  19 |    2   |  64  80
      0    |    0   |  20 |    2   |  64  80
      0    |    0   |  21 |    1   |  80
      0    |    0   |  22 |    1   |  80
      0    |    0   |  23 |    2   |  80 144
      0    |    0   |  24 |    2   |  80 144
      0    |    0   |  25 |    2   |  80 144
      0    |    0   |  26 |    2   |  80 144

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    1   |   1 |    1   |  56
      0    |    1   |   2 |    1   |  56
      0    |    1   |   3 |    1   |  56
      0    |    1   |   4 |    1   |  56
      0    |    1   |   5 |    1   |  56
      0    |    1   |   6 |    1   |  56
      0    |    1   |   7 |    2   |  56  72
      0    |    1   |   8 |    2   |  56  72
      0    |    1   |   9 |    2   |  56  72
      0    |    1   |  10 |    2   |  56  72
      0    |    1   |  11 |    1   |  72
      0    |    1   |  12 |    1   |  72
      0    |    1   |  13 |    1   |  72
      0    |    1   |  14 |    1   |  72
      0    |    1   |  15 |    2   |  72  88
      0    |    1   |  16 |    2   |  72  88
      0    |    1   |  17 |    2   |  72  88
      0    |    1   |  18 |    2   |  72  88
      0    |    1   |  21 |    1   |  88
      0    |    1   |  22 |    1   |  88
      0    |    1   |  23 |    1   |  88
      0    |    1   |  24 |    1   |  88

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    2   |   1 |    1   |  56
      0    |    2   |   2 |    1   |  56
      0    |    2   |   3 |    1   |  56
      0    |    2   |   4 |    1   |  56
