ROS 	Events 	Requests 	Retrievals 	Retrievals/event 	Request rate (Hz)	Retrieval rate (Hz)	Retrieved data (Kb/s)	Time per ROS retrieval (ms) 	Time per event (ms) 	ROB/request
ROS-PIX-B-03 	22001 	82830 	29195 	1.3 	39492.8 	13920.0 	15434.0 	2.34827 	3.11612 	3.6
ROS-PIX-B-01 	21117 	75812 	27360 	1.3 	36146.7 	13045.1 	18206.1 	2.3359 	3.02649 	3.8
ROS-PIX-B-04 	19982 	72287 	25815 	1.3 	34466.0 	12308.4 	15828.7 	2.30126 	2.97302 	4.2
ROS-PIX-B-00 	19949 	68936 	25094 	1.3 	32868.3 	11964.7 	20380.8 	2.34676 	2.95201 	4.0
ROS-LAR-HECA-00 	18782 	133058 	24725 	1.3 	63441.2 	11788.7 	21609.7 	2.00683 	2.64184 	2.0
ROS-LAR-HECC-00 	18303 	133758 	24252 	1.3 	63775.0 	11563.2 	21051.8 	2.11807 	2.80651 	2.0
ROS-PIX-DISK-01 	19887 	78117 	23914 	1.2 	37245.7 	11402.0 	10948.5 	2.33522 	2.80809 	3.0
ROS-PIX-B-02 	19199 	66749 	23841 	1.2 	31825.5 	11367.2 	19495.1 	2.28729 	2.84032 	4.4
ROS-PIX-DISK-00 	18661 	72130 	22262 	1.2 	34391.1 	10614.4 	10467.6 	2.35471 	2.80909 	2.9
ROS-PIX-BL-01 	17134 	60903 	21870 	1.3 	29038.2 	10427.5 	12820.0 	2.32138 	2.96304 	4.6
ROS-LAR-EMECA-11 	9958 	44652 	20880 	2.1 	21289.8 	9955.5 	19234.6 	1.88597 	3.95451 	1.3
ROS-LAR-EMECC-11 	10299 	46167 	20359 	2.0 	22012.1 	9707.0 	19521.6 	1.96262 	3.87969 	1.3
ROS-PIX-BL-03 	16510 	55154 	20086 	1.2 	26297.1 	9576.9 	13394.5 	2.28641 	2.78164 	5.3
ROS-LAR-FCALA-00 	6862 	34312 	19621 	2.9 	16359.8 	9355.2 	28789.2 	1.47017 	4.20376 	1.4
ROS-LAR-EMECA-10 	12503 	42177 	19026 	1.5 	20109.7 	9071.5 	20420.8 	2.16117 	3.28868 	1.3
ROS-SCT-BA-00 	14910 	47180 	18794 	1.3 	22495.1 	8960.9 	13093.5 	1.66047 	2.09302 	4.6
ROS-SCT-BA-01 	14903 	46953 	18743 	1.3 	22386.9 	8936.5 	12986.3 	1.66486 	2.09384 	4.6
ROS-SCT-BC-00 	14827 	47236 	18706 	1.3 	22521.8 	8918.9 	13075.9 	1.65966 	2.09386 	4.6
ROS-SCT-BC-01 	14658 	45857 	18504 	1.3 	21864.3 	8822.6 	12942.8 	1.6585 	2.09366 	4.6
ROS-PIX-BL-00 	15162 	47415 	18209 	1.2 	22607.2 	8681.9 	12231.6 	2.35489 	2.82814 	5.5
ROS-TIL-LBC-01 	14434 	37253 	18193 	1.3 	17762.0 	8674.3 	51776.9 	7.52207 	9.48101 	2.1
ROS-TIL-LBA-01 	14290 	36784 	17915 	1.3 	17538.4 	8541.8 	51211.3 	6.40648 	8.03164 	2.1
ROS-TIL-LBC-00 	14681 	43616 	17871 	1.2 	20795.8 	8520.8 	55684.1 	6.88908 	8.386 	2.1
ROS-TIL-LBA-00 	14458 	42495 	17525 	1.2 	20261.4 	8355.8 	54913.8 	6.54555 	7.93407 	2.1
ROS-LAR-EMECC-10 	12372 	43024 	16832 	1.4 	20513.6 	8025.4 	19587.5 	2.3765 	3.2332 	1.3
ROS-LAR-FCALC-00 	6856 	37170 	16611 	2.4 	17722.4 	7920.0 	29650.4 	1.56403 	3.7894 	1.5
ROS-PIX-BL-02 	13334 	40853 	15554 	1.2 	19478.5 	7416.1 	8737.9 	2.38568 	2.78287 	4.6
ROS-SCT-ECA-00 	13285 	44277 	15450 	1.2 	21111.0 	7366.5 	12676.7 	1.68023 	1.95405 	5.3
ROS-TGC-ECA-00 	11721 	33454 	15148 	1.3 	15950.7 	7222.5 	10411.3 	1.55103 	2.00453 	1.0
ROS-SCT-ECA-01 	13008 	42170 	15102 	1.2 	20106.4 	7200.5 	12710.3 	1.68021 	1.95069 	5.7
ROS-SCT-ECC-01 	12831 	41786 	14797 	1.2 	19923.3 	7055.1 	12410.7 	1.69005 	1.949 	5.4
ROS-SCT-ECC-00 	12596 	40013 	14623 	1.2 	19078.0 	6972.2 	12396.6 	1.68605 	1.95737 	6.0
ROS-TGC-ECC-00 	10694 	31053 	14027 	1.3 	14805.9 	6688.0 	9581.7 	1.44873 	1.90026 	1.0
ROS-TIL-EBC-01 	11359 	27792 	13994 	1.2 	13251.1 	6672.3 	42896.8 	5.62055 	6.92438 	2.1
ROS-TIL-EBA-01 	11098 	26988 	13628 	1.2 	12867.7 	6497.7 	41842.2 	4.54501 	5.58113 	2.1
ROS-TIL-EBC-00 	11379 	31967 	13482 	1.2 	15241.7 	6428.1 	45213.9 	5.31074 	6.29224 	2.2
ROS-TIL-EBA-00 	11277 	31343 	13428 	1.2 	14944.2 	6402.4 	44045.8 	4.89104 	5.82396 	2.2
ROS-TRT-BC-00 	7846 	21218 	12423 	1.6 	10116.6 	5923.2 	21744.9 	2.35084 	3.72221 	5.0
ROS-TRT-BA-00 	7822 	21270 	12366 	1.6 	10141.4 	5896.0 	21322.2 	2.35721 	3.72657 	5.0
ROS-TRT-BC-01 	7789 	20190 	12255 	1.6 	9626.5 	5843.1 	21591.4 	2.35458 	3.70463 	5.1
ROS-TRT-BA-01 	7780 	20198 	12253 	1.6 	9630.3 	5842.2 	21105.8 	2.35138 	3.70327 	5.1
ROS-LAR-EMBC-15 	8366 	24209 	12198 	1.5 	11542.7 	5815.9 	11381.2 	2.82829 	4.12377 	2.2
ROS-LAR-EMBA-15 	8274 	24232 	12142 	1.5 	11553.7 	5789.2 	11962.1 	2.61556 	3.8383 	2.3
ROS-LAR-EMBC-10 	8337 	25095 	11863 	1.4 	11965.1 	5656.2 	11811.9 	3.3918 	4.82631 	2.3
ROS-LAR-EMBA-17 	8793 	23647 	11624 	1.3 	11274.7 	5542.3 	9926.4 	2.66433 	3.52214 	2.0
ROS-LAR-EMBA-10 	8182 	24537 	11590 	1.4 	11699.1 	5526.0 	11523.4 	3.04547 	4.31399 	2.2
ROS-PIX-B-05 	10629 	30087 	11581 	1.1 	14345.3 	5521.8 	4656.3 	2.50972 	2.73451 	2.9
ROS-LAR-EMBA-16 	7615 	22928 	11573 	1.5 	10931.9 	5517.9 	11130.6 	2.54705 	3.87091 	2.2
ROS-LAR-EMBC-17 	8816 	23542 	11561 	1.3 	11224.7 	5512.2 	9648.7 	2.92782 	3.83944 	2.0
ROS-LAR-EMBC-12 	8852 	24734 	11522 	1.3 	11793.0 	5493.6 	9636.0 	3.5147 	4.57483 	2.0
ROS-LAR-EMBC-07 	9081 	28203 	11444 	1.3 	13447.0 	5456.4 	10035.5 	4.30294 	5.42262 	2.0
ROS-LAR-EMBA-07 	9068 	27866 	11426 	1.3 	13286.3 	5447.8 	10221.2 	4.09233 	5.15648 	2.0
ROS-LAR-EMBC-05 	8499 	28018 	11391 	1.3 	13358.8 	5431.2 	11827.3 	4.18105 	5.60376 	2.3
ROS-LAR-EMBA-05 	8577 	27974 	11340 	1.3 	13337.8 	5406.8 	12127.7 	4.01777 	5.31206 	2.3
ROS-LAR-EMBA-12 	8746 	24484 	11327 	1.3 	11673.8 	5400.6 	9661.1 	3.12665 	4.04935 	2.0
ROS-LAR-EMBC-02 	9108 	28327 	11308 	1.2 	13506.1 	5391.6 	10119.7 	4.38614 	5.4456 	2.0
ROS-LAR-EMBC-16 	7551 	22167 	11288 	1.5 	10569.1 	5382.0 	9906.6 	2.7842 	4.16211 	2.2
ROS-LAR-EMBC-08 	9261 	30467 	11097 	1.2 	14526.5 	5291.0 	8145.0 	4.5461 	5.44736 	1.7
