ROS 	 Events 	 Requests 	 Retrievals 	 Caches 	 Retrievals/event 	 Request rate (Hz)	 Retrieval rate (Hz)	 Cache rate (Hz)	 Retrieved data (Kb/s)	 Cached data (kB) 	 Time per ROS retrieval (ms) 	 Time per event (ms) 	 ROBs/retrieval 
ROS-PIX-B-01 	 781 	 2256 	 978 	 921 	 1.3 	 41189.3 	 17856.0 	 16815.3 	 48402.1 	 37684.3 	 1.18737 	 1.48687 	 3.6 
ROS-PIX-B-00 	 764 	 2162 	 952 	 871 	 1.2 	 39473.1 	 17381.3 	 15902.4 	 47132.0 	 35626.7 	 1.18109 	 1.47173 	 3.6 
ROS-PIX-B-03 	 747 	 2051 	 874 	 889 	 1.2 	 37446.5 	 15957.2 	 16231.1 	 37955.8 	 29253.4 	 1.22339 	 1.43139 	 3.3 
ROS-PIX-B-02 	 739 	 2038 	 860 	 894 	 1.2 	 37209.1 	 15701.6 	 16322.4 	 39437.0 	 30756.7 	 1.20695 	 1.40458 	 3.3 
ROS-PIX-BL-01 	 692 	 1938 	 827 	 814 	 1.2 	 35383.4 	 15099.1 	 14861.7 	 37482.1 	 28943.9 	 1.20106 	 1.43537 	 3.9 
ROS-PIX-B-05 	 705 	 1881 	 820 	 778 	 1.2 	 34342.7 	 14971.3 	 14204.5 	 43435.9 	 32463.2 	 1.19044 	 1.38463 	 3.8 
ROS-PIX-B-04 	 695 	 1840 	 802 	 755 	 1.2 	 33594.1 	 14642.7 	 13784.5 	 44605.9 	 32843.2 	 1.20633 	 1.39205 	 3.9 
ROS-PIX-BL-03 	 676 	 1947 	 796 	 887 	 1.2 	 35547.7 	 14533.1 	 16194.6 	 39137.3 	 33622.9 	 1.22767 	 1.4456 	 3.9 
ROS-PIX-BL-02 	 673 	 1903 	 776 	 858 	 1.2 	 34744.4 	 14168.0 	 15665.1 	 38847.3 	 32357.5 	 1.18511 	 1.36649 	 4.0 
ROS-SCT-BC-01 	 634 	 1660 	 775 	 620 	 1.2 	 30307.7 	 14149.7 	 11319.8 	 73824.1 	 44303.9 	 1.58472 	 1.93716 	 3.3 
