ROS 	 Cost Events Processed 	 Events Rate (Hz) 	 wall Time (s) 	 #lbs 	 Requests 	 Retrievals 	 Retrievals/event 	 Request rate (Hz)	 Retrieval rate (Hz)	 Retrieved data (Kb/s)	 Time per ROS retrieval (ms) 	 Time per event (ms) 	 ROB/request 
ROS-PIX-B-01 	 47242 	 19265.4 +/- 134.474 	 5635.05 	 95 	 2.51548e+08 	 1.34508e+08 	 1.2 	 44639.9 +/- 312.2 	 23869.8 +/- 178.9 	 55291.6 +/- 429.1 	 0.0144719 	 0.0179307 	 3.4 
ROS-PIX-B-00 	 45459 	 18603.2 +/- 134.452 	 5635.05 	 95 	 2.40276e+08 	 1.30485e+08 	 1.2 	 42639.5 +/- 307.0 	 23155.9 +/- 178.6 	 54261.2 +/- 433.2 	 0.0145725 	 0.0181388 	 3.5 
ROS-PIX-B-03 	 44912 	 18269.8 +/- 134.972 	 5635.05 	 95 	 2.37533e+08 	 1.24017e+08 	 1.2 	 42152.8 +/- 302.5 	 22008.1 +/- 171.1 	 43703.5 +/- 354.8 	 0.0148585 	 0.0178988 	 3.0 
ROS-PIX-B-02 	 44504 	 18156.9 +/- 134.39 	 5635.05 	 95 	 2.34137e+08 	 1.23496e+08 	 1.2 	 41550.2 +/- 298.4 	 21915.8 +/- 171.7 	 42996.2 +/- 352.0 	 0.014921 	 0.0180099 	 2.9 
ROS-PIX-B-05 	 42866 	 17494.5 +/- 129.446 	 5635.05 	 95 	 2.24894e+08 	 1.19036e+08 	 1.2 	 39909.9 +/- 293.4 	 21124.1 +/- 166.0 	 50588.6 +/- 425.7 	 0.0147503 	 0.0178106 	 3.6 
ROS-PIX-B-04 	 42072 	 17152.5 +/- 127.294 	 5635.05 	 95 	 2.19295e+08 	 1.17188e+08 	 1.2 	 38916.2 +/- 292.0 	 20796.3 +/- 159.5 	 50821.4 +/- 426.7 	 0.0148483 	 0.0180027 	 3.6 
ROS-PIX-BL-01 	 41800 	 17047.2 +/- 125.98 	 5635.05 	 95 	 2.1724e+08 	 1.14796e+08 	 1.2 	 38551.6 +/- 286.4 	 20371.8 +/- 163.0 	 42997.1 +/- 355.6 	 0.0149661 	 0.0178848 	 3.7 
ROS-TIL-LBA-01 	 48612 	 18349.7 +/- 116.016 	 5635.05 	 95 	 4.41673e+08 	 1.14248e+08 	 1.1 	 78379.7 +/- 492.2 	 20274.6 +/- 132.5 	 64722.4 +/- 414.9 	 0.0284186 	 0.0313997 	 2.3 
ROS-TIL-LBC-01 	 48340 	 18308.7 +/- 119.403 	 5635.05 	 95 	 4.3946e+08 	 1.14029e+08 	 1.1 	 77986.9 +/- 504.0 	 20235.6 +/- 134.5 	 64101.1 +/- 421.7 	 0.0275512 	 0.0304509 	 2.3 
ROS-TIL-LBA-00 	 48570 	 18282.3 +/- 112.37 	 5635.05 	 95 	 4.38643e+08 	 1.1351e+08 	 1.1 	 77842.0 +/- 466.5 	 20143.5 +/- 126.5 	 63998.4 +/- 397.0 	 0.0305391 	 0.0336481 	 2.3 
ROS-TIL-LBC-00 	 48231 	 18193.2 +/- 114.377 	 5635.05 	 95 	 4.3707e+08 	 1.13152e+08 	 1.1 	 77562.8 +/- 481.4 	 20080.0 +/- 129.9 	 63910.6 +/- 405.0 	 0.0306871 	 0.0338697 	 2.3 
ROS-PIX-BL-03 	 40402 	 16436.1 +/- 127.515 	 5635.05 	 95 	 2.11226e+08 	 1.0948e+08 	 1.2 	 37484.3 +/- 280.7 	 19428.3 +/- 157.2 	 42918.4 +/- 363.4 	 0.0150797 	 0.017825 	 3.6 
ROS-SCT-BA-01 	 38044 	 15622.2 +/- 123.599 	 5635.05 	 95 	 1.96892e+08 	 1.08585e+08 	 1.2 	 34940.7 +/- 274.7 	 19269.6 +/- 157.6 	 81132.8 +/- 666.4 	 0.0105969 	 0.013071 	 3.0 
ROS-SCT-BC-01 	 37764 	 15573.9 +/- 125.215 	 5635.05 	 95 	 1.93296e+08 	 1.08493e+08 	 1.2 	 34302.5 +/- 267.8 	 19253.3 +/- 158.9 	 81923.3 +/- 693.5 	 0.0106881 	 0.0132132 	 3.0 
ROS-PIX-BL-02 	 40053 	 16296.6 +/- 124.918 	 5635.05 	 95 	 2.08256e+08 	 1.08155e+08 	 1.2 	 36957.2 +/- 284.5 	 19193.3 +/- 155.4 	 43494.8 +/- 365.3 	 0.0150159 	 0.017685 	 3.7 
ROS-SCT-BA-00 	 37842 	 15488.3 +/- 124.622 	 5635.05 	 95 	 1.95131e+08 	 1.07687e+08 	 1.2 	 34628.1 +/- 269.0 	 19110.2 +/- 159.6 	 81207.7 +/- 696.5 	 0.0106103 	 0.0130915 	 3.0 
ROS-SCT-BC-00 	 36944 	 15238.5 +/- 126.552 	 5635.05 	 95 	 1.88775e+08 	 1.06074e+08 	 1.2 	 33500.2 +/- 266.6 	 18824.0 +/- 162.2 	 79336.1 +/- 674.7 	 0.0107917 	 0.0133309 	 3.0 
ROS-PIX-BL-00 	 37965 	 15535.1 +/- 124.625 	 5635.05 	 95 	 1.95746e+08 	 1.0257e+08 	 1.2 	 34737.2 +/- 265.6 	 18202.1 +/- 151.3 	 40722.7 +/- 348.6 	 0.0150623 	 0.0176482 	 3.7 
ROS-LAR-HECC-00 	 39434 	 15326.2 +/- 295.874 	 5635.05 	 95 	 8.96352e+08 	 9.88831e+07 	 1.1 	 159067.2 +/- 1752.7 	 17547.9 +/- 301.4 	 45796.5 +/- 428.4 	 0.0331328 	 0.0379356 	 2.7 
ROS-LAR-HECA-00 	 39776 	 15142.7 +/- 109.833 	 5635.05 	 95 	 8.93003e+08 	 9.85181e+07 	 1.2 	 158472.9 +/- 1099.0 	 17483.1 +/- 133.7 	 45499.8 +/- 347.2 	 0.0303319 	 0.0350199 	 2.6 
ROS-TIL-EBC-01 	 37738 	 14225.5 +/- 104.186 	 5635.05 	 95 	 3.30622e+08 	 8.6543e+07 	 1.1 	 58672.4 +/- 420.2 	 15358.0 +/- 118.5 	 49676.8 +/- 378.6 	 0.0276085 	 0.0298065 	 2.3 
ROS-TIL-EBA-01 	 37664 	 14083.5 +/- 96.5126 	 5635.05 	 95 	 3.29315e+08 	 8.57148e+07 	 1.1 	 58440.4 +/- 400.7 	 15211.0 +/- 107.2 	 49198.0 +/- 351.3 	 0.0286149 	 0.0309059 	 2.3 
ROS-TIL-EBC-00 	 37304 	 14038.1 +/- 101.624 	 5635.05 	 95 	 3.27855e+08 	 8.54889e+07 	 1.1 	 58181.3 +/- 414.4 	 15170.9 +/- 114.3 	 48951.3 +/- 360.4 	 0.0302132 	 0.0326512 	 2.3 
ROS-TIL-EBA-00 	 37813 	 14088.6 +/- 91.464 	 5635.05 	 95 	 3.2865e+08 	 8.54403e+07 	 1.1 	 58322.5 +/- 376.1 	 15162.3 +/- 99.3 	 48907.1 +/- 320.9 	 0.0304265 	 0.0327453 	 2.3 
ROS-PIX-DISK-01 	 30303 	 12286.9 +/- 104.661 	 5635.05 	 95 	 1.70936e+08 	 8.00047e+07 	 1.2 	 30334.5 +/- 251.1 	 14197.7 +/- 130.8 	 23211.5 +/- 213.9 	 0.0162919 	 0.0188256 	 2.9 
ROS-SCT-ECA-00 	 29123 	 11828.1 +/- 102.489 	 5635.05 	 95 	 1.60317e+08 	 7.73288e+07 	 1.2 	 28450.0 +/- 243.5 	 13722.8 +/- 126.0 	 62905.9 +/- 615.2 	 0.0115342 	 0.0133819 	 3.5 
ROS-SCT-ECA-01 	 28453 	 11566.2 +/- 104.12 	 5635.05 	 95 	 1.55995e+08 	 7.62994e+07 	 1.2 	 27683.1 +/- 246.4 	 13540.2 +/- 131.3 	 60683.1 +/- 594.6 	 0.0115584 	 0.013531 	 3.7 
ROS-PIX-DISK-00 	 27788 	 11397.3 +/- 101.489 	 5635.05 	 95 	 1.5249e+08 	 7.47067e+07 	 1.2 	 27060.9 +/- 237.7 	 13257.5 +/- 121.4 	 22323.5 +/- 208.5 	 0.0167429 	 0.0194756 	 3.0 
ROS-LAR-EMBA-08 	 33597 	 12622.9 +/- 95.0215 	 5635.05 	 95 	 4.00138e+08 	 7.3652e+07 	 1.0 	 71008.7 +/- 513.8 	 13070.3 +/- 101.9 	 28156.5 +/- 229.0 	 0.033189 	 0.0343654 	 2.0 
ROS-LAR-EMBC-13 	 33635 	 12680.4 +/- 98.4639 	 5635.05 	 95 	 4.01895e+08 	 7.34227e+07 	 1.0 	 71320.5 +/- 540.3 	 13029.7 +/- 102.2 	 28318.5 +/- 226.7 	 0.0291062 	 0.0299077 	 2.0 
ROS-LAR-EMBA-18 	 33379 	 12526.9 +/- 95.8985 	 5635.05 	 95 	 4.02427e+08 	 7.33241e+07 	 1.0 	 71415.0 +/- 563.4 	 13012.2 +/- 106.0 	 28127.8 +/- 239.3 	 0.031898 	 0.0331335 	 2.0 
ROS-LAR-EMBC-08 	 33341 	 12522.8 +/- 94.3294 	 5635.05 	 95 	 3.97543e+08 	 7.3092e+07 	 1.0 	 70548.2 +/- 521.2 	 12971.0 +/- 98.9 	 27956.5 +/- 232.6 	 0.0333173 	 0.0345096 	 2.0 
ROS-LAR-EMBC-18 	 33127 	 12485.1 +/- 98.1564 	 5635.05 	 95 	 3.95576e+08 	 7.29242e+07 	 1.0 	 70199.1 +/- 555.1 	 12941.2 +/- 107.1 	 27532.1 +/- 220.2 	 0.0301122 	 0.0312123 	 2.0 
ROS-LAR-EMBA-13 	 33351 	 12497.8 +/- 90.75 	 5635.05 	 95 	 3.977e+08 	 7.26995e+07 	 1.0 	 70576.1 +/- 522.9 	 12901.3 +/- 94.8 	 27892.1 +/- 224.0 	 0.0303041 	 0.0312826 	 2.0 
ROS-LAR-EMBA-07 	 32806 	 12307.2 +/- 92.592 	 5635.05 	 95 	 3.55238e+08 	 7.21055e+07 	 1.0 	 63040.8 +/- 461.6 	 12795.9 +/- 100.0 	 35290.5 +/- 278.6 	 0.0318317 	 0.0330957 	 2.4 
ROS-LAR-EMBA-17 	 32698 	 12271.7 +/- 94.3234 	 5635.05 	 95 	 3.55171e+08 	 7.20916e+07 	 1.0 	 63028.8 +/- 496.1 	 12793.4 +/- 104.8 	 35103.2 +/- 302.3 	 0.0308292 	 0.0321398 	 2.4 
ROS-LAR-EMBA-03 	 33203 	 12402.5 +/- 89.5761 	 5635.05 	 95 	 3.94601e+08 	 7.19704e+07 	 1.0 	 70026.3 +/- 500.6 	 12771.9 +/- 95.8 	 27456.4 +/- 219.9 	 0.0346606 	 0.0356931 	 2.0 
ROS-SCT-ECC-01 	 26648 	 10882 +/- 97.0345 	 5635.05 	 95 	 1.42648e+08 	 7.18409e+07 	 1.2 	 25314.5 +/- 235.8 	 12748.9 +/- 121.1 	 59526.1 +/- 597.9 	 0.0120598 	 0.0141288 	 3.6 
ROS-LAR-EMECC-10 	 29473 	 11417.4 +/- 289.962 	 5635.05 	 95 	 3.6998e+08 	 7.18293e+07 	 1.1 	 65656.9 +/- 979.0 	 12746.9 +/- 293.1 	 29771.5 +/- 566.4 	 0.0347542 	 0.0388013 	 1.7 
ROS-SCT-ECC-00 	 26399 	 10806.3 +/- 99.1081 	 5635.05 	 95 	 1.41098e+08 	 7.18259e+07 	 1.2 	 25039.3 +/- 232.9 	 12746.3 +/- 122.7 	 58954.9 +/- 585.6 	 0.0120878 	 0.0142578 	 4.0 
ROS-LAR-EMBC-12 	 32907 	 12410.6 +/- 97.1852 	 5635.05 	 95 	 3.57862e+08 	 7.1825e+07 	 1.0 	 63506.5 +/- 503.5 	 12746.1 +/- 100.9 	 35671.4 +/- 327.0 	 0.0287889 	 0.0295673 	 2.4 
ROS-LAR-EMBC-07 	 32680 	 12273.2 +/- 93.6667 	 5635.05 	 95 	 3.53242e+08 	 7.17113e+07 	 1.0 	 62686.5 +/- 463.1 	 12725.9 +/- 98.2 	 34942.3 +/- 321.9 	 0.0322287 	 0.0334177 	 2.4 
ROS-LAR-EMBC-03 	 32975 	 12361.9 +/- 92.0003 	 5635.05 	 95 	 3.90997e+08 	 7.15933e+07 	 1.0 	 69386.5 +/- 542.7 	 12705.0 +/- 95.6 	 27177.1 +/- 210.2 	 0.033536 	 0.0344668 	 2.0 
ROS-LAR-EMBC-17 	 32484 	 12243.2 +/- 96.8965 	 5635.05 	 95 	 3.50215e+08 	 7.14823e+07 	 1.0 	 62149.5 +/- 498.4 	 12685.3 +/- 103.5 	 34544.4 +/- 304.3 	 0.0297681 	 0.0308429 	 2.4 
ROS-LAR-EMBA-12 	 32685 	 12233.5 +/- 89.0318 	 5635.05 	 95 	 3.54295e+08 	 7.13143e+07 	 1.0 	 62873.4 +/- 474.9 	 12655.5 +/- 93.4 	 34931.0 +/- 288.2 	 0.0291049 	 0.0301088 	 2.4 
ROS-LAR-EMBA-02 	 32527 	 12165.6 +/- 89.1516 	 5635.05 	 95 	 3.49846e+08 	 7.07242e+07 	 1.0 	 62083.9 +/- 452.1 	 12550.8 +/- 95.6 	 34575.6 +/- 281.2 	 0.0328932 	 0.0339347 	 2.4 
ROS-LAR-EMBC-02 	 32306 	 12122 +/- 91.528 	 5635.05 	 95 	 3.47546e+08 	 7.01979e+07 	 1.0 	 61675.9 +/- 473.5 	 12457.4 +/- 97.8 	 34395.3 +/- 321.2 	 0.03302 	 0.0339335 	 2.4 
ROS-LAR-EMECA-10 	 29635 	 11055.5 +/- 84.4664 	 5635.05 	 95 	 3.63771e+08 	 6.97929e+07 	 1.1 	 64555.1 +/- 504.8 	 12385.5 +/- 94.1 	 28978.0 +/- 261.9 	 0.0327039 	 0.0366383 	 1.7 
ROS-LAR-EMBA-05 	 31200 	 11711.8 +/- 90.2611 	 5635.05 	 95 	 3.13131e+08 	 6.79302e+07 	 1.0 	 55568.4 +/- 427.0 	 12054.9 +/- 93.8 	 41222.4 +/- 379.7 	 0.0313511 	 0.0322696 	 2.9 
